Area	ImageJ	Crofton2	Crofton4
2513.000	202.894	194.779	194.022
2515.000	203.380	197.920	194.482
2510.000	202.551	196.350	193.697
2516.000	202.510	188.496	193.657
2513.000	202.510	188.496	193.657
2517.000	202.510	188.496	193.657
2512.000	203.823	193.208	194.903
2516.000	202.752	190.066	193.887
2519.000	202.752	190.066	193.887
2515.000	202.510	188.496	193.657
2518.000	201.924	188.496	193.102
2515.000	202.510	188.496	193.657
2512.000	202.652	193.208	193.792
2518.000	203.338	190.066	194.443
2514.000	202.510	188.496	193.657
2510.000	202.794	197.920	193.927
2515.000	202.894	194.779	194.022
2520.000	203.338	190.066	194.443
2517.000	202.510	188.496	193.657
2512.000	202.551	196.350	193.697
2514.000	202.652	193.208	193.792
2516.000	202.794	197.920	193.927
2516.000	202.794	197.920	193.927
2507.000	201.622	197.920	192.816
2511.000	202.409	191.637	193.562
2510.000	202.752	190.066	193.887
2516.000	202.409	191.637	193.562
2514.000	202.794	197.920	193.927
2517.000	202.208	197.920	193.371
2503.000	201.380	196.350	192.586
2519.000	203.480	194.779	194.577
2513.000	201.581	190.066	192.777
2509.000	202.066	193.208	193.237
2508.000	202.551	196.350	193.697
2515.000	202.752	190.066	193.887
2519.000	202.752	190.066	193.887
2510.000	203.723	196.350	194.807
2512.000	202.752	190.066	193.887
2519.000	203.581	191.637	194.673
2518.000	203.581	191.637	194.673
2515.000	202.652	193.208	193.792
2517.000	202.510	188.496	193.657
2515.000	202.208	197.920	193.371
2512.000	202.167	190.066	193.332
2516.000	203.622	199.491	194.712
2512.000	201.924	188.496	193.102
2516.000	203.137	196.350	194.252
2511.000	202.066	193.208	193.237
2511.000	203.238	193.208	194.347
2511.000	202.309	194.779	193.467
2509.000	202.409	191.637	193.562
2511.000	202.510	188.496	193.657
2512.000	202.510	188.496	193.657
2515.000	202.752	190.066	193.887
2510.000	202.167	190.066	193.332
2513.000	202.409	191.637	193.562
2512.000	201.924	188.496	193.102
2514.000	202.066	193.208	193.237
2510.000	201.823	191.637	193.007
2517.000	202.752	190.066	193.887
2514.000	202.167	190.066	193.332
2516.000	202.409	191.637	193.562
2512.000	202.208	197.920	193.371
2519.000	203.380	197.920	194.482
2513.000	202.894	194.779	194.022
2513.000	203.622	199.491	194.712
2513.000	201.823	191.637	193.007
2516.000	202.208	197.920	193.371
2521.000	203.723	196.350	194.807
2509.000	202.752	190.066	193.887
2515.000	203.581	191.637	194.673
2517.000	202.894	194.779	194.022
2519.000	203.380	197.920	194.482
2513.000	201.924	188.496	193.102
2506.000	201.338	188.496	192.547
2513.000	202.066	193.208	193.237
2505.000	202.309	194.779	193.467
2517.000	202.794	197.920	193.927
2509.000	201.622	197.920	192.816
2518.000	202.652	193.208	193.792
2512.000	202.551	196.350	193.697
2508.000	202.066	193.208	193.237
2515.000	202.208	197.920	193.371
2514.000	202.309	194.779	193.467
