Area	ImageJ	Crofton2	Crofton4
2347.000	260.350	248.186	249.049
2344.000	261.179	249.757	249.279
2339.000	260.593	249.757	249.279
2349.000	262.593	251.327	250.620
2347.000	260.593	249.757	249.279
2341.000	261.765	249.757	249.834
2340.000	261.179	249.757	249.279
2336.000	259.179	248.186	247.938
2336.000	261.765	249.757	249.834
2347.000	262.007	251.327	250.064
2342.000	261.765	249.757	249.834
2347.000	264.593	252.898	252.516
2343.000	262.007	251.327	250.064
2346.000	261.179	249.757	249.834
2344.000	261.179	249.757	249.834
2352.000	259.765	248.186	248.494
2344.000	258.350	246.615	247.153
2342.000	262.593	251.327	250.064
2340.000	259.765	248.186	248.494
2346.000	261.179	249.757	249.834
2336.000	262.007	251.327	250.064
2347.000	262.007	251.327	250.064
2340.000	259.765	248.186	247.938
2346.000	264.007	252.898	251.961
2352.000	261.179	249.757	249.279
2340.000	260.593	249.757	249.279
2340.000	263.179	251.327	251.175
2348.000	261.765	249.757	249.834
2343.000	259.179	248.186	247.383
2340.000	259.765	248.186	247.938
2335.000	261.765	249.757	249.834
2341.000	260.350	248.186	248.494
2341.000	261.765	249.757	249.834
2344.000	262.007	251.327	250.064
2342.000	261.179	249.757	249.279
2340.000	261.179	249.757	249.279
2348.000	259.765	248.186	248.494
2331.000	262.007	251.327	250.064
2348.000	259.179	248.186	247.938
2344.000	262.007	251.327	250.064
2353.000	261.179	249.757	249.279
2340.000	261.179	249.757	249.279
2342.000	261.179	249.757	249.279
2330.000	263.765	251.327	251.731
2343.000	259.765	248.186	248.494
2345.000	261.765	249.757	249.834
2346.000	260.593	249.757	249.279
2340.000	259.179	248.186	247.938
2347.000	263.765	251.327	251.731
2338.000	259.522	246.615	247.708
2344.000	261.179	249.757	249.834
2340.000	262.593	251.327	250.620
2344.000	260.007	249.757	248.724
2348.000	262.593	251.327	250.064
2342.000	259.179	248.186	247.938
2346.000	260.593	249.757	248.724
2340.000	259.179	248.186	247.383
2339.000	261.765	249.757	249.834
2342.000	261.179	249.757	249.279
2336.000	261.179	249.757	249.279
2349.000	260.593	249.757	248.724
2348.000	261.179	249.757	249.834
2344.000	261.765	249.757	249.834
2345.000	259.179	248.186	247.383
2347.000	257.765	246.615	247.153
2342.000	263.765	251.327	251.731
2346.000	262.007	251.327	250.064
2349.000	262.593	251.327	250.620
2341.000	261.765	249.757	249.834
2341.000	263.765	251.327	251.731
2340.000	260.350	248.186	248.494
