Area	ImageJ	Crofton2	Crofton4
10001.000	430.617	409.978	409.362
9999.000	428.943	425.686	407.774
10001.000	421.480	365.996	400.699
10000.000	406.426	333.009	386.982
10000.000	410.039	439.823	390.407
9999.000	425.664	381.704	404.665
9998.000	429.588	414.690	408.386
10001.000	404.423	441.394	385.084
9999.000	417.169	436.681	396.611
10000.000	423.955	435.111	403.046
9999.000	405.598	331.438	386.197
10000.000	421.754	439.823	400.959
10004.000	422.551	369.137	401.714
10001.000	413.882	347.146	394.051
10004.000	398.323	439.823	378.745
9999.000	429.990	402.124	408.767
10000.000	402.627	323.584	382.825
10001.000	416.482	439.823	395.961
10002.000	428.534	392.699	407.942
10003.000	405.838	442.965	385.869
10000.000	409.110	441.394	389.526
10000.000	414.825	436.681	394.945
9998.000	414.039	442.965	393.644
10000.000	416.853	355.000	396.312
10001.000	400.385	320.442	381.255
10000.000	399.394	442.965	379.760
10000.000	424.884	433.540	403.926
9999.000	424.836	380.133	404.435
9999.000	425.571	430.398	404.577
10001.000	415.196	351.858	394.741
10002.000	426.156	430.398	405.132
10000.000	415.654	438.252	395.175
10003.000	420.441	435.111	399.713
10000.000	427.772	425.686	406.664
10000.000	421.026	435.111	400.824
10003.000	425.179	378.562	404.205
10000.000	430.759	414.690	409.496
10000.000	423.227	430.398	402.911
9989.000	399.737	441.394	380.085
10001.000	405.355	329.867	385.967
9999.000	415.782	351.858	395.297
10001.000	423.622	372.279	402.730
10000.000	428.960	406.836	407.791
10000.000	429.931	413.119	408.711
10002.000	411.397	342.434	391.695
9999.000	426.978	386.416	405.911
10001.000	414.711	348.717	394.281
10000.000	404.767	439.823	385.409
10001.000	414.711	348.717	394.281
9997.000	416.024	353.429	395.527
9999.000	428.434	395.841	407.291
10000.000	416.825	438.252	396.286
9997.000	409.154	339.292	389.569
10000.000	418.441	433.540	397.817
10001.000	420.894	365.996	400.144
9998.000	414.725	439.823	394.295
9996.000	425.664	381.704	404.665
10003.000	412.468	345.575	392.155
9999.000	425.227	431.969	404.252
10000.000	428.149	386.416	407.022
9999.000	421.865	372.279	401.619
9995.000	411.640	344.004	391.370
10001.000	402.627	323.584	382.825
10000.000	429.688	411.549	408.481
10000.000	424.399	430.398	403.466
10000.000	407.595	442.965	387.535
10000.000	430.960	408.407	409.687
9999.000	407.352	441.394	387.305
10000.000	401.213	322.013	382.040
9999.000	418.752	359.712	398.113
10002.000	410.811	342.434	391.140
10000.000	429.103	411.549	407.925
10000.000	429.747	400.553	408.537
9999.000	416.853	355.000	396.312
10001.000	429.831	416.261	408.616
10001.000	423.865	373.850	402.960
10003.000	411.453	441.394	391.748
10001.000	425.571	430.398	405.132
9999.000	414.825	436.681	394.945
9999.000	428.517	411.549	407.925
10001.000	424.642	431.969	403.696
9998.000	420.198	433.540	400.039
10001.000	399.394	442.965	379.760
9999.000	411.453	441.394	391.748
9971.000	397.980	441.394	377.864
9998.000	425.470	433.540	404.482
9997.000	428.701	424.115	407.544
9996.000	429.404	402.124	408.211
10002.000	400.385	320.442	381.255
10004.000	421.966	369.137	401.159
10000.000	421.855	436.681	401.610
10001.000	419.855	435.111	399.158
10000.000	417.411	438.252	396.841
10001.000	427.078	383.274	406.006
9999.000	417.924	358.142	397.327
9998.000	401.151	442.965	381.426
10001.000	423.522	375.420	403.190
9999.000	416.752	358.142	396.772
9998.000	417.581	359.712	397.557
10002.000	404.080	442.965	384.203
10002.000	407.009	442.965	386.980
10000.000	401.737	442.965	382.537
10001.000	428.014	427.257	406.894
9998.000	427.120	391.128	406.046
10000.000	404.770	329.867	385.412
10001.000	416.267	355.000	396.312
10000.000	429.546	406.836	408.901
10000.000	425.813	431.969	404.807
10000.000	426.500	428.827	405.458
9998.000	410.326	339.292	390.679
10001.000	409.696	441.394	389.526
10002.000	424.350	376.991	403.975
10000.000	415.068	438.252	394.620
10000.000	427.463	389.557	406.371
10000.000	410.569	340.863	390.354
10001.000	424.299	433.540	403.371
10000.000	426.836	381.704	405.776
10000.000	411.796	439.823	392.073
10009.000	429.262	397.411	408.632
9999.000	430.375	408.407	409.131
10001.000	415.311	439.823	394.850
10001.000	425.421	380.133	404.435
9999.000	406.770	331.438	386.752
9998.000	430.517	413.119	409.266
10000.000	405.355	329.867	385.967
10000.000	421.622	370.708	401.389
9999.000	431.161	402.124	409.877
10001.000	402.870	325.155	383.055
10001.000	428.434	395.841	407.847
9999.000	430.960	408.407	409.687
10000.000	429.872	424.115	408.655
10000.000	413.882	347.146	393.496
9997.000	409.983	340.863	390.354
10000.000	429.002	414.690	407.830
10000.000	419.480	364.425	399.358
9995.000	405.009	441.394	385.084
10001.000	410.382	438.252	390.177
10000.000	407.255	334.580	387.768
10002.000	428.600	427.257	407.449
10000.000	426.978	386.416	406.466
10001.000	405.113	328.296	385.182
10001.000	407.595	442.965	387.535
10013.000	428.434	395.841	407.291
10000.000	412.039	441.394	391.748
10002.000	429.186	427.257	408.004
10002.000	418.510	358.142	397.883
10000.000	419.512	436.681	399.388
10001.000	399.556	318.872	380.469
10001.000	412.039	441.394	391.748
10000.000	428.600	427.257	407.449
10000.000	419.855	435.111	399.158
10001.000	423.765	376.991	403.420
10002.000	431.061	405.265	410.338
10000.000	419.411	439.823	398.738
9996.000	404.284	326.726	384.396
9999.000	429.245	416.261	408.060
10001.000	430.960	408.407	409.687
10000.000	408.912	337.721	389.339
10000.000	424.451	373.850	403.515
10007.000	412.968	439.823	393.184
10000.000	430.032	409.978	408.806
9999.000	404.423	441.394	384.528
10003.000	419.512	436.681	398.833
10000.000	428.357	425.686	407.219
10000.000	422.441	436.681	401.610
10006.000	423.370	435.111	402.490
10001.000	418.409	361.283	398.343
10002.000	402.323	442.965	382.537
10001.000	426.500	428.827	405.458
9999.000	425.470	433.540	404.482
10004.000	408.669	336.150	389.109
9996.000	415.782	351.858	395.297
9999.000	416.024	353.429	396.082
10001.000	411.696	442.965	391.423
9999.000	426.257	427.257	405.228
10000.000	428.718	405.265	407.561
10004.000	429.019	395.841	407.847
9995.000	412.468	345.575	392.710
10000.000	398.485	315.730	378.898
9997.000	419.855	435.111	399.713
9997.000	420.784	433.540	400.039
10000.000	426.392	386.416	405.911
9996.000	430.777	395.841	409.513
10003.000	405.838	442.965	385.869
10003.000	426.156	430.398	405.132
9998.000	409.255	336.150	389.109
10000.000	423.127	433.540	402.260
10001.000	428.215	420.973	407.084
9998.000	406.080	444.535	386.099
10000.000	413.054	345.575	392.710
10003.000	432.215	424.115	410.877
10005.000	431.688	413.119	410.377
9999.000	414.125	348.717	394.281
9997.000	413.796	441.394	393.969
10000.000	430.032	409.978	408.806
10008.000	403.495	442.965	383.648
10001.000	411.453	441.394	391.193
10004.000	420.784	433.540	400.039
10004.000	420.441	435.111	399.713
10003.000	427.765	380.133	406.657
9999.000	416.853	355.000	396.312
10002.000	400.971	320.442	381.255
10000.000	415.897	439.823	395.961
10000.000	421.026	435.111	400.269
10001.000	414.125	348.717	393.726
10001.000	399.556	318.872	380.469
10000.000	409.154	339.292	389.569
9998.000	430.558	420.973	409.306
9999.000	423.279	373.850	402.405
10000.000	429.103	411.549	408.481
9999.000	428.291	391.128	407.156
10001.000	414.610	351.858	394.741
10000.000	430.416	416.261	409.171
9998.000	398.808	442.965	379.205
10001.000	404.080	442.965	384.203
10002.000	428.701	424.115	407.544
9999.000	419.855	435.111	399.158
9999.000	429.931	413.119	408.711
10003.000	417.823	361.283	397.787
10002.000	428.149	386.416	407.022
10000.000	426.635	387.987	406.141
10000.000	421.380	369.137	400.604
10000.000	400.909	441.394	381.196
10001.000	400.971	320.442	381.255
10002.000	415.654	438.252	395.175
9999.000	421.037	370.708	400.278
10002.000	415.196	351.858	394.741
10001.000	408.083	336.150	388.553
10001.000	425.571	430.398	405.132
10000.000	416.825	438.252	396.286
10000.000	398.485	315.730	378.898
10000.000	426.600	425.686	405.553
10003.000	428.777	394.270	407.617
10000.000	428.718	405.265	408.116
10001.000	402.323	442.965	382.537
10003.000	429.120	392.699	408.497
9997.000	428.902	417.832	408.290
9997.000	429.588	414.690	408.941
9995.000	430.902	419.403	409.631
10004.000	406.423	442.965	386.980
9999.000	415.068	438.252	395.175
9998.000	405.355	329.867	385.967
10001.000	430.960	408.407	409.687
9999.000	414.225	345.575	393.821
9996.000	429.730	419.403	409.076
9999.000	429.931	413.119	408.711
10006.000	412.725	438.252	392.399
10001.000	409.696	441.394	389.526
9999.000	428.777	394.270	407.617
10000.000	419.411	439.823	398.738
10000.000	419.480	364.425	399.358
10005.000	430.960	408.407	409.687
10000.000	427.220	387.987	406.696
10011.000	401.151	442.965	381.426
9999.000	402.080	441.394	382.862
10002.000	409.740	339.292	389.569
10000.000	429.747	400.553	409.092
10001.000	405.355	329.867	385.412
10000.000	420.683	436.681	399.944
10000.000	416.368	351.858	395.852
9999.000	404.666	442.965	384.758
10005.000	429.002	414.690	408.386
10010.000	426.257	427.257	405.783
9998.000	428.115	424.115	406.989
10000.000	421.269	436.681	400.499
9999.000	423.227	430.398	402.911
10000.000	429.688	411.549	409.036
10000.000	404.284	326.726	384.396
10000.000	402.627	323.584	382.825
9999.000	418.167	359.712	398.113
9999.000	423.571	428.827	403.236
9999.000	424.108	375.420	403.190
10001.000	424.936	376.991	403.975
10002.000	430.718	406.836	409.457
10000.000	425.085	427.257	404.672
9998.000	424.936	376.991	403.975
10001.000	429.044	422.544	407.870
10001.000	418.340	436.681	398.277
9999.000	427.948	392.699	407.386
10001.000	424.985	430.398	404.022
9999.000	429.889	405.265	409.227
10000.000	423.037	372.279	402.175
10001.000	402.627	323.584	382.825
10009.000	399.394	442.965	379.205
9999.000	430.274	411.549	409.036
10000.000	421.137	367.566	400.374
10011.000	429.688	411.549	409.036
9996.000	408.083	336.150	387.998
10001.000	430.073	417.832	408.846
10000.000	425.571	430.398	404.577
10002.000	429.647	403.695	408.441
10000.000	417.095	356.571	396.542
9999.000	426.149	384.845	405.681
10010.000	428.149	386.416	407.022
10000.000	399.556	318.872	380.469
9999.000	408.767	442.965	388.646
10000.000	412.382	439.823	392.073
9998.000	425.227	431.969	404.252
10000.000	429.103	411.549	407.925
10001.000	422.693	373.850	401.849
9996.000	430.073	417.832	408.846
10001.000	419.581	361.283	399.454
10009.000	428.600	427.257	408.004
9998.000	407.497	336.150	387.998
10001.000	427.428	427.257	406.338
10002.000	418.926	436.681	398.277
10000.000	426.742	430.398	405.688
9998.000	400.323	441.394	380.641
9999.000	415.539	350.288	395.066
10000.000	422.794	370.708	401.945
9999.000	404.770	329.867	385.412
9999.000	415.411	436.681	394.945
10001.000	409.696	441.394	389.526
10016.000	429.973	420.973	408.750
10000.000	411.210	439.823	390.962
9995.000	427.529	424.115	406.989
10001.000	407.841	334.580	388.323
10015.000	421.370	433.540	401.150
10000.000	418.167	359.712	398.113
9996.000	409.397	340.863	389.799
10002.000	404.080	442.965	384.203
9999.000	426.257	427.257	405.783
10002.000	423.622	372.279	402.730
10000.000	416.825	438.252	396.286
9999.000	428.600	427.257	408.004
10004.000	402.323	442.965	382.537
10000.000	426.943	424.115	406.434
10001.000	421.026	435.111	400.269
10001.000	413.796	441.394	393.414
9998.000	426.492	383.274	405.451
10001.000	429.019	395.841	407.847
9999.000	423.813	430.398	402.911
9996.000	426.458	420.973	405.974
10000.000	407.841	334.580	387.768
9999.000	423.865	373.850	403.515
10000.000	412.711	347.146	392.940
10001.000	397.899	315.730	378.898
10000.000	422.693	373.850	402.405
9999.000	424.350	376.991	403.420
9995.000	422.198	435.111	401.935
10002.000	401.151	442.965	381.981
10002.000	420.309	365.996	400.144
9999.000	425.806	386.416	405.356
10000.000	417.411	438.252	396.841
9998.000	402.627	323.584	382.825
10002.000	420.066	364.425	399.914
9999.000	430.274	411.549	409.036
9993.000	430.960	408.407	409.687
10002.000	424.836	380.133	403.880
10001.000	430.718	406.836	409.457
9998.000	407.696	439.823	387.630
10000.000	430.718	406.836	409.457
10000.000	417.823	361.283	397.787
9994.000	429.019	395.841	407.847
10001.000	402.627	323.584	382.825
10002.000	426.257	427.257	405.228
10000.000	407.598	333.009	387.538
10000.000	427.706	391.128	406.601
10000.000	426.843	427.257	405.783
10001.000	429.446	409.978	408.806
9998.000	399.980	442.965	380.315
9998.000	407.497	336.150	387.998
9999.000	401.799	322.013	382.040
9999.000	416.482	439.823	395.961
10000.000	423.470	431.969	402.586
10011.000	399.980	442.965	380.315
9999.000	428.291	391.128	407.156
9998.000	404.284	326.726	384.396
10003.000	426.007	380.133	404.991
10001.000	430.718	406.836	409.457
9999.000	425.813	431.969	404.807
10001.000	415.196	351.858	395.297
9998.000	414.139	439.823	393.739
9998.000	403.941	328.296	384.626
10012.000	425.227	431.969	404.252
10001.000	410.624	439.823	390.962
9999.000	426.600	425.686	406.108
10002.000	424.593	378.562	403.650
10004.000	422.441	436.681	401.610
10000.000	406.181	441.394	386.750
10001.000	429.186	427.257	408.004
9996.000	430.801	422.544	409.536
10000.000	407.012	333.009	387.538
10001.000	415.311	439.823	395.405
9998.000	430.960	408.407	409.687
10000.000	426.735	384.845	405.681
10001.000	428.659	416.261	408.060
10000.000	402.870	325.155	383.055
9995.000	425.671	427.257	405.228
10001.000	427.813	433.540	406.703
9991.000	418.995	361.283	398.898
10000.000	425.328	428.827	404.347
10000.000	424.836	380.133	404.435
10000.000	402.423	439.823	383.187
10000.000	417.068	439.823	396.516
10001.000	422.551	369.137	401.714
9998.000	422.441	436.681	401.610
10001.000	415.439	353.429	395.527
10001.000	414.125	348.717	394.281
10001.000	421.966	369.137	401.159
10000.000	422.208	370.708	401.945
9998.000	429.588	414.690	408.941
10003.000	425.671	427.257	404.672
10001.000	417.512	435.111	397.492
10000.000	428.458	422.544	407.870
10000.000	426.250	381.704	405.221
9997.000	424.500	427.257	403.562
10004.000	420.441	435.111	400.269
10000.000	423.622	372.279	402.730
10000.000	430.475	405.265	409.227
10007.000	407.595	442.965	388.090
9997.000	429.872	424.115	408.655
9999.000	429.647	403.695	408.441
9991.000	418.995	361.283	398.343
10000.000	415.196	351.858	395.297
10000.000	429.262	397.411	408.077
9999.000	410.811	342.434	390.584
10000.000	399.314	317.301	379.684
9997.000	417.754	436.681	397.167
10001.000	399.556	318.872	380.469
10001.000	429.730	419.403	409.076
9999.000	411.796	439.823	391.518
9999.000	427.078	383.274	406.006
10003.000	401.151	442.965	381.426
10001.000	429.688	411.549	409.036
10000.000	418.510	358.142	397.883
10003.000	426.500	428.827	405.458
10000.000	412.811	344.004	392.480
9998.000	412.968	439.823	392.629
10000.000	412.382	439.823	392.073
10001.000	427.186	425.686	406.108
9998.000	418.995	361.283	398.343
10001.000	411.696	442.965	391.423
9999.000	424.108	375.420	403.190
9998.000	413.054	345.575	392.710
10000.000	428.458	422.544	407.314
10000.000	411.696	442.965	391.423
10000.000	417.924	358.142	397.883
10000.000	426.742	430.398	405.688
9999.000	430.073	417.832	408.846
10000.000	426.635	387.987	406.141
9999.000	426.357	424.115	405.878
9998.000	404.080	442.965	384.203
9999.000	416.853	355.000	396.312
9999.000	421.137	367.566	400.929
9998.000	407.009	442.965	386.980
10000.000	430.333	400.553	409.647
10004.000	430.558	420.973	409.306
10001.000	430.860	411.549	409.592
10001.000	412.039	441.394	392.303
