Area	ImageJ	Crofton2	Crofton4
3401.000	271.078	260.752	260.330
3410.000	271.907	262.323	261.671
3400.000	271.078	260.752	260.886
3408.000	270.836	259.181	260.656
3414.000	271.078	260.752	260.886
3411.000	273.321	263.894	262.457
3403.000	271.664	260.752	260.886
3404.000	272.492	262.323	261.671
3412.000	271.664	260.752	260.886
3404.000	271.664	260.752	260.886
3407.000	271.664	260.752	261.441
3406.000	272.735	263.894	262.457
3407.000	273.907	263.894	263.567
3407.000	272.735	263.894	262.457
3407.000	271.664	260.752	260.886
3406.000	269.664	259.181	259.545
3410.000	271.078	260.752	260.886
3415.000	270.250	259.181	259.545
3408.000	270.250	259.181	260.100
3402.000	271.321	262.323	261.116
3407.000	271.664	260.752	260.886
3406.000	272.735	263.894	261.901
3405.000	271.907	262.323	261.116
3407.000	270.250	259.181	260.100
3411.000	271.907	262.323	261.671
3408.000	271.907	262.323	261.116
3416.000	273.321	263.894	262.457
3411.000	271.907	262.323	261.116
3406.000	271.421	259.181	260.656
3411.000	271.907	262.323	261.671
3408.000	272.492	262.323	262.227
3405.000	271.907	262.323	261.671
3405.000	272.735	263.894	261.901
3403.000	269.664	259.181	259.545
3404.000	272.250	260.752	261.441
3407.000	271.664	260.752	260.886
3408.000	271.664	260.752	261.441
3407.000	270.250	259.181	260.100
3406.000	270.250	259.181	260.100
3403.000	271.664	260.752	260.886
3402.000	271.664	260.752	260.330
3405.000	271.078	260.752	260.886
3406.000	270.593	257.611	259.315
3405.000	271.907	262.323	261.116
3403.000	271.078	260.752	260.886
3405.000	270.250	259.181	260.100
3402.000	271.078	260.752	260.330
3407.000	271.907	262.323	261.671
3415.000	271.078	260.752	260.886
3407.000	271.907	262.323	261.116
3405.000	271.664	260.752	261.441
3409.000	271.907	262.323	261.671
3405.000	270.250	259.181	259.545
3416.000	271.078	260.752	260.886
3408.000	270.492	260.752	259.775
3409.000	273.907	263.894	263.012
3407.000	270.250	259.181	259.545
3406.000	271.664	260.752	260.886
3405.000	271.078	260.752	260.330
3399.000	271.321	262.323	261.116
3410.000	272.250	260.752	261.997
3408.000	269.664	259.181	259.545
3402.000	270.492	260.752	260.330
3402.000	271.078	260.752	260.886
3399.000	272.492	262.323	262.227
3406.000	271.078	260.752	260.886
3408.000	271.664	260.752	261.441
