Area	ImageJ	Crofton2	Crofton4
2982.000	239.279	229.336	229.628
2982.000	239.865	229.336	230.183
2982.000	239.037	227.765	229.398
2984.000	239.865	229.336	230.183
2982.000	240.108	230.907	229.858
2986.000	240.108	230.907	230.413
2985.000	239.279	229.336	229.628
2994.000	240.693	230.907	230.413
2978.000	240.693	230.907	230.968
2986.000	240.693	230.907	230.968
2985.000	238.693	229.336	229.072
2980.000	239.279	229.336	229.072
2981.000	239.279	229.336	229.628
2982.000	240.108	230.907	230.413
2982.000	238.451	227.765	228.842
2987.000	239.865	229.336	229.628
2984.000	238.451	227.765	228.287
2987.000	239.279	229.336	229.072
2987.000	240.693	230.907	230.968
2979.000	238.451	227.765	228.287
2991.000	239.865	229.336	230.183
2980.000	238.208	226.195	228.057
2979.000	239.279	229.336	229.628
2981.000	239.279	229.336	229.628
2986.000	239.865	229.336	230.183
2975.000	239.522	230.907	229.858
2983.000	239.865	229.336	229.628
2984.000	239.522	230.907	229.858
2987.000	239.865	229.336	229.628
2981.000	239.865	229.336	229.628
2983.000	239.279	229.336	229.072
2986.000	240.108	230.907	230.413
2989.000	240.451	229.336	230.183
2981.000	240.108	230.907	230.413
2984.000	239.865	229.336	230.183
2989.000	239.279	229.336	229.628
2989.000	238.693	229.336	229.072
2986.000	240.108	230.907	230.413
2986.000	238.451	227.765	228.842
2979.000	239.865	229.336	229.628
2985.000	239.037	227.765	229.398
2991.000	239.279	229.336	229.072
2986.000	240.693	230.907	230.968
2987.000	240.693	230.907	230.968
2985.000	240.936	232.478	231.199
2987.000	239.522	230.907	229.858
2983.000	239.865	229.336	230.183
2986.000	240.108	230.907	230.413
2981.000	240.936	232.478	231.199
2982.000	239.522	230.907	229.858
2983.000	240.108	230.907	230.413
2984.000	240.108	230.907	230.413
2989.000	240.693	230.907	230.968
2984.000	239.865	229.336	229.628
2986.000	240.108	230.907	230.413
2988.000	240.108	230.907	230.413
2982.000	239.279	229.336	229.628
2985.000	240.936	232.478	230.643
2980.000	238.451	227.765	228.287
