Radius	Area	AreaStd	AreaMin	AreaMax	ImageJ	ImageJStd	ImageJMin	ImageJMax	Crofton2	Crofton2Std	Crofton2Min	Crofton2Max	Crofton4	Crofton4Std	Crofton4Min	Crofton4Max
  1.000	  0.841	 21.781	-36.338	 27.324	-12.951	  6.996	-32.476	 -9.968	 -4.100	  9.262	-25.000	  0.000	 -6.371	 10.020	-27.145	  3.033
  1.050	  0.502	 17.657	-42.257	 44.358	-13.023	  8.910	-35.692	 28.617	 -4.024	  9.349	-28.571	 42.857	 -5.949	  8.462	-30.614	 21.936
  1.100	 -0.114	 12.617	-47.387	 31.533	-12.702	 11.375	-38.615	 22.770	 -3.818	 11.282	-31.818	 36.364	 -5.578	  7.404	-33.768	 16.394
  1.150	 -0.259	 10.139	-27.794	 44.413	-11.904	 13.914	-21.712	 17.433	 -3.609	 13.853	-13.043	 30.435	 -5.197	  8.017	-18.092	 15.835
  1.200	  0.047	 13.657	-11.581	 32.629	-10.473	 15.110	-24.974	 12.540	 -2.812	 15.356	-16.667	 25.000	 -4.516	  9.907	-14.139	 14.060
  1.250	  0.168	 16.560	-18.513	 22.231	-10.305	 14.491	-27.975	  8.038	 -3.240	 14.998	-20.000	 20.000	 -4.216	 10.817	-17.574	  9.497
  1.300	  0.258	 17.340	-24.660	 31.844	 -9.214	 13.985	-30.745	 11.054	 -2.404	 14.945	-23.077	 15.385	 -3.737	 10.896	-20.744	 12.085
  1.350	 -0.691	 17.134	-30.138	 22.259	 -9.030	 13.192	-33.310	  6.941	 -2.556	 13.980	-25.926	 11.111	 -3.902	 10.481	-23.679	  7.934
  1.400	 -0.122	 15.479	-35.039	 13.682	 -7.867	 11.785	-35.692	  3.122	 -2.089	 12.245	-28.571	  7.143	 -3.334	  9.311	-26.405	  4.079
  1.450	  0.103	 13.510	-39.442	 36.256	 -7.168	  9.728	-37.909	  5.996	 -2.017	  9.917	-31.034	  3.448	 -3.023	  7.854	-28.943	 12.682
  1.500	  0.374	 11.036	-43.412	 27.324	 -6.632	  6.795	-39.979	  2.462	 -1.900	  6.393	-33.333	  0.000	 -2.714	  5.948	-31.311	  8.926
  1.550	 -0.367	  8.749	-47.004	 19.242	 -6.148	  5.114	-41.915	  7.664	 -1.823	  5.387	-35.484	 12.903	 -2.834	  4.191	-33.527	  5.412
  1.600	 -0.528	  6.836	-12.962	 24.340	 -6.197	  5.480	-15.595	  4.299	 -2.031	  6.940	 -6.250	  9.375	 -2.789	  3.300	 -8.931	  9.930
  1.650	  0.328	  9.117	-18.157	 40.302	 -5.398	  6.015	-18.153	  9.129	 -1.470	  8.655	 -9.091	 21.212	 -2.207	  4.444	-11.690	 14.175
  1.700	  0.460	 10.503	-11.887	 32.170	 -5.218	  5.928	-15.076	  5.920	 -1.059	  9.329	-11.765	 17.647	 -1.999	  5.070	 -9.089	 10.817
  1.750	 -0.053	 10.053	-16.850	 24.726	 -5.297	  5.552	-12.175	  2.893	 -1.629	  9.340	-14.286	 14.286	 -2.175	  4.814	 -9.594	  7.650
  1.800	 -0.184	  9.139	-11.581	 17.893	 -4.991	  5.377	-14.615	  5.215	 -1.208	  9.093	-16.667	 11.111	 -1.986	  4.537	 -9.229	  4.660
  1.850	  0.250	  9.389	-16.295	 20.907	 -4.854	  5.166	-16.922	  2.371	 -1.149	  8.634	-18.919	  8.108	 -1.727	  4.788	-11.682	  6.609
  1.900	 -0.627	  9.676	-20.643	 14.627	 -5.079	  4.608	-19.109	 -0.323	 -1.895	  7.586	-21.053	  5.263	 -2.036	  4.778	-14.006	  3.804
  1.950	  0.327	  9.486	-24.660	 17.195	 -4.655	  3.974	-21.183	  1.902	 -0.949	  6.083	-23.077	  2.564	 -1.575	  4.337	-16.211	  5.675
  2.000	 -0.202	  8.252	-20.423	 11.408	 -4.674	  2.804	-16.561	 -0.645	 -0.975	  3.354	-12.500	  0.000	 -1.649	  3.408	-12.056	  3.033
  2.050	  0.306	  6.221	-16.683	  6.040	 -4.330	  3.606	-12.164	  9.795	 -0.829	  4.542	-14.634	 21.951	 -1.297	  3.163	 -8.103	  6.618
  2.100	 -0.003	  5.059	-13.385	 15.487	 -4.549	  4.086	-14.256	  7.181	 -1.333	  6.247	 -4.762	 19.048	 -1.561	  3.186	-10.291	  4.079
  2.150	 -0.035	  5.117	-10.481	 10.178	 -4.193	  4.108	-11.913	  9.024	 -0.988	  7.573	 -6.977	 16.279	 -1.371	  3.208	 -8.266	  7.473
  2.200	  0.037	  5.677	-14.504	 11.803	 -3.892	  4.697	 -9.678	  6.546	 -0.966	  8.213	 -9.091	 13.636	 -1.227	  3.770	 -6.334	  9.048
  2.250	 -0.109	  5.662	-11.974	 19.464	 -3.846	  4.733	-11.685	  8.322	 -0.978	  8.171	-11.111	 11.111	 -1.314	  4.037	 -8.415	 10.553
  2.300	 -0.151	  6.620	 -9.742	 26.361	 -3.753	  4.513	 -9.551	  5.967	 -1.065	  8.279	-13.043	  8.696	 -1.235	  4.140	 -6.563	  8.149
  2.350	  0.326	  7.215	-13.542	 21.041	 -3.357	  4.094	-11.476	  3.713	 -0.372	  7.434	-14.894	  6.383	 -0.922	  3.880	 -8.551	  5.848
  2.400	  0.124	  7.360	-11.581	 16.050	 -3.318	  3.734	-11.711	  1.552	 -0.479	  6.484	-16.667	  4.167	 -0.996	  3.580	 -8.931	  3.643
  2.450	  0.215	  6.982	-15.153	 11.362	 -3.314	  3.183	-13.513	 -0.520	 -0.571	  5.210	-18.367	  2.041	 -1.052	  3.057	-10.789	  1.528
  2.500	 -0.107	  4.885	-18.513	  6.952	 -3.173	  1.751	-13.058	 -2.510	 -0.650	  2.808	-20.000	  0.000	 -1.004	  1.565	-10.503	 -0.503
  2.550	 -0.197	  3.298	 -6.991	  7.694	 -2.974	  2.477	 -8.078	  8.061	 -0.353	  3.632	 -1.961	  7.843	 -0.887	  2.493	 -2.453	  9.381
  2.600	  0.023	  3.702	 -5.825	 13.009	 -2.960	  3.271	 -6.260	  5.983	 -0.712	  4.769	 -3.846	 15.385	 -1.066	  3.296	 -4.329	  7.277
  2.650	  0.055	  4.168	 -9.346	  8.785	 -2.752	  3.554	 -8.028	  3.983	 -0.858	  5.355	 -5.660	 13.208	 -0.885	  3.646	 -6.134	  5.253
  2.700	  0.034	  4.351	 -8.306	 13.526	 -2.617	  3.582	 -9.731	  3.488	 -0.741	  6.001	 -7.407	 11.111	 -0.902	  3.558	 -7.873	  4.660
  2.750	  0.028	  5.039	-11.610	  9.435	 -2.507	  3.426	-11.373	  1.607	 -0.555	  6.069	 -9.091	  9.091	 -0.892	  3.315	 -9.548	  2.757
  2.800	  0.190	  5.197	-10.678	  9.622	 -2.259	  2.964	 -9.626	  3.122	 -0.295	  5.755	-10.714	  7.143	 -0.650	  2.788	 -8.006	  4.079
  2.850	  0.386	  5.270	 -9.866	  9.728	 -1.961	  2.832	 -7.940	  4.584	 -0.088	  5.395	-12.281	  5.263	 -0.562	  2.531	 -6.519	  5.354
  2.900	  0.050	  4.937	 -9.162	  5.977	 -2.097	  2.741	 -8.195	  2.781	 -0.534	  4.914	-13.793	  3.448	 -0.770	  2.635	 -5.083	  3.538
  2.950	  0.019	  4.379	-12.216	 17.046	 -2.020	  2.591	 -9.751	  4.199	 -0.407	  3.834	-15.254	  1.695	 -0.766	  2.596	 -5.450	  4.779
  3.000	 -0.150	  4.004	 -8.044	 13.177	 -1.922	  2.330	 -8.148	  2.462	 -0.400	  1.782	 -8.333	  0.000	 -0.691	  2.362	 -7.026	  3.033
  3.050	 -0.129	  3.361	 -7.612	  9.497	 -1.834	  2.553	 -5.331	  6.372	 -0.549	  2.926	 -1.639	 14.754	 -0.751	  2.705	 -4.452	  9.541
  3.100	  0.004	  3.496	 -7.256	  5.993	 -1.703	  2.855	 -6.858	  7.664	 -0.306	  4.322	 -3.226	 12.903	 -0.656	  2.993	 -5.993	  7.774
  3.150	  0.043	  3.331	 -6.969	  5.863	 -1.553	  3.054	 -8.336	  5.955	 -0.413	  5.265	 -4.762	 11.111	 -0.650	  3.183	 -4.679	  6.063
  3.200	  0.081	  2.907	 -6.745	 15.014	 -1.455	  2.852	 -6.855	  4.299	 -0.359	  5.502	 -6.250	  9.375	 -0.588	  2.871	 -6.169	  4.406
  3.250	  0.015	  3.399	 -6.579	 11.503	 -1.283	  2.961	 -5.419	  4.375	 -0.062	  5.603	 -7.692	  7.692	 -0.479	  3.014	 -4.893	  4.393
  3.300	 -0.228	  4.061	 -6.465	  8.149	 -1.534	  3.188	 -6.852	  3.964	 -0.742	  5.609	 -9.091	  6.061	 -0.828	  3.199	 -6.334	  3.921
  3.350	  0.001	  4.068	 -9.237	  4.945	 -1.185	  3.103	 -8.243	  5.195	 -0.396	  5.165	-10.448	  4.478	 -0.571	  3.068	 -7.732	  5.008
