Radius	Area	AreaStd	ImageJ	ImageJStd	Crofton2	Crofton2Std	Crofton4	Crofton4Std
  1.000	  3.168	  0.684	  5.469	  0.440	  6.026	  0.582	  5.883	  0.630
  1.050	  3.481	  0.612	  5.738	  0.588	  6.332	  0.617	  6.205	  0.558
  1.100	  3.797	  0.480	  6.034	  0.786	  6.648	  0.780	  6.526	  0.512
  1.150	  4.144	  0.421	  6.366	  1.005	  6.965	  1.001	  6.850	  0.579
  1.200	  4.526	  0.618	  6.750	  1.139	  7.328	  1.158	  7.199	  0.747
  1.250	  4.917	  0.813	  7.045	  1.138	  7.600	  1.178	  7.523	  0.850
  1.300	  5.323	  0.921	  7.416	  1.142	  7.972	  1.221	  7.863	  0.890
  1.350	  5.686	  0.981	  7.716	  1.119	  8.266	  1.186	  8.151	  0.889
  1.400	  6.150	  0.953	  8.104	  1.037	  8.613	  1.077	  8.503	  0.819
  1.450	  6.612	  0.892	  8.458	  0.886	  8.927	  0.904	  8.835	  0.716
  1.500	  7.095	  0.780	  8.800	  0.640	  9.246	  0.603	  9.169	  0.561
  1.550	  7.520	  0.660	  9.140	  0.498	  9.561	  0.525	  9.463	  0.408
  1.600	  8.000	  0.550	  9.430	  0.551	  9.849	  0.698	  9.773	  0.332
  1.650	  8.581	  0.780	  9.808	  0.624	 10.215	  0.897	 10.138	  0.461
  1.700	  9.121	  0.954	 10.124	  0.633	 10.568	  0.996	 10.468	  0.542
  1.750	  9.616	  0.967	 10.413	  0.610	 10.817	  1.027	 10.756	  0.529
  1.800	 10.160	  0.930	 10.745	  0.608	 11.173	  1.028	 11.085	  0.513
  1.850	 10.779	  1.010	 11.060	  0.601	 11.490	  1.004	 11.423	  0.557
  1.900	 11.270	  1.097	 11.332	  0.550	 11.712	  0.906	 11.695	  0.570
  1.950	 11.985	  1.133	 11.682	  0.487	 12.136	  0.745	 12.059	  0.531
  2.000	 12.541	  1.037	 11.979	  0.352	 12.444	  0.421	 12.359	  0.428
  2.050	 13.243	  0.821	 12.323	  0.464	 12.774	  0.585	 12.714	  0.407
  2.100	 13.854	  0.701	 12.594	  0.539	 13.019	  0.824	 12.989	  0.420
  2.150	 14.517	  0.743	 12.942	  0.555	 13.375	  1.023	 13.324	  0.433
  2.200	 15.211	  0.863	 13.285	  0.649	 13.689	  1.135	 13.653	  0.521
  2.250	 15.887	  0.901	 13.593	  0.669	 13.999	  1.155	 13.951	  0.571
  2.300	 16.594	  1.100	 13.909	  0.652	 14.297	  1.196	 14.273	  0.598
  2.350	 17.406	  1.252	 14.270	  0.604	 14.711	  1.098	 14.629	  0.573
  2.400	 18.118	  1.332	 14.579	  0.563	 15.007	  0.978	 14.929	  0.540
  2.450	 18.898	  1.317	 14.884	  0.490	 15.306	  0.802	 15.232	  0.471
  2.500	 19.614	  0.959	 15.209	  0.275	 15.606	  0.441	 15.550	  0.246
  2.550	 20.388	  0.674	 15.546	  0.397	 15.966	  0.582	 15.880	  0.399
  2.600	 21.242	  0.786	 15.853	  0.534	 16.220	  0.779	 16.162	  0.538
  2.650	 22.074	  0.919	 16.192	  0.592	 16.507	  0.892	 16.503	  0.607
  2.700	 22.910	  0.996	 16.521	  0.608	 16.839	  1.018	 16.812	  0.604
  2.750	 23.765	  1.197	 16.846	  0.592	 17.183	  1.049	 17.125	  0.573
  2.800	 24.677	  1.280	 17.195	  0.522	 17.541	  1.013	 17.479	  0.490
  2.850	 25.616	  1.345	 17.556	  0.507	 17.891	  0.966	 17.806	  0.453
  2.900	 26.434	  1.304	 17.839	  0.499	 18.124	  0.895	 18.081	  0.480
  2.950	 27.345	  1.197	 18.161	  0.480	 18.460	  0.711	 18.393	  0.481
  3.000	 28.232	  1.132	 18.487	  0.439	 18.774	  0.336	 18.719	  0.445
  3.050	 29.187	  0.982	 18.812	  0.489	 19.058	  0.561	 19.020	  0.518
  3.100	 30.192	  1.056	 19.146	  0.556	 19.418	  0.842	 19.350	  0.583
  3.150	 31.186	  1.039	 19.485	  0.604	 19.710	  1.042	 19.663	  0.630
  3.200	 32.196	  0.935	 19.814	  0.573	 20.034	  1.106	 19.988	  0.577
  3.250	 33.188	  1.128	 20.158	  0.605	 20.408	  1.144	 20.323	  0.616
  3.300	 34.134	  1.389	 20.416	  0.661	 20.581	  1.163	 20.563	  0.663
  3.350	 35.257	  1.434	 20.799	  0.653	 20.965	  1.087	 20.928	  0.646
  3.400	 36.244	  1.583	 21.096	  0.644	 21.258	  0.998	 21.221	  0.632
  3.450	 37.425	  1.471	 21.461	  0.546	 21.597	  0.757	 21.571	  0.523
  3.500	 38.549	  1.313	 21.807	  0.395	 21.930	  0.320	 21.894	  0.346
  3.550	 39.600	  1.017	 22.110	  0.364	 22.239	  0.578	 22.192	  0.368
  3.600	 40.691	  0.838	 22.429	  0.434	 22.539	  0.797	 22.506	  0.477
  3.650	 41.860	  0.779	 22.768	  0.535	 22.868	  0.936	 22.819	  0.589
  3.700	 43.090	  1.176	 23.134	  0.643	 23.226	  1.073	 23.189	  0.716
  3.750	 44.136	  1.429	 23.412	  0.667	 23.494	  1.060	 23.448	  0.693
  3.800	 45.423	  1.505	 23.766	  0.629	 23.832	  1.052	 23.792	  0.663
  3.850	 46.557	  1.583	 24.067	  0.594	 24.105	  0.999	 24.077	  0.600
  3.900	 47.799	  1.544	 24.425	  0.485	 24.473	  0.860	 24.423	  0.450
  3.950	 49.072	  1.513	 24.738	  0.445	 24.778	  0.679	 24.724	  0.401
  4.000	 50.393	  1.266	 25.098	  0.393	 25.071	  0.304	 25.066	  0.354
  4.050	 51.521	  1.013	 25.387	  0.460	 25.368	  0.595	 25.341	  0.479
  4.100	 52.835	  1.075	 25.712	  0.560	 25.692	  0.885	 25.640	  0.598
  4.150	 54.129	  1.218	 26.048	  0.596	 26.036	  1.026	 25.992	  0.658
  4.200	 55.428	  1.412	 26.373	  0.624	 26.338	  1.128	 26.296	  0.688
  4.250	 56.795	  1.400	 26.733	  0.617	 26.661	  1.159	 26.627	  0.662
  4.300	 58.198	  1.361	 27.075	  0.628	 27.044	  1.102	 26.976	  0.674
  4.350	 59.486	  1.596	 27.374	  0.633	 27.316	  1.073	 27.275	  0.686
  4.400	 60.795	  1.777	 27.675	  0.611	 27.571	  0.958	 27.560	  0.641
  4.450	 62.209	  1.695	 28.020	  0.544	 27.918	  0.716	 27.874	  0.515
  4.500	 63.699	  1.508	 28.367	  0.442	 28.219	  0.289	 28.199	  0.371
  4.550	 65.092	  1.252	 28.659	  0.422	 28.504	  0.564	 28.500	  0.397
  4.600	 66.445	  1.034	 28.987	  0.434	 28.816	  0.807	 28.808	  0.428
  4.650	 67.928	  1.047	 29.322	  0.520	 29.151	  0.957	 29.126	  0.558
  4.700	 69.485	  1.250	 29.683	  0.608	 29.523	  1.048	 29.493	  0.654
  4.750	 70.881	  1.367	 29.966	  0.641	 29.784	  1.095	 29.746	  0.704
  4.800	 72.351	  1.669	 30.296	  0.653	 30.100	  1.077	 30.067	  0.703
  4.850	 73.979	  1.793	 30.671	  0.581	 30.483	  0.957	 30.428	  0.600
  4.900	 75.450	  1.935	 30.973	  0.575	 30.795	  0.871	 30.725	  0.569
  4.950	 76.952	  1.636	 31.301	  0.466	 31.039	  0.696	 31.022	  0.399
  5.000	 78.587	  1.277	 31.603	  0.355	 31.355	  0.304	 31.328	  0.280
  5.050	 80.082	  1.133	 31.921	  0.438	 31.655	  0.594	 31.630	  0.424
  5.100	 81.754	  1.143	 32.289	  0.550	 32.016	  0.884	 31.983	  0.574
  5.150	 83.274	  1.170	 32.591	  0.573	 32.305	  1.008	 32.275	  0.613
  5.200	 84.900	  1.430	 32.915	  0.609	 32.616	  1.116	 32.587	  0.645
  5.250	 86.564	  1.660	 33.262	  0.599	 32.933	  1.145	 32.919	  0.631
  5.300	 88.292	  1.801	 33.585	  0.594	 33.227	  1.150	 33.220	  0.592
  5.350	 89.982	  1.752	 33.917	  0.553	 33.595	  1.056	 33.553	  0.571
  5.400	 91.638	  1.736	 34.240	  0.556	 33.881	  0.929	 33.859	  0.577
  5.450	 93.303	  1.665	 34.595	  0.525	 34.229	  0.687	 34.201	  0.546
  5.500	 94.987	  1.712	 34.868	  0.491	 34.498	  0.316	 34.480	  0.464
  5.550	 96.782	  1.471	 35.211	  0.493	 34.814	  0.597	 34.788	  0.494
  5.600	 98.507	  1.271	 35.545	  0.525	 35.123	  0.832	 35.098	  0.519
  5.650	100.223	  1.200	 35.855	  0.463	 35.415	  0.979	 35.414	  0.467
  5.700	102.110	  1.261	 36.237	  0.527	 35.814	  1.068	 35.779	  0.547
  5.750	103.886	  1.549	 36.537	  0.549	 36.102	  1.069	 36.065	  0.583
  5.800	105.653	  1.756	 36.869	  0.558	 36.372	  1.072	 36.383	  0.607
  5.850	107.588	  1.938	 37.196	  0.591	 36.733	  0.997	 36.705	  0.623
  5.900	109.403	  2.049	 37.525	  0.554	 37.038	  0.900	 37.013	  0.579
  5.950	111.176	  2.033	 37.843	  0.489	 37.333	  0.718	 37.319	  0.491
  6.000	113.036	  1.726	 38.165	  0.344	 37.646	  0.285	 37.639	  0.236
  6.050	114.957	  1.152	 38.508	  0.423	 37.963	  0.624	 37.955	  0.379
  6.100	116.940	  0.979	 38.862	  0.517	 38.296	  0.869	 38.285	  0.533
  6.150	118.864	  1.255	 39.161	  0.589	 38.574	  1.012	 38.569	  0.642
  6.200	120.654	  1.588	 39.444	  0.604	 38.905	  1.131	 38.875	  0.641
