Angle	Area	AreaStd	AreaMin	AreaMax	ImageJ	ImageJStd	ImageJMin	ImageJMax	Crofton2	Crofton2Std	Crofton2Min	Crofton2Max	Crofton4	Crofton4Std	Crofton4Min	Crofton4Max
  0.000	  0.000	  0.000	  0.000	  0.000	 -0.586	  0.000	 -0.586	 -0.586	-21.460	  0.000	-21.460	-21.460	 -5.472	  0.000	 -5.472	 -5.472
  0.500	  0.000	  0.007	 -0.010	  0.010	 -0.356	  0.080	 -0.672	 -0.172	-20.788	  0.189	-21.460	-20.675	 -5.137	  0.098	 -5.472	 -5.079
  1.000	  0.000	  0.008	 -0.020	  0.010	 -0.030	  0.141	 -0.464	  0.243	-20.116	  0.245	-20.675	-19.889	 -4.807	  0.133	 -5.218	 -4.686
  1.500	  0.000	  0.014	 -0.030	  0.040	  0.309	  0.161	 -0.197	  0.657	-19.457	  0.267	-19.889	-19.104	 -4.488	  0.149	 -4.964	 -4.294
  2.000	  0.000	  0.014	 -0.040	  0.030	  0.643	  0.172	  0.218	  1.071	-18.794	  0.265	-19.104	-18.319	 -4.171	  0.159	 -4.571	 -3.901
  2.500	 -0.001	  0.019	 -0.050	  0.040	  0.978	  0.167	  0.632	  1.485	-18.126	  0.229	-18.319	-17.533	 -3.856	  0.151	 -4.179	 -3.508
  3.000	 -0.001	  0.026	 -0.090	  0.050	  1.282	  0.131	  1.046	  1.692	-17.505	  0.102	-17.533	-17.140	 -3.570	  0.112	 -3.786	 -3.312
  3.500	  0.000	  0.011	 -0.030	  0.030	  1.600	  0.247	  0.753	  1.899	-16.857	  0.201	-17.533	-16.748	 -3.269	  0.233	 -4.064	 -3.116
  4.000	 -0.000	  0.008	 -0.020	  0.020	  1.895	  0.289	  1.167	  2.314	-16.225	  0.264	-16.748	-15.962	 -2.990	  0.268	 -3.671	 -2.723
  4.500	  0.000	  0.014	 -0.030	  0.040	  2.201	  0.278	  1.581	  2.728	-15.590	  0.282	-15.962	-15.177	 -2.701	  0.253	 -3.278	 -2.330
  5.000	 -0.001	  0.020	 -0.050	  0.060	  2.490	  0.234	  2.289	  3.142	-14.970	  0.243	-15.177	-14.392	 -2.430	  0.204	 -2.608	 -1.937
  5.500	  0.000	  0.022	 -0.060	  0.060	  2.760	  0.124	  2.496	  3.556	-14.365	  0.107	-14.784	-13.606	 -2.175	  0.097	 -2.411	 -1.545
  6.000	 -0.000	  0.035	 -0.090	  0.090	  3.034	  0.220	  2.410	  3.410	-13.758	  0.220	-14.392	-13.606	 -1.915	  0.201	 -2.493	 -1.545
