Angle	Area	AreaStd	ImageJ	ImageJStd	Crofton2	Crofton2Std	Crofton4	Crofton4Std
  0.000	10000.000	  0.000	397.657	  0.000	314.159	  0.000	378.113	  0.000
  0.500	10000.031	  0.680	398.576	  0.319	316.847	  0.756	379.451	  0.393
  1.000	10000.031	  0.799	399.882	  0.564	319.535	  0.979	380.771	  0.530
  1.500	10000.006	  1.378	401.234	  0.645	322.172	  1.067	382.047	  0.595
  2.000	10000.023	  1.377	402.573	  0.690	324.823	  1.059	383.315	  0.636
  2.500	9999.946	  1.867	403.911	  0.669	327.497	  0.916	384.576	  0.603
  3.000	9999.943	  2.645	405.126	  0.525	329.982	  0.409	385.719	  0.447
  3.500	10000.008	  1.086	406.399	  0.987	332.572	  0.806	386.923	  0.932
  4.000	9999.980	  0.806	407.579	  1.158	335.100	  1.056	388.040	  1.073
  4.500	10000.011	  1.360	408.805	  1.111	337.640	  1.128	389.196	  1.011
  5.000	9999.944	  1.963	409.958	  0.934	340.121	  0.973	390.282	  0.817
  5.500	10000.004	  2.197	411.041	  0.497	342.539	  0.429	391.302	  0.388
  6.000	9999.981	  3.489	412.137	  0.880	344.969	  0.879	392.340	  0.805
  6.500	10000.138	  1.868	413.199	  1.163	347.380	  1.125	393.348	  1.075
  7.000	9999.980	  1.413	414.251	  1.311	349.774	  1.080	394.325	  1.158
  7.500	10000.069	  1.292	415.181	  0.896	352.075	  0.611	395.211	  0.740
  8.000	9999.985	  0.762	416.143	  0.514	354.409	  0.774	396.115	  0.401
  8.500	9999.993	  0.955	417.051	  0.790	356.674	  1.059	396.965	  0.672
  9.000	9999.993	  1.058	417.996	  0.892	358.991	  0.979	397.854	  0.730
  9.500	9999.877	  6.123	418.834	  0.701	361.203	  0.545	398.652	  0.639
 10.000	10000.052	  3.125	419.665	  1.160	363.412	  1.044	399.441	  1.055
 10.500	9999.965	  1.007	420.453	  1.372	365.593	  1.101	400.181	  1.201
 11.000	9999.969	  1.701	421.192	  0.822	367.716	  0.502	400.877	  0.660
 11.500	9999.987	  0.989	421.931	  0.592	369.820	  0.886	401.574	  0.459
 12.000	10000.034	  0.988	422.661	  0.845	371.987	  1.058	402.267	  0.686
 12.500	10000.044	  1.155	423.337	  0.605	374.062	  0.551	402.909	  0.510
 13.000	9999.963	  3.426	423.912	  1.089	376.036	  1.012	403.450	  0.978
 13.500	10000.032	  0.897	424.667	  1.195	378.160	  0.964	404.137	  1.007
 14.000	10000.181	 12.319	425.147	  0.547	380.098	  0.460	404.600	  0.420
 14.500	9999.909	  1.522	425.712	  0.927	382.054	  1.148	405.126	  0.776
 15.000	9999.920	  0.952	426.203	  1.004	383.975	  0.985	405.593	  0.795
 15.500	9999.931	  0.943	426.702	  0.717	385.880	  0.761	406.052	  0.560
 16.000	10000.004	  0.600	427.128	  0.745	387.751	  0.772	406.466	  0.586
 16.500	9999.998	  0.533	427.542	  0.672	389.573	  0.864	406.855	  0.551
 17.000	9999.950	  1.099	427.849	  1.351	391.332	  1.329	407.141	  1.173
 17.500	9999.996	  0.942	428.362	  1.248	393.238	  1.065	407.609	  1.043
 18.000	10000.105	  1.819	428.599	  0.673	394.911	  0.776	407.846	  0.520
 18.500	10000.043	 11.246	428.869	  0.773	396.643	  0.875	408.097	  0.626
 19.000	9999.935	  1.343	429.112	  1.107	398.345	  0.965	408.325	  0.987
 19.500	9999.980	  0.976	429.332	  1.198	400.013	  0.902	408.531	  0.990
 20.000	10000.505	  4.417	429.582	  0.586	401.687	  0.777	408.741	  0.437
 20.500	10000.056	  1.580	429.762	  1.066	403.313	  1.168	408.900	  0.831
 21.000	10000.029	  1.026	429.828	  0.547	404.835	  0.701	408.984	  0.386
 21.500	10000.021	  1.628	429.852	  0.832	406.315	  0.779	409.016	  0.663
 22.000	10000.022	  1.280	429.956	  0.947	407.887	  1.084	409.100	  0.804
 22.500	10000.016	  1.027	430.063	  1.310	409.422	  1.193	409.186	  1.089
 23.000	9999.987	  1.261	429.981	  0.693	410.846	  0.812	409.136	  0.547
