Area	ImageJ	Crofton2	Crofton4
2866.000	216.794	208.916	207.755
2864.000	218.066	205.774	208.406
2873.000	218.066	205.774	208.406
2864.000	218.551	208.916	208.866
2869.000	217.581	202.633	207.390
2875.000	217.966	208.916	208.310
2870.000	217.622	210.487	207.985
2876.000	217.238	204.204	207.065
2865.000	217.723	207.345	208.080
2870.000	218.551	208.916	208.866
2869.000	219.480	207.345	209.746
2864.000	215.279	210.487	206.319
2870.000	219.137	208.916	208.866
2871.000	219.037	212.058	209.881
2869.000	217.622	210.487	208.540
2871.000	217.380	208.916	207.755
2878.000	216.693	212.058	207.660
2872.000	216.451	210.487	207.430
2868.000	216.794	208.916	207.755
2864.000	217.622	210.487	207.985
2866.000	215.581	201.062	206.049
2868.000	217.865	212.058	208.770
2870.000	216.409	202.633	206.835
2873.000	217.622	210.487	207.985
2873.000	217.279	212.058	208.215
2865.000	217.622	210.487	207.430
2870.000	216.451	210.487	207.430
2868.000	217.137	207.345	207.525
2865.000	217.581	202.633	207.390
2867.000	217.966	208.916	208.866
2869.000	218.066	205.774	208.406
2873.000	217.622	210.487	207.430
2868.000	217.723	207.345	208.080
2869.000	216.108	212.058	207.104
2871.000	218.451	212.058	208.770
2873.000	218.309	207.345	208.636
2869.000	215.823	202.633	206.279
2872.000	216.451	210.487	206.874
2867.000	217.238	204.204	207.620
2867.000	217.622	210.487	208.540
2872.000	217.037	210.487	206.874
2874.000	217.622	210.487	207.430
2869.000	217.238	204.204	207.620
2874.000	216.108	212.058	207.104
2871.000	218.894	207.345	209.191
2869.000	216.451	210.487	207.430
2870.000	217.238	204.204	207.620
2863.000	215.865	210.487	206.874
2869.000	217.037	210.487	207.985
2865.000	218.208	210.487	209.096
2864.000	217.037	210.487	207.985
2866.000	217.480	205.774	207.850
2863.000	217.037	210.487	207.430
2869.000	218.309	207.345	208.636
2870.000	218.894	207.345	208.636
2865.000	217.137	207.345	207.525
2859.000	218.309	207.345	208.636
2870.000	217.238	204.204	207.620
2868.000	218.309	207.345	208.636
2868.000	214.995	201.062	205.494
2862.000	216.451	210.487	207.430
2871.000	217.966	208.916	208.310
2872.000	215.823	202.633	206.279
2867.000	215.823	202.633	206.279
2866.000	218.309	207.345	208.636
2863.000	216.451	210.487	207.430
2869.000	215.581	201.062	206.049
2875.000	217.865	212.058	208.770
2865.000	215.823	202.633	206.279
2866.000	217.723	207.345	208.080
2871.000	217.622	210.487	208.540
2862.000	218.309	207.345	208.080
2860.000	217.480	205.774	207.850
2865.000	216.309	205.774	206.740
2867.000	217.480	205.774	207.850
2873.000	216.693	212.058	207.660
2868.000	217.037	210.487	207.985
2865.000	217.480	205.774	207.850
2863.000	217.037	210.487	207.430
2870.000	216.409	202.633	206.835
2875.000	219.723	208.916	209.976
2864.000	218.309	207.345	208.636
2871.000	217.622	210.487	207.985
2861.000	217.137	207.345	207.525
2868.000	218.309	207.345	208.636
2870.000	218.551	208.916	208.866
2867.000	219.137	208.916	209.421
2860.000	216.451	210.487	207.430
2867.000	217.238	204.204	207.620
2861.000	216.451	210.487	207.430
2871.000	215.865	210.487	206.874
2874.000	218.309	207.345	208.636
2867.000	217.966	208.916	208.310
2864.000	215.823	202.633	206.279
2864.000	218.551	208.916	208.310
2866.000	217.238	204.204	207.620
2870.000	217.037	210.487	207.430
2867.000	216.409	202.633	206.835
2868.000	216.108	212.058	207.104
2880.000	218.894	207.345	208.636
2875.000	218.208	210.487	208.540
2870.000	218.451	212.058	208.770
2872.000	217.238	204.204	207.620
2863.000	215.865	210.487	206.874
2869.000	219.137	208.916	209.421
2866.000	216.451	210.487	207.430
2868.000	217.480	205.774	207.850
2865.000	215.865	210.487	206.874
2869.000	216.409	202.633	206.835
2864.000	217.279	212.058	208.215
2865.000	218.066	205.774	208.406
2871.000	215.279	210.487	206.319
2865.000	217.037	210.487	207.430
2869.000	217.622	210.487	207.985
2872.000	217.723	207.345	208.080
2867.000	218.894	207.345	209.191
2874.000	216.409	202.633	206.835
2872.000	217.279	212.058	208.215
2856.000	216.652	204.204	207.065
2866.000	215.823	202.633	206.279
2868.000	216.652	204.204	207.065
2872.000	219.137	208.916	209.421
2866.000	215.865	210.487	206.874
2868.000	218.309	207.345	208.636
2865.000	216.652	204.204	207.065
2867.000	217.823	204.204	208.176
2864.000	217.723	207.345	208.080
2866.000	215.865	210.487	206.319
2871.000	216.652	204.204	207.065
2869.000	217.966	208.916	208.866
2868.000	218.794	210.487	209.651
2861.000	217.723	207.345	208.080
2872.000	217.865	212.058	208.770
2871.000	218.652	205.774	208.961
2874.000	216.652	204.204	207.065
2866.000	214.995	201.062	205.494
2866.000	216.451	210.487	207.430
2870.000	217.238	204.204	207.620
2873.000	215.823	202.633	206.279
2863.000	217.823	204.204	207.620
2871.000	217.723	207.345	208.080
2866.000	215.865	210.487	206.874
2874.000	218.551	208.916	208.866
2861.000	216.551	207.345	206.970
2871.000	217.037	210.487	207.430
2867.000	215.823	202.633	206.279
2868.000	217.865	212.058	208.770
2873.000	219.037	212.058	209.881
2862.000	217.823	204.204	207.620
2862.000	215.581	201.062	206.049
2868.000	217.137	207.345	207.525
2871.000	219.723	208.916	209.976
2867.000	218.309	207.345	208.636
2862.000	215.037	208.916	206.089
2872.000	218.451	212.058	209.326
2866.000	217.622	210.487	208.540
2874.000	217.823	204.204	208.176
2862.000	215.581	201.062	206.049
2869.000	217.622	210.487	208.540
2866.000	217.380	208.916	207.755
2865.000	217.279	212.058	208.215
2868.000	219.480	207.345	209.746
2864.000	218.794	210.487	209.096
2869.000	218.894	207.345	209.191
2872.000	217.723	207.345	208.080
2869.000	218.208	210.487	209.096
2867.000	218.794	210.487	208.540
2861.000	216.652	204.204	207.065
2866.000	217.279	212.058	208.215
2871.000	218.894	207.345	209.191
2867.000	218.894	207.345	209.191
2870.000	218.208	210.487	208.540
2869.000	218.208	210.487	209.096
2860.000	217.238	204.204	207.620
2870.000	217.723	207.345	207.525
2868.000	218.208	210.487	208.540
2872.000	218.551	208.916	208.866
2868.000	215.865	210.487	206.874
2871.000	217.480	205.774	207.850
2868.000	216.652	204.204	207.065
2871.000	217.238	204.204	207.620
2861.000	217.137	207.345	207.525
2865.000	216.309	205.774	206.740
2863.000	215.037	208.916	206.089
2868.000	218.451	212.058	209.326
2869.000	215.865	210.487	206.874
2867.000	217.966	208.916	208.866
2867.000	217.238	204.204	207.620
2867.000	218.208	210.487	209.096
2867.000	217.966	208.916	208.866
2859.000	215.865	210.487	206.319
2869.000	217.865	212.058	208.770
2867.000	217.238	204.204	207.620
2866.000	217.380	208.916	208.310
2877.000	217.823	204.204	208.176
2866.000	216.409	202.633	206.835
2862.000	218.309	207.345	208.636
2869.000	216.451	210.487	207.430
2873.000	217.865	212.058	208.770
2872.000	219.723	208.916	209.421
2857.000	216.409	202.633	206.835
2870.000	216.652	204.204	207.065
2863.000	215.279	210.487	206.319
2875.000	217.622	210.487	207.985
2864.000	215.823	202.633	206.279
2878.000	217.238	204.204	207.620
2869.000	217.238	204.204	207.620
2869.000	217.966	208.916	208.310
2858.000	218.066	205.774	207.850
2863.000	216.451	210.487	206.874
2865.000	218.309	207.345	208.636
2865.000	218.066	205.774	208.406
2868.000	217.966	208.916	208.310
