Crofton2   Crofton4   Matlab   MatlabPi
-1.91084 -0.225527 -1.58692 0.0343854
-3.53215 -0.749572 -1.89863 -0.277326
1.33178 -0.323876 -1.68446 -0.0631534
2.95309 -0.0864409 -1.42384 0.197466
-1.91084 -0.225527 -1.58692 0.0343854
-2.72149 -0.344245 -1.64679 -0.0254797
2.14243 -0.491768 -1.67569 -0.0543801
1.33178 0.249343 -1.44139 0.17992
0.521126 -0.155984 -1.59931 0.0219995
2.14243 0.0814511 -1.38565 0.235656
-1.10018 0.1798 -1.24115 0.380158
0.521126 0.130626 -1.40733 0.213981
-1.10018 -0.10681 -1.52706 0.0942505
-2.72149 0.228974 -1.45068 0.17063
-2.72149 -0.0576352 -1.50177 0.119538
-1.91084 0.0610824 -1.30102 0.320293
-3.53215 -0.462962 -1.75362 -0.132308
2.14243 0.0814511 -1.47958 0.14173
-2.72149 -0.344245 -1.69375 -0.0724428
1.33178 0.249343 -1.34746 0.273846
0.521126 0.130626 -1.59518 0.0261281
2.95309 -0.0864409 -1.32992 0.291393
-1.91084 0.0610824 -1.48887 0.13244
-2.72149 -0.0576352 -1.54873 0.0725752
2.14243 -0.491768 -1.67569 -0.0543801
2.95309 0.200169 -1.32579 0.295521
-2.72149 -0.344245 -1.64679 -0.0254797
-0.289528 -0.274702 -1.61221 0.00909756
-2.72149 -0.344245 -1.55286 0.0684466
-2.72149 -0.0576352 -1.50177 0.119538
-0.289528 0.011908 -1.27934 0.341968
2.14243 0.0814511 -1.47958 0.14173
2.14243 -0.491768 -1.58176 0.0395462
-0.289528 -0.274702 -1.65917 -0.0378656
-2.72149 -0.344245 -1.55286 0.0684466
0.521126 0.130626 -1.3134 0.307907
-1.91084 0.0610824 -1.39494 0.226367
-0.289528 0.298518 -1.36914 0.252171
-1.91084 0.347692 -1.24992 0.371385
2.14243 0.0814511 -1.47958 0.14173
1.33178 -0.0372665 -1.35159 0.269717
-0.289528 -0.274702 -1.65917 -0.0378656
1.33178 -0.610486 -1.82948 -0.208171
-2.72149 -0.0576352 -1.45481 0.166502
1.33178 0.249343 -1.25354 0.367772
-1.91084 -0.225527 -1.58692 0.0343854
2.14243 -0.205158 -1.67156 -0.0502515
2.14243 0.0814511 -1.52654 0.0947666
2.14243 -0.205158 -1.57763 0.0436748
-2.72149 -0.0576352 -1.54873 0.0725752
-0.289528 0.011908 -1.51416 0.107152
2.14243 -0.205158 -1.67156 -0.0502515
-1.10018 -0.10681 -1.62098 0.000324223
2.14243 -0.205158 -1.48371 0.137601
-1.91084 0.0610824 -1.48887 0.13244
-2.72149 -0.630854 -1.83877 -0.217461
2.14243 0.0814511 -1.38565 0.235656
2.95309 0.200169 -1.23186 0.389447
0.521126 -0.155984 -1.59931 0.0219995
1.33178 -0.0372665 -1.44552 0.175791
-2.72149 -0.344245 -1.64679 -0.0254797
1.33178 -0.323876 -1.6375 -0.0161903
-1.10018 -0.10681 -1.43313 0.188177
-2.72149 -0.344245 -1.83464 -0.213332
2.95309 -0.0864409 -1.42384 0.197466
-1.10018 0.46641 -0.861317 0.759992
2.14243 0.0814511 -1.47958 0.14173
-0.289528 0.298518 -1.46306 0.158244
2.14243 -0.205158 -1.76549 -0.144178
-2.72149 -0.344245 -1.74071 -0.119406
2.95309 0.200169 -1.32579 0.295521
2.14243 -0.205158 -1.57763 0.0436748
-1.10018 0.1798 -1.429 0.192305
2.14243 0.0814511 -1.38565 0.235656
0.521126 0.417235 -1.21535 0.405962
-1.91084 0.0610824 -1.48887 0.13244
0.521126 -0.155984 -1.50538 0.115926
-1.10018 0.1798 -1.429 0.192305
-2.72149 -0.344245 -1.83464 -0.213332
-2.72149 -0.344245 -1.59983 0.0214834
-1.10018 0.1798 -1.429 0.192305
-0.289528 -0.274702 -1.7531 -0.131792
-1.91084 0.0610824 -1.30102 0.320293
2.14243 0.0814511 -1.38565 0.235656
0.521126 0.130626 -1.40733 0.213981
-2.72149 -0.344245 -1.64679 -0.0254797
-2.72149 -0.344245 -1.64679 -0.0254797
2.14243 0.0814511 -1.57351 0.0478034
0.521126 -0.155984 -1.50538 0.115926
-0.289528 0.011908 -1.46719 0.154116
-2.72149 -0.344245 -1.64679 -0.0254797
0.521126 0.417235 -1.26231 0.358999
-1.10018 -0.393419 -1.62511 -0.00380441
-1.91084 0.0610824 -1.30102 0.320293
2.14243 -0.205158 -1.48371 0.137601
-1.91084 0.0610824 -1.48887 0.13244
-1.10018 -0.10681 -1.52706 0.0942505
2.95309 0.200169 -1.09097 0.530337
-2.72149 -0.344245 -1.55286 0.0684466
1.33178 -0.610486 -1.82948 -0.208171
-1.10018 0.46641 -1.1431 0.478213
1.33178 0.249343 -1.34746 0.273846
0.521126 0.703845 -1.30514 0.316164
0.521126 0.417235 -1.4032 0.218109
-0.289528 0.011908 -1.56112 0.0601893
1.33178 0.822562 -0.869574 0.751735
2.14243 -0.205158 -1.53067 0.090638
1.33178 -0.610486 -1.73555 -0.114245
-2.72149 -0.0576352 -1.54873 0.0725752
2.14243 -0.205158 -1.48371 0.137601
-2.72149 -0.344245 -1.45894 0.162373
-2.72149 -0.344245 -1.55286 0.0684466
2.14243 -0.205158 -1.67156 -0.0502515
2.95309 0.200169 -1.32579 0.295521
