Reference   BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
193.769 201.137 197.92 193.371 190.53 193.672
193.769 202.066 196.35 194.252 190.976 194.118
193.769 201.681 190.066 193.887 190.884 194.026
193.769 202.167 193.208 194.347 191.298 194.44
193.769 200.894 196.35 193.141 190.687 193.829
193.769 202.024 188.496 194.213 191.322 194.464
193.769 200.267 188.496 192.547 190.388 193.53
193.769 200.853 188.496 193.102 190.76 193.902
193.769 200.752 191.637 193.007 190.256 193.398
193.769 202.551 199.491 194.712 191.39 194.532
193.769 201.581 193.208 193.792 190.926 194.068
193.769 202.309 197.92 194.482 191.092 194.234
193.769 200.853 188.496 193.102 190.76 193.902
193.769 201.924 191.637 194.117 191 194.142
193.769 201.38 199.491 193.601 191.01 194.152
193.769 202.167 193.208 194.347 191.116 194.258
193.769 202.167 193.208 194.347 191.48 194.622
193.769 201.823 194.779 194.022 191.042 194.184
193.769 201.137 197.92 193.371 190.712 193.854
193.769 201.966 199.491 194.157 191.2 194.342
193.769 201.681 190.066 193.887 190.884 194.026
193.769 201.095 190.066 193.332 190.694 193.836
193.769 201.581 193.208 193.792 190.744 193.886
193.769 201.137 197.92 193.371 190.712 193.854
193.769 201.966 199.491 194.157 191.018 194.16
193.769 201.137 197.92 193.371 190.894 194.036
193.769 201.924 191.637 194.117 191 194.142
193.769 201.238 194.779 193.467 190.852 193.994
193.769 201.137 197.92 193.371 190.894 194.036
193.769 200.853 188.496 193.102 190.396 193.538
193.769 201.924 191.637 194.117 191.182 194.324
193.769 200.853 188.496 193.102 190.396 193.538
193.769 201.924 191.637 194.117 191.182 194.324
193.769 202.551 199.491 194.712 191.754 194.896
193.769 202.066 196.35 194.252 190.976 194.118
193.769 200.551 197.92 192.816 190.522 193.664
193.769 202.752 193.208 194.903 191.488 194.63
193.769 200.752 191.637 193.007 190.438 193.58
193.769 201.681 190.066 193.887 191.066 194.208
193.769 200.995 193.208 193.237 190.554 193.696
193.769 201.439 188.496 193.657 191.132 194.274
193.769 201.137 197.92 193.371 190.894 194.036
193.769 202.167 193.208 194.347 191.025 194.167
193.769 201.581 193.208 193.792 190.926 194.068
193.769 200.652 194.779 192.911 190.48 193.622
193.769 201.723 197.92 193.927 191.084 194.226
193.769 201.48 196.35 193.697 190.968 194.11
193.769 201.723 197.92 193.927 191.084 194.226
193.769 201.137 197.92 193.371 190.712 193.854
193.769 201.095 190.066 193.332 190.694 193.836
193.769 200.995 193.208 193.237 190.554 193.696
193.769 202.267 190.066 194.443 191.256 194.398
193.769 201.48 196.35 193.697 190.604 193.746
193.769 201.681 190.066 193.887 190.975 194.117
193.769 201.966 199.491 194.157 191.2 194.342
193.769 202.167 193.208 194.347 190.934 194.076
193.769 201.439 188.496 193.657 191.132 194.274
193.769 201.137 197.92 193.371 190.803 193.945
193.769 202.167 193.208 194.347 190.934 194.076
193.769 202.309 197.92 194.482 191.547 194.689
193.769 201.823 194.779 194.022 190.86 194.002
193.769 202.267 190.066 194.443 191.256 194.398
193.769 201.439 188.496 193.657 190.859 194.001
193.769 201.137 197.92 193.371 190.985 194.127
193.769 200.066 194.779 192.356 190.108 193.25
193.769 201.966 199.491 194.157 191.018 194.16
193.769 201.439 188.496 193.657 190.677 193.819
193.769 200.894 196.35 193.141 190.596 193.738
193.769 201.924 191.637 194.117 191.364 194.506
193.769 202.752 193.208 194.903 191.488 194.63
193.769 202.652 196.35 194.807 191.166 194.308
193.769 200.853 188.496 193.102 190.76 193.902
193.769 201.238 194.779 193.467 190.852 193.994
193.769 200.409 193.208 192.681 190 193.142
193.769 202.652 196.35 194.807 191.439 194.581
193.769 201.581 193.208 193.792 190.653 193.795
193.769 201.137 197.92 193.371 190.712 193.854
193.769 201.681 190.066 193.887 191.066 194.208
193.769 201.338 191.637 193.562 190.992 194.134
193.769 201.681 190.066 193.887 191.066 194.208
193.769 202.309 197.92 194.482 191.092 194.234
193.769 201.238 194.779 193.467 190.67 193.812
193.769 202.267 190.066 194.443 191.529 194.671
193.769 201.581 193.208 193.792 191.108 194.25
193.769 202.167 193.208 194.347 190.934 194.076
193.769 202.267 190.066 194.443 191.438 194.58
193.769 202.309 197.92 194.482 190.91 194.052
193.769 202.752 193.208 194.903 191.397 194.539
193.769 201.095 190.066 193.332 191.24 194.382
193.769 202.167 193.208 194.347 190.934 194.076
193.769 201.439 188.496 193.657 190.95 194.092
193.769 201.723 197.92 193.927 190.72 193.862
193.769 202.309 197.92 194.482 191.274 194.416
193.769 201.48 196.35 193.697 190.786 193.928
193.769 201.723 197.92 193.927 190.902 194.044
193.769 200.309 196.35 192.586 190.406 193.548
193.769 201.48 196.35 193.697 190.968 194.11
193.769 201.137 197.92 193.371 190.53 193.672
193.769 200.752 191.637 193.007 190.438 193.58
193.769 202.652 196.35 194.807 191.53 194.672
193.769 201.137 197.92 193.371 190.712 193.854
193.769 202.167 193.208 194.347 191.116 194.258
193.769 202.652 196.35 194.807 191.166 194.308
193.769 202.309 197.92 194.482 191.092 194.234
193.769 201.137 197.92 193.371 190.712 193.854
193.769 200.309 196.35 192.586 190.224 193.366
193.769 201.823 194.779 194.022 190.678 193.82
193.769 201.966 199.491 194.157 191.382 194.524
193.769 201.439 188.496 193.657 190.677 193.819
193.769 201.439 188.496 193.657 190.95 194.092
193.769 201.48 196.35 193.697 190.786 193.928
193.769 201.924 191.637 194.117 191.182 194.324
193.769 202.267 190.066 194.443 191.711 194.853
193.769 201.439 188.496 193.657 191.041 194.183
193.769 201.823 194.779 194.022 191.224 194.366
193.769 201.924 191.637 194.117 190.818 193.96
193.769 201.681 190.066 193.887 190.975 194.117
193.769 201.723 197.92 193.927 190.902 194.044
193.769 201.095 190.066 193.332 190.876 194.018
193.769 201.338 191.637 193.562 190.81 193.952
193.769 200.853 188.496 193.102 190.396 193.538
193.769 200.024 186.925 192.317 190.09 193.232
193.769 201.966 199.491 194.157 191.2 194.342
193.769 201.723 197.92 193.927 190.538 193.68
193.769 201.137 197.92 193.371 190.53 193.672
193.769 203.137 199.491 195.268 191.944 195.086
193.769 202.066 196.35 194.252 190.976 194.118
193.769 201.966 199.491 194.157 191.382 194.524
193.769 201.137 197.92 193.371 190.712 193.854
193.769 201.095 190.066 193.332 190.694 193.836
193.769 202.167 193.208 194.347 191.298 194.44
193.769 201.338 191.637 193.562 190.628 193.77
193.769 201.723 197.92 193.927 190.902 194.044
193.769 202.066 196.35 194.252 191.431 194.573
193.769 200.309 196.35 192.586 190.224 193.366
193.769 201.723 197.92 193.927 190.902 194.044
193.769 201.439 188.496 193.657 190.95 194.092
193.769 201.095 190.066 193.332 190.512 193.654
193.769 202.309 197.92 194.482 191.092 194.234
193.769 201.966 199.491 194.157 191.2 194.342
193.769 201.924 191.637 194.117 191 194.142
193.769 201.966 199.491 194.157 191.2 194.342
193.769 201.581 193.208 193.792 190.744 193.886
193.769 202.752 193.208 194.903 191.488 194.63
193.769 201.581 193.208 193.792 190.744 193.886
193.769 202.309 197.92 194.482 191.274 194.416
193.769 200.267 188.496 192.547 190.388 193.53
193.769 201.681 190.066 193.887 190.884 194.026
193.769 201.723 197.92 193.927 190.538 193.68
193.769 200.853 188.496 193.102 190.578 193.72
193.769 201.238 194.779 193.467 190.488 193.63
193.769 201.48 196.35 193.697 190.786 193.928
193.769 200.853 188.496 193.102 190.578 193.72
193.769 199.681 188.496 191.991 190.016 193.158
193.769 201.338 191.637 193.562 190.628 193.77
193.769 201.581 193.208 193.792 190.562 193.704
193.769 202.066 196.35 194.252 191.158 194.3
193.769 200.267 188.496 192.547 190.388 193.53
193.769 201.681 190.066 193.887 190.884 194.026
193.769 201.924 191.637 194.117 191 194.142
193.769 200.752 191.637 193.007 190.438 193.58
193.769 200.853 188.496 193.102 190.578 193.72
193.769 201.095 190.066 193.332 190.967 194.109
193.769 200.853 188.496 193.102 190.942 194.084
193.769 201.924 191.637 194.117 191.182 194.324
193.769 201.581 193.208 193.792 191.108 194.25
193.769 201.338 191.637 193.562 190.81 193.952
193.769 201.137 197.92 193.371 190.894 194.036
193.769 200.853 188.496 193.102 190.578 193.72
193.769 200.894 196.35 193.141 190.596 193.738
193.769 201.723 197.92 193.927 191.266 194.408
193.769 201.723 197.92 193.927 191.084 194.226
193.769 201.581 193.208 193.792 190.744 193.886
193.769 202.409 194.779 194.577 191.505 194.647
193.769 201.723 197.92 193.927 191.175 194.317
193.769 201.238 194.779 193.467 190.943 194.085
193.769 201.681 190.066 193.887 191.248 194.39
193.769 201.439 188.496 193.657 190.768 193.91
193.769 201.966 199.491 194.157 191.382 194.524
193.769 202.167 193.208 194.347 191.298 194.44
193.769 201.137 197.92 193.371 190.712 193.854
193.769 199.723 196.35 192.031 190.034 193.176
193.769 201.681 190.066 193.887 191.248 194.39
193.769 201.338 191.637 193.562 190.81 193.952
193.769 201.095 190.066 193.332 190.785 193.927
193.769 201.439 188.496 193.657 190.95 194.092
193.769 202.894 197.92 195.038 191.555 194.697
193.769 202.066 196.35 194.252 191.067 194.209
193.769 202.267 190.066 194.443 191.256 194.398
193.769 201.681 190.066 193.887 191.066 194.208
193.769 201.238 194.779 193.467 190.761 193.903
193.769 201.581 193.208 193.792 190.744 193.886
193.769 201.823 194.779 194.022 190.86 194.002
193.769 201.924 191.637 194.117 191 194.142
193.769 201.581 193.208 193.792 190.926 194.068
193.769 201.095 190.066 193.332 190.876 194.018
193.769 201.238 194.779 193.467 190.852 193.994
193.769 201.095 190.066 193.332 190.876 194.018
193.769 202.752 193.208 194.903 191.488 194.63
193.769 201.48 196.35 193.697 190.604 193.746
193.769 200.853 188.496 193.102 190.305 193.447
193.769 200.853 188.496 193.102 190.669 193.811
193.769 201.48 196.35 193.697 190.968 194.11
193.769 202.267 190.066 194.443 191.438 194.58
193.769 201.723 197.92 193.927 190.72 193.862
193.769 201.924 191.637 194.117 190.818 193.96
193.769 201.238 194.779 193.467 190.488 193.63
193.769 201.137 197.92 193.371 190.712 193.854
193.769 201.238 194.779 193.467 190.67 193.812
193.769 202.309 197.92 194.482 191.092 194.234
193.769 202.652 196.35 194.807 191.439 194.581
193.769 200.995 193.208 193.237 190.554 193.696
193.769 201.723 197.92 193.927 190.72 193.862
193.769 201.48 196.35 193.697 190.968 194.11
193.769 200.853 188.496 193.102 190.76 193.902
193.769 200.894 196.35 193.141 190.596 193.738
193.769 201.439 188.496 193.657 190.586 193.728
193.769 202.752 193.208 194.903 191.579 194.721
193.769 201.823 194.779 194.022 190.86 194.002
193.769 201.238 194.779 193.467 190.488 193.63
193.769 201.823 194.779 194.022 190.678 193.82
193.769 200.167 191.637 192.451 190.066 193.208
193.769 201.823 194.779 194.022 191.133 194.275
193.769 201.823 194.779 194.022 191.224 194.366
193.769 202.167 193.208 194.347 191.116 194.258
193.769 201.095 190.066 193.332 190.876 194.018
193.769 201.338 191.637 193.562 190.992 194.134
193.769 200.51 190.066 192.777 190.322 193.464
193.769 200.853 188.496 193.102 190.76 193.902
193.769 201.681 190.066 193.887 191.248 194.39
193.769 201.238 194.779 193.467 190.67 193.812
193.769 202.894 197.92 195.038 191.464 194.606
193.769 201.137 197.92 193.371 190.712 193.854
193.769 201.681 190.066 193.887 190.702 193.844
193.769 201.681 190.066 193.887 190.884 194.026
193.769 202.066 196.35 194.252 190.885 194.027
193.769 201.48 196.35 193.697 190.968 194.11
193.769 202.309 197.92 194.482 190.91 194.052
193.769 202.167 193.208 194.347 191.116 194.258
193.769 201.48 196.35 193.697 190.786 193.928
193.769 200.853 188.496 193.102 190.578 193.72
193.769 201.581 193.208 193.792 190.926 194.068
193.769 201.924 191.637 194.117 191.364 194.506
193.769 202.066 196.35 194.252 190.794 193.936
193.769 201.924 191.637 194.117 191.182 194.324
193.769 201.439 188.496 193.657 190.95 194.092
193.769 201.966 199.491 194.157 191.473 194.615
193.769 202.309 197.92 194.482 191.456 194.598
193.769 202.066 196.35 194.252 191.34 194.482
193.769 201.723 197.92 193.927 191.266 194.408
193.769 201.439 188.496 193.657 191.132 194.274
193.769 201.966 199.491 194.157 191.018 194.16
193.769 201.924 191.637 194.117 190.818 193.96
193.769 203.095 191.637 195.228 191.835 194.977
193.769 200.995 193.208 193.237 190.372 193.514
193.769 201.681 190.066 193.887 190.884 194.026
193.769 201.439 188.496 193.657 191.314 194.456
193.769 201.238 194.779 193.467 190.852 193.994
193.769 201.48 196.35 193.697 190.604 193.746
193.769 200.752 191.637 193.007 190.256 193.398
193.769 202.024 188.496 194.213 191.231 194.373
193.769 201.681 190.066 193.887 191.248 194.39
193.769 201.095 190.066 193.332 190.876 194.018
193.769 201.966 199.491 194.157 191.382 194.524
193.769 200.309 196.35 192.586 190.406 193.548
193.769 201.137 197.92 193.371 190.712 193.854
193.769 202.409 194.779 194.577 191.05 194.192
193.769 201.338 191.637 193.562 190.81 193.952
193.769 202.267 190.066 194.443 191.438 194.58
193.769 201.924 191.637 194.117 190.909 194.051
193.769 201.439 188.496 193.657 190.95 194.092
193.769 201.238 194.779 193.467 190.852 193.994
193.769 202.167 193.208 194.347 191.298 194.44
193.769 201.48 196.35 193.697 190.604 193.746
193.769 201.338 191.637 193.562 190.81 193.952
193.769 201.137 197.92 193.371 190.712 193.854
193.769 201.439 188.496 193.657 190.95 194.092
193.769 201.137 197.92 193.371 190.894 194.036
193.769 201.338 191.637 193.562 190.719 193.861
193.769 202.309 197.92 194.482 191.092 194.234
193.769 202.551 199.491 194.712 191.754 194.896
193.769 200.853 188.496 193.102 190.76 193.902
193.769 201.48 196.35 193.697 190.786 193.928
193.769 201.581 193.208 193.792 190.744 193.886
193.769 201.439 188.496 193.657 190.768 193.91
193.769 201.723 197.92 193.927 191.084 194.226
193.769 201.966 199.491 194.157 191.2 194.342
193.769 201.439 188.496 193.657 191.041 194.183
193.769 200.752 191.637 193.007 190.62 193.762
193.769 201.723 197.92 193.927 191.084 194.226
193.769 201.823 194.779 194.022 191.224 194.366
193.769 201.095 190.066 193.332 190.512 193.654
193.769 201.238 194.779 193.467 190.488 193.63
193.769 201.681 190.066 193.887 190.611 193.753
193.769 201.681 190.066 193.887 191.248 194.39
193.769 199.723 196.35 192.031 190.034 193.176
193.769 202.167 193.208 194.347 191.298 194.44
193.769 201.681 190.066 193.887 190.884 194.026
193.769 202.409 194.779 194.577 191.414 194.556
193.769 202.267 190.066 194.443 191.438 194.58
193.769 202.551 199.491 194.712 191.39 194.532
193.769 201.338 191.637 193.562 190.81 193.952
193.769 200.853 188.496 193.102 190.76 193.902
193.769 201.966 199.491 194.157 191.473 194.615
193.769 201.924 191.637 194.117 191.182 194.324
193.769 202.551 199.491 194.712 191.572 194.714
193.769 201.338 191.637 193.562 190.992 194.134
193.769 202.267 190.066 194.443 191.256 194.398
193.769 202.409 194.779 194.577 191.596 194.738
193.769 202.066 196.35 194.252 191.34 194.482
193.769 201.439 188.496 193.657 190.768 193.91
193.769 201.823 194.779 194.022 190.86 194.002
193.769 201.681 190.066 193.887 190.884 194.026
193.769 202.267 190.066 194.443 191.62 194.762
193.769 201.137 197.92 193.371 190.712 193.854
193.769 202.309 197.92 194.482 191.183 194.325
193.769 201.137 197.92 193.371 190.803 193.945
193.769 202.267 190.066 194.443 191.438 194.58
193.769 201.723 197.92 193.927 190.72 193.862
193.769 200.995 193.208 193.237 190.372 193.514
193.769 201.966 199.491 194.157 191.2 194.342
193.769 201.681 190.066 193.887 191.248 194.39
193.769 201.38 199.491 193.601 191.01 194.152
193.769 202.409 194.779 194.577 191.05 194.192
193.769 200.853 188.496 193.102 190.396 193.538
193.769 200.853 188.496 193.102 190.76 193.902
193.769 201.723 197.92 193.927 190.72 193.862
193.769 202.409 194.779 194.577 191.232 194.374
193.769 200.267 188.496 192.547 190.57 193.712
193.769 200.853 188.496 193.102 190.396 193.538
193.769 201.823 194.779 194.022 190.678 193.82
193.769 201.681 190.066 193.887 191.066 194.208
193.769 201.723 197.92 193.927 190.902 194.044
193.769 201.966 199.491 194.157 191.2 194.342
193.769 202.267 190.066 194.443 191.438 194.58
193.769 201.823 194.779 194.022 191.042 194.184
193.769 200.853 188.496 193.102 190.76 193.902
193.769 200.894 196.35 193.141 190.596 193.738
193.769 201.723 197.92 193.927 190.902 194.044
193.769 201.095 190.066 193.332 190.785 193.927
193.769 200.894 196.35 193.141 190.778 193.92
193.769 201.48 196.35 193.697 190.604 193.746
193.769 201.966 199.491 194.157 191.018 194.16
193.769 201.095 190.066 193.332 190.876 194.018
193.769 202.409 194.779 194.577 191.05 194.192
193.769 201.238 194.779 193.467 190.852 193.994
193.769 201.723 197.92 193.927 191.266 194.408
193.769 201.924 191.637 194.117 190.909 194.051
193.769 201.581 193.208 193.792 190.744 193.886
193.769 202.267 190.066 194.443 191.256 194.398
193.769 200.752 191.637 193.007 190.62 193.762
193.769 201.966 199.491 194.157 191.2 194.342
193.769 201.924 191.637 194.117 191.182 194.324
193.769 201.095 190.066 193.332 190.694 193.836
193.769 201.238 194.779 193.467 190.67 193.812
193.769 201.723 197.92 193.927 190.902 194.044
193.769 202.267 190.066 194.443 191.256 194.398
193.769 201.924 191.637 194.117 191.364 194.506
193.769 201.48 196.35 193.697 190.786 193.928
193.769 201.581 193.208 193.792 190.744 193.886
193.769 200.995 193.208 193.237 190.736 193.878
193.769 202.51 191.637 194.673 191.645 194.787
193.769 200.752 191.637 193.007 190.438 193.58
193.769 202.066 196.35 194.252 191.34 194.482
193.769 201.338 191.637 193.562 190.628 193.77
193.769 201.823 194.779 194.022 191.224 194.366
193.769 201.581 193.208 193.792 190.926 194.068
193.769 201.48 196.35 193.697 190.604 193.746
193.769 200.995 193.208 193.237 190.554 193.696
193.769 201.439 188.496 193.657 190.95 194.092
193.769 201.137 197.92 193.371 190.53 193.672
193.769 201.681 190.066 193.887 191.157 194.299
193.769 202.51 191.637 194.673 191.645 194.787
193.769 201.137 197.92 193.371 190.712 193.854
193.769 201.924 191.637 194.117 191 194.142
193.769 200.894 196.35 193.141 190.778 193.92
193.769 201.823 194.779 194.022 191.406 194.548
193.769 201.439 188.496 193.657 190.586 193.728
193.769 202.409 194.779 194.577 191.596 194.738
193.769 201.439 188.496 193.657 190.95 194.092
193.769 201.439 188.496 193.657 190.768 193.91
193.769 201.723 197.92 193.927 190.902 194.044
193.769 201.137 197.92 193.371 190.894 194.036
193.769 200.995 193.208 193.237 190.736 193.878
193.769 201.238 194.779 193.467 190.67 193.812
193.769 201.439 188.496 193.657 190.95 194.092
193.769 201.924 191.637 194.117 190.818 193.96
193.769 201.581 193.208 193.792 190.926 194.068
193.769 200.894 196.35 193.141 190.596 193.738
193.769 202.267 190.066 194.443 191.62 194.762
193.769 202.309 197.92 194.482 191.274 194.416
193.769 200.853 188.496 193.102 190.76 193.902
193.769 201.439 188.496 193.657 191.132 194.274
193.769 202.267 190.066 194.443 191.711 194.853
193.769 201.338 191.637 193.562 190.81 193.952
193.769 201.439 188.496 193.657 191.132 194.274
193.769 201.681 190.066 193.887 191.066 194.208
193.769 201.924 191.637 194.117 191 194.142
193.769 201.723 197.92 193.927 191.084 194.226
193.769 201.581 193.208 193.792 191.108 194.25
193.769 201.723 197.92 193.927 190.72 193.862
193.769 201.137 197.92 193.371 190.712 193.854
193.769 202.066 196.35 194.252 191.158 194.3
193.769 201.095 190.066 193.332 190.603 193.745
193.769 202.409 194.779 194.577 191.232 194.374
193.769 202.267 190.066 194.443 191.347 194.489
193.769 201.924 191.637 194.117 190.818 193.96
193.769 201.823 194.779 194.022 190.769 193.911
193.769 202.024 188.496 194.213 191.413 194.555
193.769 201.338 191.637 193.562 190.992 194.134
193.769 201.137 197.92 193.371 190.894 194.036
193.769 201.48 196.35 193.697 190.786 193.928
193.769 201.439 188.496 193.657 190.768 193.91
193.769 201.439 188.496 193.657 190.586 193.728
193.769 201.966 199.491 194.157 191.2 194.342
193.769 201.137 197.92 193.371 191.076 194.218
193.769 201.238 194.779 193.467 190.852 193.994
193.769 201.681 190.066 193.887 190.702 193.844
193.769 200.652 194.779 192.911 190.662 193.804
193.769 200.995 193.208 193.237 190.554 193.696
193.769 200.853 188.496 193.102 190.76 193.902
193.769 201.439 188.496 193.657 190.95 194.092
193.769 201.137 197.92 193.371 190.894 194.036
193.769 201.137 197.92 193.371 190.712 193.854
193.769 201.439 188.496 193.657 190.95 194.092
193.769 202.51 191.637 194.673 191.554 194.696
193.769 201.439 188.496 193.657 190.768 193.91
193.769 202.551 199.491 194.712 191.936 195.078
193.769 201.439 188.496 193.657 190.586 193.728
193.769 200.309 196.35 192.586 190.406 193.548
193.769 202.853 190.066 194.998 191.719 194.861
193.769 201.137 197.92 193.371 190.348 193.49
193.769 201.581 193.208 193.792 190.744 193.886
193.769 201.439 188.496 193.657 190.768 193.91
193.769 201.681 190.066 193.887 190.884 194.026
193.769 201.581 193.208 193.792 190.926 194.068
193.769 201.137 197.92 193.371 190.712 193.854
193.769 201.439 188.496 193.657 191.132 194.274
193.769 201.723 197.92 193.927 191.084 194.226
193.769 202.309 197.92 194.482 191.274 194.416
193.769 201.439 188.496 193.657 190.768 193.91
193.769 201.823 194.779 194.022 191.042 194.184
193.769 202.267 190.066 194.443 191.438 194.58
193.769 201.681 190.066 193.887 191.066 194.208
193.769 200.894 196.35 193.141 190.414 193.556
193.769 202.066 196.35 194.252 190.976 194.118
193.769 200.853 188.496 193.102 190.76 193.902
193.769 201.723 197.92 193.927 191.084 194.226
193.769 200.309 196.35 192.586 190.406 193.548
193.769 200.752 191.637 193.007 190.62 193.762
193.769 202.995 194.779 195.133 191.695 194.837
193.769 201.238 194.779 193.467 190.306 193.448
193.769 202.309 197.92 194.482 191.001 194.143
193.769 201.681 190.066 193.887 191.066 194.208
193.769 202.309 197.92 194.482 191.638 194.78
193.769 201.238 194.779 193.467 190.852 193.994
193.769 200.652 194.779 192.911 190.48 193.622
193.769 201.38 199.491 193.601 191.01 194.152
