 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,2342,261.179,81.345,22,20,133.506,54.928
2,2341,259.765,81.154,13,67,22.457,54.406
3,2341,259.179,81.049,44,10,99.230,54.220
4,2342,262.007,81.216,18,75,37.999,55.510
5,2350,262.593,81.216,26,17,127.999,55.301
6,2338,261.179,81.216,18,75,37.999,55.137
7,2354,262.836,81.302,15,71,31.931,55.630
8,2335,258.350,81.271,26,83,55.528,54.620
9,2339,261.179,81.302,29,15,121.931,55.460
10,2345,261.179,81.154,36,88,67.543,54.646
11,2350,260.593,81.271,28,16,124.472,55.184
12,2341,261.765,81.302,30,15,121.931,55.200
13,2340,259.179,81.154,32,87,67.543,54.353
14,2348,262.007,81.302,28,16,121.931,55.239
15,2348,260.593,81.216,25,18,127.999,54.621
16,2345,263.179,81.049,10,56,9.230,55.115
17,2343,264.836,81.271,16,28,145.528,55.888
18,2337,262.593,81.216,26,82,52.001,55.197
19,2349,259.179,81.302,15,71,31.931,54.890
20,2340,259.179,81.154,13,34,157.543,54.775
21,2346,263.664,81.302,16,72,31.931,55.699
22,2340,262.007,81.216,24,18,127.999,55.439
23,2339,261.765,81.154,12,65,22.457,54.925
24,2339,262.350,81.154,12,64,22.457,54.617
25,2343,260.593,81.216,18,24,142.001,54.842
26,2340,262.593,81.154,35,12,112.457,55.334
27,2343,259.179,81.302,16,29,148.069,54.571
28,2346,261.179,81.394,22,20,132.510,55.058
29,2345,261.765,81.154,35,12,112.457,55.188
30,2339,260.593,81.216,18,75,37.999,55.142
31,2349,263.664,81.302,15,29,148.069,55.699
32,2341,258.936,81.345,21,78,43.506,54.928
33,2337,264.007,81.216,25,18,127.999,55.798
34,2342,262.593,81.302,27,84,58.069,55.495
35,2342,261.179,81.302,29,15,121.931,55.056
36,2340,261.765,81.345,23,20,133.506,55.137
37,2334,261.179,81.056,23,19,128.991,55.216
38,2345,259.765,81.216,18,75,37.999,54.930
39,2336,258.593,81.043,38,89,74.249,54.191
40,2340,261.179,81.049,10,44,170.770,54.641
41,2342,260.593,81.154,13,66,22.457,54.916
42,2340,260.593,81.123,29,15,120.358,54.700
43,2342,262.593,81.271,27,83,55.528,55.541
44,2338,259.522,81.043,11,37,164.249,54.597
45,2347,262.350,81.154,34,13,112.457,55.488
46,2348,260.350,81.154,35,12,112.457,54.853
47,2351,260.593,81.216,25,18,127.999,55.317
48,2344,260.350,81.123,14,68,30.358,54.714
49,2345,261.765,81.154,12,65,22.457,55.188
50,2345,261.765,81.123,31,14,120.358,55.027
51,2343,257.765,81.271,16,72,34.472,54.701
52,2339,261.765,81.154,34,87,67.543,54.632
53,2347,260.593,81.216,18,75,37.999,55.238
54,2338,261.179,81.154,34,13,112.457,55.200
55,2343,259.179,81.216,25,18,127.999,54.818
56,2339,261.179,81.154,34,13,112.457,55.056
57,2347,261.179,81.154,12,65,22.457,55.067
58,2343,257.765,81.216,26,17,127.999,54.538
59,2339,262.007,81.025,27,16,125.455,55.100
60,2348,261.765,81.154,36,88,67.543,55.122
61,2333,258.593,81.043,37,11,105.751,54.278
62,2343,259.765,81.154,36,12,112.457,54.223
63,2351,261.179,81.302,28,84,58.069,55.082
64,2340,260.593,81.271,16,73,34.472,55.065
65,2341,259.765,81.302,29,15,121.931,55.266
66,2340,259.179,81.271,27,84,55.528,54.498
67,2340,261.421,81.302,28,84,58.069,55.092
68,2347,262.593,81.043,11,39,164.249,55.061
69,2337,261.179,81.043,10,59,15.751,55.158
70,2340,260.593,81.154,12,35,157.543,54.823
71,2338,259.179,81.216,25,18,127.999,54.222
72,2345,259.179,81.271,26,17,124.472,54.554
73,2346,259.179,81.043,11,62,15.751,54.518
74,2329,260.350,81.345,22,20,133.506,54.815
75,2335,261.765,81.043,12,37,164.249,54.883
76,2344,260.593,81.271,17,73,34.472,55.240
77,2347,262.593,81.216,25,82,52.001,55.407
78,2340,259.765,81.216,17,74,37.999,55.095
79,2340,260.593,81.216,25,82,52.001,54.825
80,2348,260.350,81.302,15,71,31.931,55.065
81,2344,260.350,81.154,34,87,67.543,54.936
82,2349,260.350,81.345,20,78,43.506,54.856
83,2348,260.593,81.302,15,71,31.931,55.235
84,2346,261.421,81.216,25,18,127.999,55.154
85,2344,260.593,81.216,18,75,37.999,54.917
86,2343,258.936,81.345,22,20,133.506,54.454
87,2340,259.765,81.271,27,84,55.528,54.600
88,2340,259.765,81.049,10,44,170.770,54.223
89,2338,259.765,81.123,15,70,30.358,54.921
90,2337,260.007,81.216,24,19,127.999,54.671
91,2343,262.593,81.271,26,83,55.528,55.495
92,2343,262.007,81.271,17,26,145.528,55.373
