CenterX   CenterY   Theta
50.6727 50.7967 45.0842
50.6249 50.5717 149.909
50.9061 50.0122 121.324
50.0518 50.5489 51.7739
50.3068 50.353 111.833
50.334 50.7327 72.8149
50.0684 50.7838 51.4365
50.4328 50.6854 59.8421
50.0566 50.3739 170.001
50.6417 50.6715 113.811
50.199 50.4183 135.169
50.1014 50.2779 49.7374
50.432 50.9804 12.1505
50.5187 50.1794 174.722
50.1133 50.4036 132.819
50.7046 50.4227 62.3744
50.3976 50.2643 36.9599
50.483 50.2685 51.7431
50.6568 50.9685 108.655
50.077 50.0756 171.256
50.2973 50.0921 107.828
50.6236 50.6485 48.1324
50.0151 50.965 45.1607
50.676 50.7066 109.801
50.3129 50.2711 107.58
50.8661 50.9467 19.063
50.1548 50.9447 132.576
50.883 50.2026 105.765
50.7011 50.6801 73.4673
50.0154 50.5829 45.5583
50.4503 50.9576 71.8264
50.8398 50.1885 121.043
50.977 50.1019 1.49759
50.4336 50.0926 134.709
50.9145 50.434 46.5681
50.4344 50.7234 1.62975
50.5895 50.6133 114.784
50.242 50.7141 16.4505
50.1993 50.8775 132.97
50.0137 50.2484 38.5932
50.2708 50.2476 11.2547
50.4589 50.7327 109.212
50.6729 50.0811 171.268
50.8385 50.8051 148.137
50.9327 50.5443 36.0508
50.6168 50.7429 132.825
50.5214 50.0685 66.8003
50.9208 50.5844 96.8997
50.2689 50.3684 161.162
50.6665 50.7874 81.7822
50.6302 50.2484 126.983
50.4276 50.4425 116.878
50.9363 50.064 148.454
50.2924 50.4439 3.9444
50.301 50.5026 10.1117
50.4911 50.9271 18.9708
50.7644 50.4097 117.931
50.2602 50.1595 28.8833
50.0705 50.1856 119.559
50.8817 50.8141 123.324
50.1104 50.2892 55.7652
50.25 50.515 96.3997
50.3569 50.3538 149.14
50.7893 50.3078 164.482
50.9528 50.3267 63.7965
50.5056 50.9411 157.737
50.1026 50.3927 99.6068
50.5031 50.1939 154.587
50.6769 50.8379 154.578
50.7484 50.4392 109.898
50.1604 50.6736 32.2656
50.6939 50.2296 21.1592
50.1653 50.002 129.373
50.7324 50.5149 29.0453
50.0836 50.0191 29.8347
50.8909 50.2415 63.7688
50.1053 50.2224 93.4604
50.6078 50.2454 10.3918
50.391 50.2342 39.5197
50.9599 50.6163 100.238
50.4158 50.4289 97.3629
50.6964 50.7021 30.9049
50.5001 50.412 156.695
50.6314 50.5325 20.771
50.6056 50.1172 60.6972
50.1428 50.6921 37.1254
