Ref   ImageJ-mean   ImageJ-std   Crofton2-mean   Crofton2-std   Crofton4-mean   Crofton4-std
 93.991    3.333   1.161   -0.230   1.743   -0.265   0.989
121.497    3.792   0.805   -0.029   1.745   -0.066   0.710
169.078    4.343   0.479    0.097   3.778   -0.018   0.414
209.945    4.357   0.516   -0.060   3.396   -0.217   0.440
181.781    4.380   0.505   -0.157   2.844   -0.075   0.455
156.966    4.238   0.709    0.144   2.543   -0.083   0.643
166.707    4.364   0.645   -0.014   2.216   -0.026   0.603
170.199    4.273   0.486   -0.036   1.922   -0.045   0.425
 92.161    3.363   0.937   -0.067   2.853   -0.106   0.829
161.852    4.168   0.926    0.027   2.414   -0.024   0.820
120.946    3.640   0.914   -0.066   2.624   -0.245   0.848
164.399    4.096   0.721   -0.022   2.463   -0.118   0.564
212.283    4.595   0.473    0.013   2.876    0.013   0.434
178.178    4.359   0.465   -0.009   1.897   -0.029   0.442
119.824    3.994   0.844   -0.137   3.712   -0.134   0.700
117.374    3.760   1.462    0.040   2.531   -0.151   1.281
148.038    4.195   0.554    0.121   2.480   -0.048   0.534
207.949    4.557   0.507    0.063   1.481   -0.000   0.463
137.095    3.929   0.890   -0.147   3.237   -0.166   0.760
188.093    4.371   0.515    0.063   2.098   -0.048   0.452
109.640    3.209   1.126   -0.484   1.540   -0.644   0.991
138.056    4.148   0.974   -0.043   3.134   -0.083   0.876
159.237    4.304   0.778   -0.017   2.573   -0.091   0.679
208.808    4.535   0.341    0.023   3.982   -0.012   0.303
140.697    4.158   0.877   -0.061   4.671   -0.071   0.740
161.268    4.359   0.428   -0.052   2.090   -0.028   0.392
205.358    4.528   0.399    0.058   3.202   -0.003   0.358
166.653    4.234   0.442    0.094   2.381   -0.024   0.389
179.505    4.421   0.467   -0.072   1.446   -0.021   0.448
178.955    4.286   0.633   -0.003   5.512   -0.101   0.464
190.609    4.397   0.555   -0.138   1.456   -0.265   0.514
209.615    4.525   0.575   -0.001   1.988    0.013   0.534
152.957    4.273   0.758   -0.153   2.138   -0.208   0.597
151.143    3.263   1.165   -0.851   1.548   -1.258   1.029
126.782    3.976   0.886   -0.156   1.836   -0.170   0.776
164.734    4.320   0.525   -0.047   1.801   -0.036   0.474
174.479    4.259   0.486   -0.163   3.031   -0.048   0.428
176.391    4.435   0.421    0.049   1.425   -0.013   0.380
165.865    4.274   0.430   -0.021   1.658   -0.020   0.405
138.578    4.032   0.822   -0.184   2.478   -0.128   0.718
123.526    1.126  13.439   -1.128   2.205   -1.543   1.131
159.820    4.292   0.536   -0.189   1.720   -0.077   0.470
142.010    4.049   0.809   -0.217   1.540   -0.182   0.738
152.177    4.222   0.951   -0.039   1.083   -0.073   0.869
134.608    3.992   0.577    0.129   2.543   -0.051   0.527
173.671    4.269   0.950    0.004   3.163   -0.082   0.755
186.423    4.414   0.493   -0.098   1.855   -0.022   0.468
169.171    4.307   0.681   -0.068   3.125   -0.146   0.632
166.240    4.379   0.668   -0.013   1.451   -0.038   0.628
152.182    4.294   0.742   -0.102   2.814   -0.060   0.679
