ShiftX   ShiftY   Rotation
50 50 75.455
50 50 158.061
50 50 75.1149
50 50 35.6583
50 50 56.4164
50 50 161.029
50 50 30.5695
50 50 75.7994
50 50 124.538
50 50 150.233
50 50 177.995
50 50 142.07
50 50 163.547
50 50 23.4051
50 50 38.0931
50 50 9.60526
50 50 106.075
50 50 74.5301
50 50 8.99162
50 50 92.68
50 50 162.612
50 50 145.33
50 50 166.952
50 50 130.68
50 50 135.17
50 50 161.26
50 50 119.419
50 50 170.908
50 50 73.4646
50 50 103.262
50 50 58.7961
50 50 64.3086
50 50 2.84782
50 50 179.518
50 50 167.867
50 50 135.983
50 50 128.074
50 50 4.71798
50 50 154.805
50 50 151.566
50 50 105.437
50 50 3.35651
50 50 145.279
50 50 134.482
50 50 10.7852
50 50 19.3489
50 50 100.749
50 50 174.11
50 50 45.4186
50 50 104.645
50 50 43.1726
50 50 149.217
50 50 12.604
50 50 102.393
50 50 104.354
50 50 134.16
50 50 11.9403
50 50 37.8313
50 50 46.8567
50 50 115.103
50 50 47.3934
50 50 138.992
50 50 2.51128
50 50 170.823
50 50 164.809
50 50 87.4783
50 50 166.713
50 50 173.387
50 50 24.3142
50 50 170.635
50 50 31.7153
50 50 145.708
50 50 104.763
50 50 162.971
50 50 143.749
50 50 107.84
50 50 78.0617
50 50 160.72
50 50 141.827
50 50 75.6349
50 50 0.0723645
50 50 175.281
50 50 103.448
50 50 105.63
50 50 135.915
50 50 58.0826
50 50 68.7785
50 50 57.1291
50 50 175.284
50 50 76.8062
50 50 158.4
50 50 48.6375
50 50 94.9886
50 50 131.966
50 50 102.394
50 50 12.2777
50 50 176.907
50 50 157.493
50 50 28.9749
50 50 40.5072
