Reference   Crofton2   Crofton4   Matlab   MatlabPi
93.9913 95.8186 94.0042 91.411 94.5526
93.9913 91.1062 92.2034 89.864 93.0056
93.9913 92.677 92.9888 89.897 93.0386
93.9913 92.677 94.0995 91.278 94.4196
93.9913 94.2478 93.2188 89.831 92.9726
93.9913 92.677 93.5441 90.906 94.0476
93.9913 91.1062 92.7587 89.69 92.8316
93.9913 92.677 92.4334 89.616 92.7576
93.9913 94.2478 93.2188 90.468 93.6096
93.9913 91.1062 92.7587 90.782 93.9236
93.9913 94.2478 94.8849 91.493 94.6346
93.9913 94.2478 94.8849 91.129 94.2706
93.9913 92.677 91.878 89.426 92.5676
93.9913 95.8186 94.5596 90.873 94.0146
93.9913 92.677 93.5441 90.724 93.8656
93.9913 92.677 91.878 90.063 93.2046
93.9913 92.677 94.6548 91.741 94.8826
93.9913 95.8186 95.1149 91.7 94.8416
93.9913 91.1062 92.7587 90.782 93.9236
93.9913 94.2478 93.2188 90.65 93.7916
93.9913 92.677 94.0995 91.551 94.6926
93.9913 92.677 93.5441 90.815 93.9566
93.9913 95.8186 94.5596 91.328 94.4696
93.9913 92.677 92.4334 90.344 93.4856
93.9913 94.2478 92.6634 90.369 93.5106
93.9913 89.5354 91.418 89.649 92.7906
93.9913 94.2478 93.2188 90.195 93.3366
93.9913 92.677 93.5441 90.542 93.6836
93.9913 94.2478 93.7742 91.386 94.5276
93.9913 92.677 93.5441 90.633 93.7746
93.9913 94.2478 94.8849 91.311 94.4526
93.9913 95.8186 95.1149 91.427 94.5686
93.9913 92.677 93.5441 90.36 93.5016
93.9913 94.2478 93.7742 90.749 93.8906
93.9913 92.677 93.5441 89.996 93.1376
93.9913 92.677 93.5441 91.27 94.4116
93.9913 92.677 92.9888 90.261 93.4026
93.9913 95.8186 94.5596 91.419 94.5606
93.9913 91.1062 92.7587 89.872 93.0136
93.9913 94.2478 94.8849 91.493 94.6346
93.9913 94.2478 93.2188 91.014 94.1556
93.9913 95.8186 94.0042 91.411 94.5526
93.9913 94.2478 94.8849 91.766 94.9076
93.9913 89.5354 91.9733 90.021 93.1626
93.9913 94.2478 94.3295 91.212 94.3536
93.9913 92.677 92.4334 89.343 92.4846
93.9913 92.677 91.878 89.881 93.0226
93.9913 94.2478 93.7742 90.385 93.5266
93.9913 95.8186 94.5596 90.873 94.0146
93.9913 92.677 93.5441 91.27 94.4116
93.9913 91.1062 93.3141 90.426 93.5676
93.9913 95.8186 94.0042 90.683 93.8246
93.9913 94.2478 93.2188 90.286 93.4276
93.9913 92.677 91.878 89.608 92.7496
93.9913 94.2478 94.8849 91.493 94.6346
93.9913 92.677 94.0995 90.368 93.5096
93.9913 89.5354 92.5287 90.12 93.2616
93.9913 95.8186 93.4488 91.403 94.5446
93.9913 92.677 93.5441 90.451 93.5926
93.9913 94.2478 93.7742 90.567 93.7086
93.9913 92.677 91.3227 89.509 92.6506
93.9913 91.1062 92.7587 89.872 93.0136
93.9913 91.1062 92.7587 90.509 93.6506
93.9913 92.677 93.5441 90.997 94.1386
93.9913 95.8186 95.1149 91.245 94.3866
93.9913 92.677 93.5441 91.088 94.2296
93.9913 95.8186 93.4488 91.221 94.3626
93.9913 92.677 94.0995 90.55 93.6916
93.9913 92.677 94.0995 91.005 94.1466
93.9913 94.2478 94.8849 92.13 95.2716
93.9913 94.2478 93.2188 90.923 94.0646
93.9913 94.2478 93.7742 91.386 94.5276
93.9913 91.1062 92.2034 90.046 93.1876
93.9913 92.677 93.5441 91.27 94.4116
93.9913 92.677 93.5441 90.906 94.0476
93.9913 92.677 94.0995 91.551 94.6926
93.9913 91.1062 92.7587 90.964 94.1056
93.9913 94.2478 94.3295 90.757 93.8986
93.9913 94.2478 93.2188 90.65 93.7916
93.9913 94.2478 93.2188 91.469 94.6106
93.9913 97.3894 94.2342 91.345 94.4866
93.9913 94.2478 94.3295 92.031 95.1726
93.9913 94.2478 93.7742 90.294 93.4356
93.9913 94.2478 93.7742 91.022 94.1636
93.9913 92.677 94.0995 91.278 94.4196
93.9913 94.2478 93.7742 90.567 93.7086
93.9913 91.1062 92.2034 89.682 92.8236
93.9913 95.8186 95.1149 91.7 94.8416
93.9913 91.1062 93.3141 90.608 93.7496
93.9913 94.2478 94.3295 90.484 93.6256
93.9913 95.8186 95.1149 91.063 94.2046
93.9913 95.8186 94.5596 90.964 94.1056
93.9913 92.677 93.5441 90.633 93.7746
93.9913 95.8186 94.5596 91.146 94.2876
93.9913 92.677 91.878 89.972 93.1136
93.9913 94.2478 94.3295 90.939 94.0806
93.9913 94.2478 94.3295 91.849 94.9906
93.9913 92.677 93.5441 90.36 93.5016
93.9913 94.2478 94.8849 91.311 94.4526
93.9913 95.8186 95.1149 91.882 95.0236
