Crofton2   Crofton4   Matlab   MatlabPi
1.94414 0.0137695 -2.74521 0.597222
-3.06951 -1.90219 -4.39111 -1.04868
-1.39829 -1.06658 -4.356 -1.01357
-1.39829 0.115146 -2.88671 0.455719
0.272923 -0.821838 -4.42622 -1.08379
-1.39829 -0.475718 -3.28249 0.0599378
-3.06951 -1.31133 -4.57623 -1.2338
-1.39829 -1.65745 -4.65496 -1.31253
0.272923 -0.821838 -3.74849 -0.406063
-3.06951 -1.31133 -3.41442 -0.0719893
0.272923 0.950753 -2.65797 0.684464
0.272923 0.950753 -3.04524 0.297194
-1.39829 -2.24831 -4.85711 -1.51468
1.94414 0.604633 -3.3176 0.0248282
-1.39829 -0.475718 -3.47613 -0.133697
-1.39829 -2.24831 -4.17938 -0.836954
-1.39829 0.70601 -2.39411 0.948318
1.94414 1.1955 -2.43773 0.904697
-3.06951 -1.31133 -3.41442 -0.0719893
0.272923 -0.821838 -3.55486 -0.212428
-1.39829 0.115146 -2.59626 0.746172
-1.39829 -0.475718 -3.37931 -0.0368797
1.94414 0.604633 -2.83351 0.508916
-1.39829 -1.65745 -3.88042 -0.53799
0.272923 -1.4127 -3.85382 -0.511392
-4.74072 -2.7378 -4.61985 -1.27742
0.272923 -0.821838 -4.03895 -0.696515
-1.39829 -0.475718 -3.66976 -0.327332
0.272923 -0.230974 -2.77181 0.570624
-1.39829 -0.475718 -3.57295 -0.230515
0.272923 0.950753 -2.8516 0.490829
1.94414 1.1955 -2.72819 0.614245
-1.39829 -0.475718 -3.8634 -0.520967
0.272923 -0.230974 -3.44953 -0.107099
-1.39829 -0.475718 -4.25067 -0.908237
-1.39829 -0.475718 -2.89522 0.447208
-1.39829 -1.06658 -3.96873 -0.626296
1.94414 0.604633 -2.7367 0.605733
-3.06951 -1.31133 -4.3826 -1.04016
0.272923 0.950753 -2.65797 0.684464
0.272923 -0.821838 -3.16759 0.174842
1.94414 0.0137695 -2.74521 0.597222
0.272923 0.950753 -2.36751 0.974917
-4.74072 -2.14693 -4.22407 -0.881639
0.272923 0.35989 -2.95693 0.3855
-1.39829 -1.65745 -4.94541 -1.60298
-1.39829 -2.24831 -4.37302 -1.03059
0.272923 -0.230974 -3.8368 -0.494369
1.94414 0.604633 -3.3176 0.0248282
-1.39829 -0.475718 -2.89522 0.447208
-3.06951 -0.720462 -3.79318 -0.450748
1.94414 0.0137695 -3.51975 -0.177318
0.272923 -0.821838 -3.94213 -0.599698
-1.39829 -2.24831 -4.66347 -1.32104
0.272923 0.950753 -2.65797 0.684464
-1.39829 0.115146 -3.85489 -0.512456
-4.74072 -1.55607 -4.11874 -0.77631
1.94414 -0.577094 -2.75372 0.58871
-1.39829 -0.475718 -3.76658 -0.42415
0.272923 -0.230974 -3.64316 -0.300734
-1.39829 -2.83917 -4.7688 -1.42637
-3.06951 -1.31133 -4.3826 -1.04016
-3.06951 -1.31133 -3.70487 -0.362442
-1.39829 -0.475718 -3.18568 0.156755
1.94414 1.1955 -2.92182 0.42061
-1.39829 -0.475718 -3.08886 0.253573
1.94414 -0.577094 -2.94736 0.395075
-1.39829 0.115146 -3.66125 -0.318821
-1.39829 0.115146 -3.17716 0.165267
0.272923 0.950753 -1.98024 1.36219
0.272923 -0.821838 -3.26441 0.0780246
0.272923 -0.230974 -2.77181 0.570624
-3.06951 -1.90219 -4.19747 -0.855041
-1.39829 -0.475718 -2.89522 0.447208
-1.39829 -0.475718 -3.28249 0.0599378
-1.39829 0.115146 -2.59626 0.746172
-3.06951 -1.31133 -3.22079 0.121646
0.272923 0.35989 -3.44102 -0.0985875
0.272923 -0.821838 -3.55486 -0.212428
0.272923 -0.821838 -2.6835 0.65893
3.61535 0.258513 -2.81543 0.527003
0.272923 0.35989 -2.08557 1.25686
0.272923 -0.230974 -3.93362 -0.591187
0.272923 -0.230974 -3.15908 0.183354
-1.39829 0.115146 -2.88671 0.455719
0.272923 -0.230974 -3.64316 -0.300734
-3.06951 -1.90219 -4.58474 -1.24231
1.94414 1.1955 -2.43773 0.904697
-3.06951 -0.720462 -3.59954 -0.257113
0.272923 0.35989 -3.73147 -0.38904
1.94414 1.1955 -3.11546 0.226975
1.94414 0.604633 -3.22079 0.121646
-1.39829 -0.475718 -3.57295 -0.230515
1.94414 0.604633 -3.02715 0.315281
-1.39829 -2.24831 -4.2762 -0.933772
0.272923 0.35989 -3.24738 0.0950475
0.272923 0.35989 -2.27921 1.06322
-1.39829 -0.475718 -3.8634 -0.520967
0.272923 0.950753 -2.8516 0.490829
1.94414 1.1955 -2.2441 1.09833
