Reference   BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
212.283 222.108 219.911 213.253 209.502 212.644
212.283 222.066 212.058 213.213 209.666 212.808
212.283 220.024 202.633 211.278 209.053 212.195
212.283 221.865 218.341 213.023 209.022 212.164
212.283 222.167 208.916 213.309 209.442 212.584
212.283 221.439 204.204 212.618 210.095 213.237
212.283 221.522 219.911 212.697 209.494 212.636
212.283 222.066 212.058 213.213 209.12 212.262
212.283 221.522 219.911 212.697 209.585 212.727
212.283 220.51 205.774 211.738 209.012 212.154
212.283 221.38 215.199 212.563 209.518 212.66
212.283 220.936 219.911 212.142 209.122 212.264
212.283 222.267 205.774 213.404 210.492 213.634
212.283 220.451 216.77 211.682 209.254 212.396
212.283 220.693 218.341 211.912 209.734 212.876
212.283 220.024 202.633 211.278 208.962 212.104
212.283 222.066 212.058 213.213 210.03 213.172
212.283 219.681 204.204 210.952 208.706 211.848
212.283 222.167 208.916 213.309 209.806 212.948
212.283 222.752 208.916 213.864 209.814 212.956
212.283 221.723 213.628 212.888 209.592 212.734
212.283 219.865 216.77 211.127 209.064 212.206
212.283 222.409 210.487 213.539 209.649 212.791
212.283 220.752 207.345 211.968 208.582 211.724
212.283 221.037 216.77 212.237 209.626 212.768
212.283 221.622 216.77 212.793 209.452 212.594
212.283 220.108 218.341 211.357 209.18 212.322
212.283 222.551 215.199 213.673 209.534 212.676
212.283 221.38 215.199 212.563 209.336 212.478
212.283 219.179 219.911 210.476 209.098 212.24
212.283 220.936 219.911 212.142 209.85 212.992
212.283 221.037 216.77 212.237 209.444 212.586
212.283 221.765 221.482 212.927 210.338 213.48
212.283 221.966 215.199 213.118 209.708 212.85
212.283 221.823 210.487 212.983 209.732 212.874
212.283 219.179 219.911 210.476 209.28 212.422
212.283 222.693 219.911 213.808 209.51 212.652
212.283 222.51 207.345 213.634 210.062 213.204
212.283 221.095 205.774 212.293 209.566 212.708
212.283 221.622 216.77 212.793 209.452 212.594
212.283 221.238 210.487 212.428 208.632 211.774
212.283 220.752 207.345 211.968 209.492 212.634
212.283 220.35 219.911 211.587 209.478 212.62
212.283 219.765 219.911 211.031 208.924 212.066
212.283 222.167 208.916 213.309 209.806 212.948
212.283 220.853 204.204 212.063 209.723 212.865
212.283 220.35 219.911 211.587 209.114 212.256
212.283 221.279 218.341 212.467 209.014 212.156
212.283 221.279 218.341 212.467 208.832 211.974
212.283 220.693 218.341 211.912 209.734 212.876
212.283 221.38 215.199 212.563 209.518 212.66
212.283 221.279 218.341 212.467 209.833 212.975
212.283 220.108 218.341 211.357 209.18 212.322
212.283 222.652 212.058 213.769 210.493 213.635
212.283 220.208 215.199 211.452 208.956 212.098
212.283 218.61 201.062 209.937 208.648 211.79
212.283 221.622 216.77 212.793 209.27 212.412
212.283 221.095 205.774 212.293 209.384 212.526
212.283 221.723 213.628 212.888 209.228 212.37
212.283 222.167 208.916 213.309 209.988 213.13
212.283 220.936 219.911 212.142 209.304 212.446
212.283 221.137 213.628 212.333 209.402 212.544
212.283 221.924 207.345 213.079 209.872 213.014
212.283 222.693 219.911 213.808 209.692 212.834
212.283 218.61 201.062 209.937 208.284 211.426
212.283 219.765 219.911 211.031 209.106 212.248
212.283 221.966 215.199 213.118 210.072 213.214
212.283 218.936 218.341 210.246 208.8 211.942
212.283 220.853 204.204 212.063 209.632 212.774
212.283 220.936 219.911 212.142 209.122 212.264
212.283 221.723 213.628 212.888 209.41 212.552
212.283 220.853 204.204 212.063 209.45 212.592
212.283 221.865 218.341 213.023 208.84 211.982
212.283 221.338 207.345 212.523 209.227 212.369
212.283 221.865 218.341 213.023 209.932 213.074
212.283 221.522 219.911 212.697 209.312 212.454
212.283 219.765 219.911 211.031 209.288 212.43
212.283 221.622 216.77 212.793 209.634 212.776
212.283 220.853 204.204 212.063 209.45 212.592
212.283 221.439 204.204 212.618 210.277 213.419
212.283 219.522 218.341 210.801 208.626 211.768
212.283 219.439 202.633 210.722 208.954 212.096
212.283 221.865 218.341 213.023 209.113 212.255
212.283 221.823 210.487 212.983 209.914 213.056
212.283 220.936 219.911 212.142 209.941 213.083
212.283 221.865 218.341 213.023 210.114 213.256
212.283 222.066 212.058 213.213 210.03 213.172
212.283 222.451 218.341 213.578 209.667 212.809
212.283 219.522 218.341 210.801 209.263 212.405
212.283 222.066 212.058 213.213 209.484 212.626
212.283 219.865 216.77 211.127 208.882 212.024
212.283 221.338 207.345 212.523 209.5 212.642
212.283 222.551 215.199 213.673 209.898 213.04
212.283 219.865 216.77 211.127 209.61 212.752
212.283 219.439 202.633 210.722 208.772 211.914
212.283 220.853 204.204 212.063 209.45 212.592
212.283 221.095 205.774 212.293 209.657 212.799
212.283 219.865 216.77 211.127 209.428 212.57
212.283 220.35 219.911 211.587 209.842 212.984
212.283 221.338 207.345 212.523 209.864 213.006
212.283 222.451 218.341 213.578 209.758 212.9
212.283 221.681 205.774 212.849 209.756 212.898
212.283 222.167 208.916 213.309 209.715 212.857
