BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
2.66639 -0.647442 -1.08106 -2.36299 -0.505937
2.80982 0.281086 -0.945077 -1.91788 -0.0608236
4.65999 -3.43303 0.808994 -1.13701 0.720045
3.35893 -0.647442 -0.424488 -1.76183 0.095232
3.90804 -1.57597 0.0961007 -1.71335 0.143704
4.07608 3.9952 0.255411 -1.95689 -0.0998375
3.01266 -0.647442 -0.752773 -2.1431 -0.28604
3.35893 -0.647442 -0.424488 -1.60045 0.256608
3.09668 2.13814 -0.673118 -1.67316 0.1839
2.92865 -3.43303 -0.832428 -2.66683 -0.809772
3.78922 2.13814 -0.0165487 -1.60991 0.24715
3.09668 2.13814 -0.673118 -1.78074 0.0763162
3.64579 1.20961 -0.152529 -1.67848 0.17858
3.72981 3.9952 -0.0728734 -1.53129 0.325769
4.76862 3.9952 0.91198 -1.24814 0.608915
3.56177 -1.57597 -0.232184 -1.82567 0.0313911
3.90804 -1.57597 0.0961007 -2.0361 -0.179048
4.42235 3.9952 0.583695 -1.46804 0.389018
3.44295 2.13814 -0.344833 -2.26014 -0.403082
4.56578 4.92373 0.719675 -1.66843 0.188629
3.47776 -4.36156 -0.311839 -2.02665 -0.16959
3.38354 3.9952 -0.401158 -2.02014 -0.163087
4.60058 -1.57597 0.75267 -1.48873 0.368329
2.05787 2.13814 -1.65797 -2.49422 -0.637165
4.80342 -2.5045 0.944974 -1.17603 0.681032
5.11489 3.9952 1.24026 -1.61996 0.237101
3.47776 -4.36156 -0.311839 -2.13423 -0.277173
2.92865 -3.43303 -0.832428 -1.96753 -0.110478
2.72581 -2.5045 -1.02473 -1.95749 -0.100429
2.40414 2.13814 -1.32969 -2.05916 -0.202101
4.80342 -2.5045 0.944974 -1.22982 0.62724
3.7052 -0.647442 -0.0962039 -1.21918 0.63788
3.78922 2.13814 -0.0165487 -1.12578 0.731277
3.24011 3.06667 -0.537138 -1.71217 0.144886
3.27492 -3.43303 -0.504143 -2.44693 -0.589876
3.01266 -0.647442 -0.752773 -2.08931 -0.232248
3.01266 -0.647442 -0.752773 -2.08931 -0.232248
4.13549 2.13814 0.311736 -1.39001 0.467046
1.94925 -5.29009 -1.76096 -2.81343 -0.95637
4.07608 3.9952 0.255411 -1.95689 -0.0998375
3.01266 -0.647442 -0.752773 -2.1431 -0.28604
2.78522 -4.36156 -0.968408 -2.30506 -0.448007
3.41834 -2.5045 -0.368164 -2.48595 -0.62889
3.35893 -0.647442 -0.424488 -1.60045 0.256608
3.33433 -5.29009 -0.447819 -2.2028 -0.345743
2.92865 -3.43303 -0.832428 -2.02133 -0.16427
4.39774 -0.647442 0.560365 -1.64005 0.217003
4.62519 3.06667 0.776 -1.31671 0.540345
4.11088 -2.5045 0.288405 -1.7234 0.133655
3.2155 -1.57597 -0.560468 -1.93798 -0.0809217
3.41834 -2.5045 -0.368164 -2.21699 -0.35993
3.82403 -4.36156 0.0164456 -1.80675 0.0503069
4.31372 -3.43303 0.48071 -1.78724 0.0698139
4.45715 -2.5045 0.61669 -1.44971 0.407343
4.42235 3.9952 0.583695 -2.11354 -0.256484
4.21951 4.92373 0.391391 -1.94212 -0.0850595
3.90804 -1.57597 0.0961007 -1.92852 -0.0714637
3.99206 1.20961 0.175756 -1.13583 0.721228
5.14969 -2.5045 1.27326 -1.1713 0.685761
4.07608 3.9952 0.255411 -2.11827 -0.261213
4.07608 3.9952 0.255411 -2.22585 -0.368797
4.11088 -2.5045 0.288405 -1.93857 -0.0815128
3.09668 2.13814 -0.673118 -1.61937 0.237692
4.31372 -3.43303 0.48071 -1.62587 0.23119
3.13149 -4.36156 -0.640123 -2.40792 -0.550862
3.90804 -1.57597 0.0961007 -1.92852 -0.0714637
3.72981 3.9952 -0.0728734 -1.53129 0.325769
2.60698 1.20961 -1.13738 -2.23058 -0.373526
3.62119 -3.43303 -0.175859 -1.52774 0.329315
3.90804 -1.57597 0.0961007 -1.92852 -0.0714637
3.50236 0.281086 -0.288508 -1.80084 0.0562181
3.2155 -1.57597 -0.560468 -2.26073 -0.403673
3.90804 -1.57597 0.0961007 -1.71335 0.143704
2.86923 -1.57597 -0.888753 -2.37304 -0.515986
3.7052 -0.647442 -0.0962039 -1.38055 0.476504
3.64579 1.20961 -0.152529 -1.73227 0.124788
4.05147 -0.647442 0.232081 -1.48341 0.373649
3.01266 -0.647442 -0.752773 -2.08931 -0.232248
3.72981 3.9952 -0.0728734 -1.36991 0.487144
4.94685 -1.57597 1.08095 -1.43021 0.42685
3.15609 0.281086 -0.616793 -2.02074 -0.163678
3.29952 1.20961 -0.480813 -2.00596 -0.1489
2.52296 -1.57597 -1.21704 -2.10881 -0.251755
3.64579 1.20961 -0.152529 -1.5171 0.339956
4.45715 -2.5045 0.61669 -1.61109 0.245968
2.58238 -3.43303 -1.16071 -2.07985 -0.22279
2.89384 3.06667 -0.865422 -2.63136 -0.774305
3.27492 -3.43303 -0.504143 -1.64005 0.217003
3.44295 2.13814 -0.344833 -1.45326 0.403796
4.91205 4.92373 1.04796 -1.60991 0.24715
2.58238 -3.43303 -1.16071 -2.02606 -0.168998
3.24011 3.06667 -0.537138 -1.87355 -0.0164896
3.82403 -4.36156 0.0164456 -1.86054 -0.00348498
3.15609 0.281086 -0.616793 -1.96694 -0.109887
4.07608 3.9952 0.255411 -1.36518 0.491873
4.65999 -3.43303 0.808994 -1.13701 0.720045
3.62119 -3.43303 -0.175859 -1.95808 -0.10102
3.78922 2.13814 -0.0165487 -1.82507 0.0319822
3.93265 3.06667 0.119431 -1.91788 -0.0608236
2.60698 1.20961 -1.13738 -2.123 -0.265942
4.62519 3.06667 0.776 -1.15534 0.701721
3.62119 -3.43303 -0.175859 -2.28083 -0.423771
4.91205 4.92373 1.04796 -1.55612 0.300942
2.95325 1.20961 -0.809097 -1.68794 0.169122
3.24011 3.06667 -0.537138 -2.46526 -0.6082
2.80982 0.281086 -0.945077 -2.40201 -0.544951
3.72981 3.9952 -0.0728734 -2.123 -0.265942
4.07608 3.9952 0.255411 -2.33344 -0.476381
3.41834 -2.5045 -0.368164 -1.51769 0.339364
3.78922 2.13814 -0.0165487 -1.12578 0.731277
3.13149 -4.36156 -0.640123 -1.87 -0.0129429
4.94685 -1.57597 1.08095 -1.484 0.373058
4.56578 4.92373 0.719675 -1.50705 0.350005
3.76461 -2.5045 -0.0398792 -2.10467 -0.247617
3.47776 -4.36156 -0.311839 -2.13423 -0.277173
2.80982 0.281086 -0.945077 -1.91788 -0.0608236
3.56177 -1.57597 -0.232184 -2.14842 -0.29136
3.15609 0.281086 -0.616793 -1.85936 -0.00230274
4.56578 4.92373 0.719675 -1.56084 0.296213
4.91205 4.92373 1.04796 -1.17957 0.677485
4.27892 3.06667 0.447716 -1.75178 0.105281
2.86923 -1.57597 -0.888753 -1.88892 -0.0318587
4.91205 4.92373 1.04796 -1.12578 0.731277
4.42235 3.9952 0.583695 -1.95217 -0.0951085
4.07608 3.9952 0.255411 -2.11827 -0.261213
3.93265 3.06667 0.119431 -2.29442 -0.437367
3.84863 0.281086 0.039776 -1.52715 0.329907
3.96745 -3.43303 0.152425 -1.84576 0.011293
4.05147 -0.647442 0.232081 -0.999281 0.857776
4.05147 -0.647442 0.232081 -1.48341 0.373649
4.25431 -1.57597 0.424385 -1.54725 0.309808
3.72981 3.9952 -0.0728734 -1.58508 0.271977
