BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
7.27565 3.67256 2.37407 -1.49625 -0.710852
2.9099 -13.2135 -1.76492 -1.03825 -0.252852
2.55635 -13.6062 -2.1001 -1.367 -0.581602
4.37794 9.56304 -0.373128 -0.52175 0.263648
7.10839 -0.254433 2.2155 -0.256 0.529398
6.65864 -2.21793 1.78911 -0.15275 0.632648
-0.858604 10.7411 -5.33768 -1.5325 -0.747102
7.17946 2.10176 2.28287 -0.97325 -0.187852
5.1127 -6.53762 0.323466 -0.5975 0.187898
6.21068 7.20685 1.36442 -1.30275 -0.517352
6.88225 6.81415 2.00111 -1.36725 -0.581852
3.38478 -12.0354 -1.31471 -0.85625 -0.0708518
-0.171573 -19.8894 -4.68634 -2.583 -1.7976
0.0961941 -19.104 -4.43248 -2.50025 -1.71485
1.89949 -15.9624 -2.72284 -1.34025 -0.554852
1.3381 10.7411 -3.25508 -0.82 -0.0346018
2.88835 10.3484 -1.78535 -0.5085 0.276898
0.923882 9.95574 -3.64778 -1.3825 -0.597102
2.7028 -13.6062 -1.96126 -1.16025 -0.374852
4.62742 -9.67921 -0.136609 -0.147 0.638398
5.88047 -5.35952 1.05135 -0.07025 0.715148
0.459415 10.7411 -4.08812 -1.105 -0.319602
6.96804 6.42145 2.08244 -1.5535 -0.768102
2.49569 -13.9989 -2.15761 -1.28225 -0.496852
6.77996 -1.43253 1.90413 -0.2085 0.576898
7.21499 3.27986 2.31656 -1.3205 -0.535102
5.75914 -6.14492 0.936336 0.05375 0.839148
6.98276 3.67256 2.09639 -1.77325 -0.987852
7.0226 0.138266 2.13417 -0.57025 0.215148
6.84062 -1.03983 1.96164 -0.29325 0.492148
6.7254 4.85065 1.8524 -2.46575 -1.68035
1.57033 10.3484 -3.03491 -0.9815 -0.196102
0.924621 -17.5332 -3.64708 -2.035 -1.2496
6.68377 -3.00333 1.81293 0.178 0.963398
0.510408 -18.3186 -4.03978 -2.279 -1.4936
6.55382 5.63605 1.68974 -2.207 -1.4216
0.838095 10.3484 -3.72911 -1.219 -0.433602
6.12489 7.59955 1.28309 -1.0255 -0.240102
6.86144 2.88716 1.98137 -1.7175 -0.932102
6.58936 6.81415 1.72343 -1.485 -0.699602
3.26703 9.95574 -1.42634 -0.668 0.117398
6.29468 -4.57412 1.44405 0.31025 1.09565
6.84062 -1.03983 1.96164 -0.407 0.378398
2.99569 -13.6062 -1.68358 -0.79225 -0.00685184
5.53911 7.59955 0.727725 -1.2155 -0.430102
-0.171573 -19.8894 -4.68634 -2.583 -1.7976
4.27386 -10.0719 -0.471799 -0.43025 0.355148
0.752309 10.7411 -3.81044 -1.01 -0.224602
3.38478 -12.0354 -1.31471 -0.8335 -0.0481018
1.07107 -17.5332 -3.50824 -1.851 -1.0656
5.19596 9.17034 0.402403 -0.49325 0.292148
6.7254 4.85065 1.8524 -2.46575 -1.68035
2.2419 9.95574 -2.39822 -0.93225 -0.146852
1.07107 -17.5332 -3.50824 -1.8055 -1.0201
7.06854 3.27986 2.17772 -1.55 -0.764602
6.77996 -1.43253 1.90413 -0.2995 0.485898
7.08326 0.530965 2.19168 -0.6095 0.175898
5.53911 7.59955 0.727725 -1.23825 -0.452852
0.863961 -17.9259 -3.70459 -1.973 -1.1876
6.84062 -1.03983 1.96164 -0.407 0.378398
6.59798 -2.61063 1.7316 -0.04525 0.740148
4.74874 -8.89381 -0.0215905 -0.2255 0.559898
6.30509 -2.61063 1.45392 -0.4815 0.303898
5.28427 -7.32302 0.486127 -0.1055 0.679898
6.58936 6.81415 1.72343 -1.46225 -0.676852
6.59798 -2.61063 1.7316 -0.1135 0.671898
7.24012 2.49446 2.34038 -1.12625 -0.340852
4.46373 9.17034 -0.291798 -0.708 0.0773982
5.1353 8.77765 0.344893 -0.74975 0.0356482
6.06245 -4.18142 1.22388 -0.25625 0.529148
4.54951 8.77765 -0.210467 -0.89425 -0.108852
3.47056 -12.4281 -1.23338 -0.61025 0.175148
6.20889 -4.18142 1.36272 -0.07225 0.713148
4.33452 -9.67921 -0.41429 -0.515 0.270398
5.45332 7.99225 0.646395 -1.07475 -0.289352
6.7193 -1.82523 1.84662 -0.26025 0.525148
7.21499 3.27986 2.31656 -1.4115 -0.626102
1.48528 -16.7478 -3.11554 -1.607 -0.821602
6.18377 -3.39603 1.3389 -0.3575 0.427898
0.242641 -19.104 -4.29364 -2.339 -1.5536
7.20458 1.31636 2.3067 -0.7335 0.0518982
4.27386 -10.0719 -0.471799 -0.43025 0.355148
-0.585786 -20.6748 -5.07904 -2.827 -2.0416
-0.126371 10.7411 -4.64348 -1.295 -0.509602
2.99569 -13.6062 -1.68358 -0.7695 0.0158982
7.24012 2.49446 2.34038 -1.058 -0.272602
2.22792 -14.7843 -2.41147 -1.34225 -0.556852
3.62058 10.3484 -1.09115 -0.29375 0.491648
0.252309 10.3484 -4.28447 -1.409 -0.623602
1.19165 10.7411 -3.39392 -0.8675 -0.0821018
6.45153 -2.61063 1.59276 -0.22925 0.556148
3.79899 -11.25 -0.922008 -0.635 0.150398
5.36753 8.38495 0.565064 -0.934 -0.148602
5.22109 8.38495 0.426224 -0.9815 -0.196102
4.45584 -8.89381 -0.299271 -0.57075 0.214648
6.98707 -1.03983 2.10048 -0.132 0.653398
6.49316 5.24335 1.63223 -2.327 -1.5416
-0.171573 -19.8894 -4.68634 -2.583 -1.7976
3.38478 -12.0354 -1.31471 -0.879 -0.0936018
2.49569 -13.9989 -2.15761 -1.28225 -0.496852
7.3259 2.10176 2.42171 -0.78925 -0.00385184
2.84924 -13.6062 -1.82242 -0.97625 -0.190852
5.88047 -5.35952 1.05135 -0.02475 0.760648
5.89266 7.99225 1.06291 -0.955 -0.169602
-1 -21.4602 -5.47174 -3.071 -2.2856
1.92388 10.7411 -2.69972 -0.63 0.155398
0.242641 -19.104 -4.29364 -2.339 -1.5536
4.48885 8.38495 -0.267977 -1.0825 -0.297102
0.166522 10.7411 -4.3658 -1.2 -0.414602
7.01219 -1.82523 2.1243 0.10775 0.893148
1.57033 10.3484 -3.03491 -0.91325 -0.127852
0.656854 -18.3186 -3.90094 -2.095 -1.3096
5.07464 8.38495 0.287384 -0.96075 -0.175352
5.81981 -5.75222 0.993845 0.06 0.845398
7.16905 0.138266 2.27301 -0.318 0.467398
2.02082 -15.177 -2.60782 -1.487 -0.701602
7.24012 2.49446 2.34038 -1.058 -0.272602
5.28175 8.77765 0.483733 -0.6795 0.105898
2.00967 10.3484 -2.61839 -0.839 -0.0536018
6.86144 2.88716 1.98137 -1.672 -0.886602
7.31118 4.85065 2.40776 -1.8435 -1.0581
6.06245 -4.18142 1.22388 -0.16525 0.620148
6.42641 -1.82523 1.56894 -0.6055 0.179898
4.0061 -10.8573 -0.725658 -0.422 0.363398
6.53732 -3.00333 1.67409 -0.07425 0.711148
2.84924 -13.6062 -1.82242 -0.9535 -0.168102
2.7419 10.3484 -1.92419 -0.57875 0.206648
6.88225 6.81415 2.00111 -1.39 -0.604602
5.04163 -8.89381 0.25609 0.1425 0.927898
-0.171573 -19.8894 -4.68634 -2.583 -1.7976
6.35534 -4.18142 1.50156 0.089 0.874398
4.46373 9.17034 -0.291798 -0.73075 0.0546482
6.7254 4.85065 1.8524 -2.4885 -1.7031
3.70637 9.95574 -1.00982 -0.5255 0.259898
5.97845 7.59955 1.14425 -1.164 -0.378602
4.62742 -9.67921 -0.136609 -0.147 0.638398
7.26524 1.70906 2.36421 -0.7955 -0.0101018
-0.505051 11.1338 -5.00249 -1.181 -0.395602
7.10408 4.45796 2.21141 -1.89725 -1.11185
3.87794 9.17034 -0.847158 -0.87525 -0.0898518
5.85534 -4.57412 1.02753 -0.3555 0.429898
7.17946 2.10176 2.28287 -0.996 -0.210602
4.04163 -9.67921 -0.69197 -0.86025 -0.0748518
6.80509 -2.21793 1.92795 0.054 0.839398
0.656854 -18.3186 -3.90094 -2.095 -1.3096
6.9325 5.24335 2.04875 -2.16175 -1.37635
6.7193 -1.82523 1.84662 -0.26025 0.525148
6.29646 6.81415 1.44575 -1.55725 -0.771852
7.0226 0.138266 2.13417 -0.4565 0.328898
7.01829 4.85065 2.13008 -2.166 -1.3806
5.07464 8.38495 0.287384 -0.9835 -0.198102
1.96016 -15.5697 -2.66533 -1.40225 -0.616852
6.29646 6.81415 1.44575 -1.58 -0.794602
5.36753 8.38495 0.565064 -0.934 -0.148602
6.75483 -0.647132 1.88031 -0.653 0.132398
4.17083 9.17034 -0.569478 -0.7575 0.0278982
5.40559 -6.53762 0.601146 -0.25225 0.533148
7.05813 1.31636 2.16786 -0.872 -0.0866018
6.76093 6.02875 1.88609 -1.812 -1.0266
4.31728 9.17034 -0.430638 -0.7555 0.0298982
-0.479924 10.3484 -4.97867 -1.6465 -0.861102
0.459415 10.7411 -4.08812 -1.105 -0.319602
7.14392 0.923664 2.24919 -0.60325 0.182148
7.16474 4.85065 2.26892 -2.00475 -1.21935
3.73833 -11.6427 -0.979517 -0.55025 0.235148
7.42641 -1.03983 2.517 0.39725 1.18265
2.97056 -12.8208 -1.70741 -1.0775 -0.292102
5.19596 9.17034 0.402403 -0.516 0.269398
3.79899 -11.25 -0.922008 -0.52125 0.264148
1.07107 -17.5332 -3.50824 -1.851 -1.0656
3.41347 9.95574 -1.2875 -0.59775 0.187648
6.03911 7.99225 1.20175 -0.9075 -0.122102
6.7254 4.85065 1.8524 -2.4885 -1.7031
3.73833 -11.6427 -0.979517 -0.55025 0.235148
6.76524 1.31636 1.89018 -1.2855 -0.500102
5.07464 8.38495 0.287384 -0.96075 -0.175352
3.79899 -11.25 -0.922008 -0.5895 0.195898
7.24012 2.49446 2.34038 -1.058 -0.272602
-0.126371 10.7411 -4.64348 -1.295 -0.509602
4.2132 -10.4646 -0.529309 -0.391 0.394398
7.50788 3.27986 2.59424 -0.97525 -0.189852
7.20458 1.31636 2.3067 -0.71075 0.0746482
6.84672 5.63605 1.96742 -2.021 -1.2356
6.38225 6.42145 1.52708 -1.6525 -0.867102
6.7193 -1.82523 1.84662 -0.26025 0.525148
7.08326 0.530965 2.19168 -0.54125 0.244148
2.53479 9.95574 -2.12054 -0.83725 -0.0518518
6.9325 5.24335 2.04875 -2.16175 -1.37635
5.34493 -6.93032 0.543637 -0.19025 0.595148
5.22361 -7.71572 0.428618 -0.06625 0.719148
6.59798 -2.61063 1.7316 -0.04525 0.740148
5.05204 -6.93032 0.265957 -0.51275 0.272648
7.2254 5.24335 2.32643 -2.11225 -1.32685
4.98885 8.77765 0.206053 -0.75175 0.0336482
7.24012 2.49446 2.34038 -1.149 -0.363602
4.54951 8.77765 -0.210467 -0.917 -0.131602
4.87006 -8.10841 0.0934284 -0.37225 0.413148
5.28427 -7.32302 0.486127 -0.1055 0.679898
7.20458 1.31636 2.3067 -0.66525 0.120148
0.303301 -18.7113 -4.23613 -2.37825 -1.59285
0.166522 10.7411 -4.3658 -1.2 -0.414602
5.80687 8.38495 0.981584 -0.7915 -0.00610184
5.832 7.59955 1.00541 -1.166 -0.380602
-0.126371 10.7411 -4.64348 -1.295 -0.509602
0.923882 9.95574 -3.64778 -1.428 -0.642602
3.55992 9.95574 -1.14866 -0.573 0.212398
6.59798 -2.61063 1.7316 -0.159 0.626398
1.86322 10.3484 -2.75723 -0.81825 -0.0328518
3.4386 9.17034 -1.26368 -1.086 -0.300602
1.48528 -16.7478 -3.11554 -1.607 -0.821602
7.20458 1.31636 2.3067 -0.75625 0.0291482
3.65254 -11.25 -1.06085 -0.79625 -0.0108518
3.62058 10.3484 -1.09115 -0.29375 0.491648
3.79215 9.56304 -0.928489 -0.6435 0.141898
7.15433 2.88716 2.25905 -1.395 -0.609602
7.01219 -1.82523 2.1243 0.1305 0.915898
6.86144 2.88716 1.98137 -1.672 -0.886602
5.916 -4.18142 1.08504 -0.4175 0.367898
6.58936 6.81415 1.72343 -1.394 -0.608602
-0.712157 10.7411 -5.19884 -1.485 -0.699602
0.656854 -18.3186 -3.90094 -2.095 -1.3096
6.55382 5.63605 1.68974 -2.116 -1.3306
6.12489 7.59955 1.28309 -1.162 -0.376602
-0.171573 -19.8894 -4.68634 -2.583 -1.7976
6.06423 7.20685 1.22558 -1.4185 -0.633102
1.89949 -15.9624 -2.72284 -1.34025 -0.554852
5.36753 8.38495 0.565064 -0.91125 -0.125852
4.74874 -8.89381 -0.0215905 -0.24825 0.537148
5.11017 9.56304 0.321072 -0.2615 0.523898
4.98885 8.77765 0.206053 -0.75175 0.0336482
4.69596 8.77765 -0.0716271 -0.8695 -0.0841018
1.13173 -17.1405 -3.45073 -1.89025 -1.10485
7.16474 4.85065 2.26892 -2.0275 -1.2421
1.3381 10.7411 -3.25508 -0.82 -0.0346018
6.06423 7.20685 1.22558 -1.3275 -0.542102
7.0226 0.138266 2.13417 -0.5475 0.237898
7.3259 2.10176 2.42171 -0.78925 -0.00385184
-0.171573 -19.8894 -4.68634 -2.583 -1.7976
3.18124 10.3484 -1.50767 -0.459 0.326398
6.91169 1.31636 2.02902 -1.147 -0.361602
0.166522 10.7411 -4.3658 -1.2 -0.414602
6.98276 3.67256 2.09639 -1.796 -1.0106
1.19165 10.7411 -3.39392 -0.8675 -0.0821018
-0.419264 10.7411 -4.92116 -1.39 -0.604602
6.99316 5.63605 2.10626 -2.04175 -1.25635
6.59798 -2.61063 1.7316 -0.159 0.626398
3.32412 -12.4281 -1.37222 -0.79425 -0.00885184
5.34493 -6.93032 0.543637 -0.14475 0.640648
4.2132 -10.4646 -0.529309 -0.32275 0.462648
6.76093 6.02875 1.88609 -1.83475 -1.04935
6.98707 -1.03983 2.10048 -0.132 0.653398
0.691649 10.3484 -3.86795 -1.2665 -0.481102
3.12058 9.95574 -1.56518 -0.69275 0.0926482
1.6066 -15.9624 -3.00052 -1.731 -0.945602
5.81981 -5.75222 0.993845 0.06 0.845398
7.06854 3.27986 2.17772 -1.48175 -0.696352
5.04951 9.17034 0.263563 -0.54075 0.244648
6.95763 4.45796 2.07257 -2.104 -1.3186
7.20458 1.31636 2.3067 -0.71075 0.0746482
7.05813 1.31636 2.16786 -0.84925 -0.0638518
-0.919264 10.3484 -5.39519 -1.789 -1.0036
7.16474 4.85065 2.26892 -2.05025 -1.26485
3.92031 -10.4646 -0.806989 -0.7135 0.0718982
2.09545 9.95574 -2.53706 -1.0025 -0.217102
3.4386 9.17034 -1.26368 -1.086 -0.300602
7.1188 1.70906 2.22537 -0.82025 -0.0348518
7.1188 1.70906 2.22537 -0.934 -0.148602
6.63961 5.24335 1.77107 -2.234 -1.4486
6.78606 5.24335 1.90991 -2.232 -1.4466
5.66043 8.38495 0.842744 -0.81625 -0.0308518
-0.565711 10.7411 -5.06 -1.4375 -0.652102
-0.171573 -19.8894 -4.68634 -2.583 -1.7976
7.25483 -0.254433 2.35434 -0.14025 0.645148
0.778175 -17.5332 -3.78592 -2.219 -1.4336
7.56854 3.67256 2.65175 -1.08275 -0.297352
6.81118 4.45796 1.93373 -2.288 -1.5026
6.39697 3.67256 1.54103 -2.532 -1.7466
6.46804 6.02875 1.60841 -1.8615 -1.0761
-0.37868 -20.2821 -4.88269 -2.6595 -1.8741
1.63099 10.7411 -2.9774 -0.6795 0.105898
6.29468 -4.57412 1.44405 0.21925 1.00465
1.71677 10.3484 -2.89607 -0.8885 -0.103102
0.166522 10.7411 -4.3658 -1.2 -0.414602
1.63099 10.7411 -2.9774 -0.725 0.0603982
6.9325 5.24335 2.04875 -2.20725 -1.42185
3.79215 9.56304 -0.928489 -0.66625 0.119148
3.47056 -12.4281 -1.23338 -0.61025 0.175148
6.17336 -5.35952 1.32904 0.29775 1.08315
5.74621 7.99225 0.924075 -0.97975 -0.194352
2.00967 10.3484 -2.61839 -0.839 -0.0536018
7.18986 4.06526 2.29274 -1.60575 -0.820352
7.07895 5.24335 2.18759 -2.228 -1.4426
0.449747 -18.7113 -4.09729 -2.217 -1.4316
6.29646 6.81415 1.44575 -1.55725 -0.771852
1.19239 -16.7478 -3.39322 -1.975 -1.1896
6.50357 7.20685 1.6421 -1.276 -0.490602
6.57285 -1.82523 1.70778 -0.376 0.409398
5.36753 8.38495 0.565064 -0.934 -0.148602
7.05382 6.02875 2.16377 -1.78525 -0.999852
7.63961 6.02875 2.71913 -1.618 -0.832602
6.29646 6.81415 1.44575 -1.46625 -0.680852
0.863961 -17.9259 -3.70459 -1.973 -1.1876
2.02082 -15.177 -2.60782 -1.46425 -0.678852
6.59798 -2.61063 1.7316 -0.04525 0.740148
-0.712157 10.7411 -5.19884 -1.485 -0.699602
6.88225 6.81415 2.00111 -1.39 -0.604602
4.62742 -9.67921 -0.136609 -0.1015 0.683898
5.94113 -4.96682 1.10886 -0.155 0.630398
5.81981 -5.75222 0.993845 -0.00825 0.777148
6.65864 -2.21793 1.78911 -0.15275 0.632648
6.61448 6.02875 1.74725 -1.92775 -1.14235
6.5287 6.42145 1.66592 -1.7415 -0.956102
4.33452 -9.67921 -0.41429 -0.44675 0.338648
5.07464 8.38495 0.287384 -1.029 -0.243602
6.18377 -3.39603 1.3389 -0.403 0.382398
7.13961 5.63605 2.2451 -1.926 -1.1406
3.70637 9.95574 -1.00982 -0.50275 0.282648
2.00967 10.3484 -2.61839 -0.77075 0.0146482
5.69848 -6.53762 0.878827 0.093 0.878398
1.19165 10.7411 -3.39392 -0.8675 -0.0821018
1.48528 -16.7478 -3.11554 -1.607 -0.821602
-0.792893 -21.0675 -5.27539 -2.949 -2.1636
2.44901 10.3484 -2.20187 -0.67375 0.111648
6.06245 -4.18142 1.22388 -0.21075 0.574648
5.19596 9.17034 0.402403 -0.49325 0.292148
-0.712157 10.7411 -5.19884 -1.485 -0.699602
4.75662 9.17034 -0.0141176 -0.59025 0.195148
7.35103 1.31636 2.44554 -0.504 0.281398
7.36144 3.27986 2.4554 -1.1365 -0.351102
6.9221 3.27986 2.03888 -1.734 -0.948602
6.86575 -1.82523 1.98546 -0.008 0.777398
5.71068 6.81415 0.890387 -1.77 -0.984602
4.4386 9.95574 -0.315619 -0.288 0.497398
7.27996 -1.03983 2.37816 0.25875 1.04415
5.97845 7.59955 1.14425 -1.18675 -0.401352
6.08757 -4.96682 1.2477 0.18825 0.973648
4.78175 8.38495 0.00970357 -1.01025 -0.224852
6.59798 -2.61063 1.7316 -0.1135 0.671898
2.97056 -12.8208 -1.70741 -1.123 -0.337602
6.56854 2.88716 1.70369 -2.04 -1.2546
1.19165 10.7411 -3.39392 -0.8675 -0.0821018
-0.565711 10.7411 -5.06 -1.4375 -0.652102
6.66474 4.45796 1.79489 -2.49475 -1.70935
3.79899 -11.25 -0.922008 -0.5895 0.195898
6.35534 -4.18142 1.50156 0.18 0.965398
6.61448 6.02875 1.74725 -1.814 -1.0286
6.29646 6.81415 1.44575 -1.55725 -0.771852
1.39949 -16.3551 -3.19687 -1.853 -1.0676
7.15433 2.88716 2.25905 -1.395 -0.609602
6.98276 3.67256 2.09639 -1.77325 -0.987852
6.99747 0.923664 2.11035 -0.901 -0.115602
6.29646 6.81415 1.44575 -1.489 -0.703602
6.06423 7.20685 1.22558 -1.4185 -0.633102
6.44291 6.81415 1.58459 -1.487 -0.701602
1.48528 -16.7478 -3.11554 -1.58425 -0.798852
2.59545 10.3484 -2.06303 -0.62625 0.159148
5.36753 8.38495 0.565064 -0.86575 -0.0803518
3.79899 -11.25 -0.922008 -0.635 0.150398
4.95584 -8.50111 0.174759 -0.12625 0.659148
6.55382 5.63605 1.68974 -2.18425 -1.39885
6.99316 5.63605 2.10626 -1.9735 -1.1881
3.85281 9.95574 -0.870979 -0.478 0.307398
5.49138 -6.93032 0.682477 0.062 0.847398
6.03911 7.99225 1.20175 -0.862 -0.0766018
0.510408 -18.3186 -4.03978 -2.25625 -1.47085
0.398755 10.3484 -4.14563 -1.3615 -0.576102
5.45332 7.99225 0.646395 -1.052 -0.266602
4.68808 -9.28651 -0.0791 -0.18625 0.599148
4.33452 -9.67921 -0.41429 -0.4695 0.315898
6.89697 4.06526 2.01506 -1.9965 -1.2111
5.53911 7.59955 0.727725 -1.352 -0.566602
6.18377 -3.39603 1.3389 -0.403 0.382398
4.2132 -10.4646 -0.529309 -0.3455 0.439898
4.31728 9.17034 -0.430638 -0.7555 0.0298982
5.67336 -5.75222 0.855005 -0.1695 0.615898
6.62311 -3.39603 1.75542 0.24 1.0254
3.79899 -11.25 -0.922008 -0.635 0.150398
1.3381 10.7411 -3.25508 -0.82 -0.0346018
6.69417 -1.03983 1.8228 -0.52275 0.262648
4.15254 -10.8573 -0.586818 -0.26075 0.524648
1.42388 10.3484 -3.17375 -1.029 -0.243602
6.17336 -5.35952 1.32904 0.3205 1.1059
5.36753 8.38495 0.565064 -0.843 -0.0576018
7.16905 0.138266 2.27301 -0.38625 0.399148
1.13173 -17.1405 -3.45073 -1.89025 -1.10485
-0.110913 -19.4967 -4.62883 -2.645 -1.8596
5.34493 -6.93032 0.543637 -0.09925 0.686148
2.43503 -14.3916 -2.21512 -1.22025 -0.434852
3.79215 9.56304 -0.928489 -0.6435 0.141898
4.81728 9.56304 0.0433918 -0.33375 0.451648
5.22109 8.38495 0.426224 -0.8905 -0.105102
3.32412 -12.4281 -1.37222 -0.817 -0.0316018
2.50967 10.7411 -2.14436 -0.44 0.345398
6.15002 6.81415 1.30691 -1.55925 -0.773852
6.63961 5.24335 1.77107 -2.3705 -1.5851
7.05813 1.31636 2.16786 -0.84925 -0.0638518
5.07716 -7.71572 0.289778 -0.2275 0.557898
6.99316 5.63605 2.10626 -2.04175 -1.25635
6.87184 4.85065 1.99124 -2.32725 -1.54185
3.9386 9.56304 -0.789649 -0.687 0.0983982
-0.833478 9.95574 -5.31386 -1.998 -1.2126
3.35281 9.56304 -1.34501 -0.8315 -0.0461018
1.13173 -17.1405 -3.45073 -1.89025 -1.10485
7.15433 2.88716 2.25905 -1.28125 -0.495852
7.41169 1.70906 2.50305 -0.54325 0.242148
6.15002 6.81415 1.30691 -1.582 -0.796602
3.26703 9.95574 -1.42634 -0.64525 0.140148
6.38225 6.42145 1.52708 -1.698 -0.912602
6.88656 2.10176 2.00519 -1.4095 -0.624102
6.15002 6.81415 1.30691 -1.582 -0.796602
1.72792 -15.177 -2.8855 -1.855 -1.0696
6.53732 -3.00333 1.67409 -0.07425 0.711148
6.59798 -2.61063 1.7316 -0.04525 0.740148
7.25483 -0.254433 2.35434 -0.14025 0.645148
5.04163 -8.89381 0.25609 0.097 0.882398
1.39949 -16.3551 -3.19687 -1.762 -0.976602
5.69848 -6.53762 0.878827 0.1385 0.923898
1.33883 -16.7478 -3.25438 -1.791 -1.0056
6.30509 -2.61063 1.45392 -0.4815 0.303898
5.1353 8.77765 0.344893 -0.70425 0.0811482
3.26703 9.95574 -1.42634 -0.668 0.117398
7.09367 2.49446 2.20154 -1.26475 -0.479352
2.09545 9.95574 -2.53706 -0.957 -0.171602
0.242641 -19.104 -4.29364 -2.339 -1.5536
7.16905 0.138266 2.27301 -0.318 0.467398
7.26524 1.70906 2.36421 -0.7955 -0.0101018
4.2132 -10.4646 -0.529309 -0.391 0.394398
4.4386 9.95574 -0.315619 -0.288 0.497398
4.54951 8.77765 -0.210467 -0.89425 -0.108852
7.15433 2.88716 2.25905 -1.2585 -0.473102
5.832 7.59955 1.00541 -1.166 -0.380602
2.9099 -13.2135 -1.76492 -1.0155 -0.230102
3.47056 -12.4281 -1.23338 -0.56475 0.220648
2.09545 9.95574 -2.53706 -1.02525 -0.239852
5.22109 8.38495 0.426224 -0.936 -0.150602
7.24012 2.49446 2.34038 -1.058 -0.272602
3.26703 9.95574 -1.42634 -0.668 0.117398
6.63961 5.24335 1.77107 -2.39325 -1.60785
-0.171573 -19.8894 -4.68634 -2.583 -1.7976
6.63961 5.24335 1.77107 -2.39325 -1.60785
0.752309 10.7411 -3.81044 -1.01 -0.224602
2.7419 10.3484 -1.92419 -0.57875 0.206648
6.88656 2.10176 2.00519 -1.38675 -0.601352
6.35534 -4.18142 1.50156 0.1345 0.919898
0.924621 -17.5332 -3.64708 -2.01225 -1.22685
