Crofton2   Crofton4   Matlab   MatlabPi
-0.384294 -0.0533175 -1.35875 0.0248011
-0.384294 -0.297897 -1.28212 0.10143
-1.07607 -0.399205 -1.65382 -0.270266
0.307481 0.0479907 -1.10728 0.276268
-0.384294 -0.0533175 -1.2786 0.104954
0.307481 0.29257 -0.983531 0.40002
0.307481 0.29257 -1.22399 0.159563
0.999257 0.393879 -0.932445 0.451106
0.307481 0.0479907 -1.14736 0.236192
0.307481 0.0479907 -1.30766 0.0758873
-0.384294 -0.0533175 -1.39883 -0.0152752
-0.384294 -0.297897 -1.44243 -0.0588746
0.307481 0.0479907 -1.30766 0.0758873
0.307481 -0.196589 -1.15088 0.232669
0.999257 0.638458 -1.08923 0.294325
0.999257 0.149299 -0.935968 0.447583
0.307481 0.0479907 -1.14736 0.236192
-1.07607 -0.154626 -1.44991 -0.0663613
-0.384294 -0.0533175 -1.51906 -0.135504
-1.07607 -0.888365 -1.66086 -0.277312
0.307481 0.0479907 -1.22751 0.15604
0.307481 0.0479907 -1.38782 -0.0042652
0.307481 0.29257 -1.22399 0.159563
0.307481 0.0479907 -1.14736 0.236192
-0.384294 -0.0533175 -1.19845 0.185106
0.307481 0.0479907 -1.22751 0.15604
0.307481 0.0479907 -1.22751 0.15604
0.307481 0.0479907 -1.38782 -0.0042652
0.307481 0.29257 -1.22399 0.159563
0.307481 -0.196589 -1.23103 0.152517
0.307481 0.53715 -0.899856 0.483696
0.307481 0.0479907 -0.987054 0.396497
0.999257 0.393879 -0.932445 0.451106
-0.384294 -0.297897 -1.36227 0.0212779
-1.07607 -0.399205 -1.49351 -0.109961
-0.384294 -0.297897 -1.52258 -0.139027
-0.384294 -0.297897 -1.36227 0.0212779
-0.384294 -0.297897 -1.36227 0.0212779
0.307481 0.29257 -1.02361 0.359944
0.307481 0.29257 -1.14384 0.239715
0.307481 -0.196589 -1.23103 0.152517
-0.384294 -0.0533175 -1.35875 0.0248011
0.307481 -0.196589 -1.15088 0.232669
-0.384294 -0.0533175 -1.19845 0.185106
0.307481 0.0479907 -1.30766 0.0758873
0.307481 0.0479907 -1.14736 0.236192
0.307481 0.0479907 -1.06721 0.316345
-0.384294 0.191262 -1.07469 0.308858
-0.384294 -0.0533175 -1.35875 0.0248011
0.307481 0.0479907 -1.10728 0.276268
-0.384294 -0.297897 -1.36227 0.0212779
-0.384294 -0.0533175 -1.47898 -0.0954276
-0.384294 -0.0533175 -1.35875 0.0248011
-0.384294 -0.0533175 -1.15837 0.225182
-0.384294 -0.0533175 -1.4389 -0.0553514
-0.384294 -0.297897 -1.16189 0.221659
0.307481 0.0479907 -1.06721 0.316345
0.999257 0.638458 -0.808693 0.574858
-0.384294 -0.0533175 -1.35875 0.0248011
0.307481 0.0479907 -1.14736 0.236192
-1.07607 -0.154626 -1.61022 -0.226666
-0.384294 -0.297897 -1.44243 -0.0588746
-0.384294 -0.297897 -1.52258 -0.139027
-0.384294 -0.0533175 -1.39883 -0.0152752
0.307481 -0.196589 -1.31119 0.0723641
0.307481 0.29257 -1.22399 0.159563
-0.384294 -0.297897 -1.28212 0.10143
-0.384294 -0.297897 -1.36227 0.0212779
-0.384294 0.191262 -1.27507 0.108477
-1.07607 -0.888365 -1.66086 -0.277312
-0.384294 -0.297897 -1.36227 0.0212779
-1.07607 -0.399205 -1.61374 -0.230189
0.307481 0.0479907 -1.14736 0.236192
-0.384294 -0.0533175 -1.39883 -0.0152752
0.307481 0.29257 -1.14384 0.239715
0.307481 0.29257 -1.30414 0.0794104
0.307481 -0.196589 -1.39134 -0.00778838
0.307481 0.29257 -1.02361 0.359944
0.307481 0.0479907 -1.22751 0.15604
0.999257 0.393879 -0.932445 0.451106
-0.384294 -0.297897 -1.44243 -0.0588746
-1.07607 -0.643785 -1.81765 -0.434094
-0.384294 -0.297897 -1.52258 -0.139027
0.307481 -0.196589 -1.55164 -0.168093
-0.384294 -0.297897 -1.36227 0.0212779
-0.384294 -0.297897 -1.36227 0.0212779
0.307481 0.0479907 -1.30766 0.0758873
0.999257 0.149299 -0.935968 0.447583
0.999257 0.393879 -0.932445 0.451106
0.307481 0.29257 -0.983531 0.40002
0.999257 0.393879 -0.932445 0.451106
-0.384294 -0.542477 -1.5261 -0.14255
0.307481 0.29257 -0.943455 0.440096
0.307481 0.0479907 -1.06721 0.316345
-0.384294 -0.0533175 -1.35875 0.0248011
0.307481 0.0479907 -1.30766 0.0758873
0.999257 0.393879 -1.0126 0.370954
-0.384294 -0.0533175 -1.2786 0.104954
-0.384294 -0.0533175 -1.51906 -0.135504
-0.384294 -0.297897 -1.60273 -0.219179
0.307481 0.0479907 -1.10728 0.276268
0.307481 0.29257 -1.06368 0.319868
-0.384294 -0.0533175 -1.23852 0.14503
-0.384294 -0.0533175 -1.35875 0.0248011
0.999257 0.393879 -0.852293 0.531259
0.999257 0.149299 -1.09627 0.287278
-0.384294 -0.297897 -1.52258 -0.139027
-1.07607 -0.154626 -1.53007 -0.146514
0.307481 0.0479907 -1.22751 0.15604
-0.384294 -0.297897 -1.68288 -0.299332
0.307481 0.0479907 -1.02713 0.356421
0.307481 0.29257 -1.06368 0.319868
0.307481 0.0479907 -1.22751 0.15604
0.307481 -0.196589 -1.31119 0.0723641
0.307481 0.29257 -1.22399 0.159563
0.307481 0.29257 -1.10376 0.279792
0.307481 0.0479907 -1.18744 0.196116
0.307481 0.0479907 -1.06721 0.316345
-0.384294 -0.297897 -1.28212 0.10143
0.307481 0.29257 -1.34422 0.0393342
-0.384294 -0.297897 -1.4825 -0.0989508
0.307481 0.0479907 -1.10728 0.276268
-0.384294 -0.297897 -1.36227 0.0212779
1.69103 0.495187 -0.721054 0.662498
0.999257 0.638458 -1.00907 0.374477
0.307481 0.29257 -0.983531 0.40002
0.307481 0.0479907 -1.14736 0.236192
0.307481 0.0479907 -1.30766 0.0758873
-0.384294 -0.0533175 -1.31867 0.0648773
0.307481 0.0479907 -1.22751 0.15604
-0.384294 -0.542477 -1.5261 -0.14255
-0.384294 -0.297897 -1.4825 -0.0989508
-0.384294 0.191262 -1.27507 0.108477
0.307481 0.0479907 -1.30766 0.0758873
-0.384294 -0.297897 -1.28212 0.10143
-1.07607 -0.643785 -1.49704 -0.113484
0.999257 0.393879 -0.932445 0.451106
0.307481 0.29257 -1.14384 0.239715
0.307481 0.53715 -0.899856 0.483696
-0.384294 -0.297897 -1.4825 -0.0989508
-0.384294 -0.297897 -1.60273 -0.219179
0.307481 0.0479907 -1.06721 0.316345
0.307481 0.29257 -0.983531 0.40002
0.307481 -0.196589 -1.39134 -0.00778838
-0.384294 0.191262 -1.27507 0.108477
-1.07607 -0.643785 -1.61726 -0.233713
-0.384294 -0.542477 -1.60625 -0.222703
0.307481 0.0479907 -1.22751 0.15604
0.999257 0.149299 -1.01612 0.367431
-0.384294 0.191262 -1.31515 0.0684005
