CenterX   CenterY
60.9013 60.756
60.3745 60.7216
60.7952 60.1568
60.1133 60.6017
60.2673 60.8386
60.2891 60.0374
60.1016 60.0337
60.5309 60.2307
60.4065 60.0956
60.0912 60.9134
60.2571 60.7625
60.5565 60.4739
60.3838 60.5096
60.4017 60.4657
60.2311 60.0482
60.935 60.4741
60.4638 60.8998
60.1513 60.7386
60.0279 60.0218
60.8376 60.6586
60.2363 60.3849
60.7684 60.5154
60.7174 60.3281
60.8684 60.7551
60.844 60.2678
60.1826 60.2838
60.6179 60.1405
60.3446 60.7249
60.777 60.1655
60.3621 60.8319
60.3272 60.73
60.5697 60.1029
60.7163 60.8946
60.0273 60.7036
60.5142 60.3452
60.9992 60.2814
60.2937 60.5559
60.4879 60.8679
60.3844 60.6527
60.2688 60.1822
60.4613 60.1415
60.8262 60.8762
60.7868 60.3885
60.7899 60.2168
60.4883 60.8049
60.6497 60.7063
60.3454 60.9234
60.1215 60.9277
60.3625 60.5523
60.6534 60.3543
60.8174 60.3759
60.6792 60.702
60.2995 60.5314
60.1944 60.3349
60.3599 60.4454
60.5047 60.6676
60.4876 60.3911
60.1384 60.57
60.4463 60.2461
60.7847 60.5195
60.8092 60.2774
60.5665 60.3773
60.9209 60.6255
60.5111 60.9628
60.4744 60.957
60.5071 60.1159
60.495 60.3807
60.4816 60.7973
60.9176 60.4315
60.0976 60.9481
60.1591 60.9463
60.9173 60.3927
60.4694 60.2408
60.6287 60.5284
60.0964 60.249
60.1286 60.8067
60.3193 60.1511
60.0601 60.6335
60.282 60.574
60.4854 60.6745
60.648 60.8843
60.4119 60.7677
60.1101 60.0131
60.405 60.0168
60.5258 60.4261
60.0109 60.8717
60.0211 60.7663
60.3197 60.9148
60.221 60.7043
60.4188 60.1847
60.3435 60.3047
60.1593 60.4999
60.4626 60.0982
60.38 60.3633
60.8378 60.9265
60.3864 60.7819
60.5452 60.4867
60.8896 60.7621
60.4817 60.51
60.0347 60.4321
60.8994 60.5684
60.1116 60.1487
60.9097 60.7497
60.0387 60.1521
