CenterX   CenterY   Theta
50.3311 50.7374 102.139
50.0161 50.4255 5.28812
50.7842 50.9808 124.19
50.7797 50.598 51.2297
50.7463 50.6939 79.6542
50.4191 50.1508 97.2526
50.1964 50.7492 128.819
50.7045 50.7363 118.204
50.8911 50.4911 61.5199
50.9627 50.1249 37.5502
50.155 50.8076 12.126
50.4906 50.5984 65.7036
50.6886 50.8569 162.115
50.9515 50.9 1.17665
50.0419 50.8709 79.9921
50.4425 50.3306 169.141
50.7128 50.9389 95.5721
50.0218 50.8204 51.7493
50.8674 50.8602 99.1138
50.4572 50.85 62.6001
50.2385 50.0509 24.2925
50.5781 50.9044 138.81
50.7041 50.4224 172.414
50.7556 50.366 99.1105
50.2214 50.2559 132.346
50.3155 50.4224 134.72
50.3531 50.4465 6.10831
50.728 50.6214 22.643
50.2155 50.3084 5.57134
50.2015 50.0674 0.0274049
50.6364 50.8028 70.9809
50.2627 50.2838 128.456
50.1941 50.5801 44.545
50.9359 50.5646 158.33
50.9927 50.9463 86.1077
50.125 50.0642 69.5997
50.5582 50.9224 168.176
50.8248 50.1836 70.7595
50.9128 50.5342 81.2631
50.2856 50.6228 32.719
50.9271 50.714 149.826
50.4965 50.9632 151.797
50.1139 50.9362 123.906
50.3071 50.8607 170.723
50.6818 50.5632 26.9953
50.9862 50.815 164.2
50.684 50.303 131.724
50.2762 50.6152 53.0734
50.5183 50.7389 133.924
50.4035 50.1609 4.03217
50.1059 50.932 110.799
50.6333 50.0067 38.6758
50.081 50.1615 16.5246
50.1341 50.0718 48.3925
50.0401 50.7441 170.07
50.2214 50.6006 78.4968
50.1736 50.1949 34.0418
50.9299 50.4905 143.338
50.1848 50.2278 152.966
50.4943 50.9857 31.0008
50.9501 50.3823 80.574
50.3599 50.1445 146.995
50.1817 50.833 73.1332
50.4215 50.5333 77.4571
50.0024 50.6647 46.2218
50.5919 50.3578 98.6497
50.7807 50.5589 54.3046
50.4606 50.9209 159.513
50.8795 50.9703 135.415
50.0155 50.9923 82.0374
50.5205 50.0889 141.319
50.7177 50.5454 133.944
50.6873 50.6113 14.8215
50.377 50.405 123.728
50.405 50.5545 111.288
50.4175 50.8449 99.2718
50.8131 50.3154 154.685
50.2174 50.1154 15.4569
50.1546 50.8022 173.605
50.1968 50.778 4.76691
50.1139 50.1866 166.573
50.5497 50.0312 157.78
50.9502 50.4828 77.9222
50.6198 50.2303 126.099
50.981 50.1635 113.541
50.6418 50.6365 177.699
50.3869 50.2617 82.4056
50.1144 50.3581 141.363
50.3051 50.7307 116.114
50.8394 50.5206 68.6536
50.6192 50.6048 96.3998
50.7301 50.3763 21.9135
50.3669 50.8108 161.587
50.3467 50.0159 5.181
50.8496 50.9396 137.287
50.9658 50.4927 99.8898
50.6522 50.9731 162.671
50.025 50.5743 131.288
50.1517 50.0495 96.289
50.0399 50.5 37.8602
50.476 50.654 8.8151
50.8583 50.0395 115.3
50.5064 50.5771 158.23
50.1844 50.2015 23.7529
50.8222 50.7353 160.828
50.1597 50.4223 113.203
50.5968 50.2957 140.764
50.3818 50.9848 36.923
50.7798 50.845 83.0313
50.6791 50.7972 42.4035
50.7522 50.9201 179.035
50.883 50.5034 1.05844
50.0151 50.0959 141.653
50.5536 50.7195 41.1261
50.0127 50.1202 113.936
50.0152 50.9403 179.922
50.3782 50.8952 106.209
50.8351 50.4823 10.6994
50.4603 50.3187 163.829
50.8979 50.6512 44.2896
50.234 50.5484 70.7082
50.7548 50.3926 47.7757
50.3469 50.9343 67.2936
50.4825 50.2382 95.6248
50.2101 50.2952 95.7575
50.5076 50.4991 164.07
50.7303 50.8997 144.886
50.4479 50.235 12.0823
50.2842 50.4317 81.9224
50.9794 50.9269 107.563
50.5837 50.1131 71.8559
50.9429 50.2143 30.6814
50.3469 50.6202 78.4324
50.4158 50.2852 162.916
50.6828 50.1043 15.0261
50.0134 50.9188 66.1631
50.422 50.5757 33.4841
50.0222 50.658 82.5569
50.2 50.1965 124.843
50.7474 50.5433 94.6541
50.4067 50.557 131.514
50.2935 50.7846 13.6474
50.4717 50.3992 164
50.428 50.9451 72.8153
50.2425 50.8726 88.9179
50.4236 50.5524 44.7424
50.2572 50.2097 104.512
50.8352 50.8527 115.901
50.985 50.979 122.873
50.7855 50.3488 140.493
50.0464 50.3528 64.2596
50.1297 50.9822 74.8357
50.4065 50.7827 77.9767
50.5763 50.6505 5.94194
50.404 50.9589 107.194
50.9331 50.937 136.033
50.5389 50.8243 1.93443
50.7465 50.103 8.71394
50.1857 50.4728 1.73441
50.8582 50.4735 26.9883
50.2455 50.0568 36.9441
50.4655 50.461 63.1901
50.441 50.3294 102.978
50.9924 50.7179 64.9792
50.5727 50.3803 66.975
50.4243 50.7431 64.8145
50.6265 50.8529 21.6045
50.1743 50.9506 175.95
50.252 50.2846 150.892
50.8021 50.37 65.306
50.2717 50.2595 178.991
50.0463 50.6763 90.3032
50.1133 50.4613 129.353
50.9606 50.5289 168.375
50.9896 50.4657 65.4834
50.0903 50.8442 74.4671
50.7574 50.554 85.7232
50.2666 50.1353 13.9861
50.8466 50.337 121.319
50.1044 50.5874 20.6645
50.2493 50.4142 128.784
50.8697 50.8154 41.8409
50.3463 50.9606 54.2363
50.1542 50.7444 50.9211
50.3288 50.0013 101.504
50.4441 50.1614 126.623
50.544 50.2546 70.76
50.2446 50.5827 9.49383
50.6023 50.04 155.234
50.3431 50.1122 106.817
50.6301 50.7814 132.573
50.7916 50.6487 164.143
50.6061 50.7364 128.385
50.69 50.9199 174.518
50.3289 50.0948 145.176
50.6827 50.1732 86.5818
50.9393 50.1381 118.738
50.194 50.6265 111.732
50.441 50.6589 80.4874
50.8516 50.7073 77.1383
50.6202 50.6412 159.795
50.9936 50.7284 91.0481
50.0489 50.1082 154.493
50.9159 50.6717 83.2204
50.9614 50.0799 69.4644
50.0164 50.5919 102.283
50.0123 50.5898 64.839
50.0254 50.9786 23.7949
50.5506 50.8634 122.857
50.035 50.4402 79.1689
50.7661 50.9998 46.3439
50.8858 50.0497 59.698
50.7296 50.4987 98.3987
50.2246 50.123 87.3382
50.874 50.6414 80.6827
50.1371 50.1412 176.867
50.9719 50.4289 136.087
50.5586 50.7567 175.666
50.0419 50.351 85.7966
50.1749 50.3559 159.925
50.0692 50.0927 37.0448
50.6152 50.2734 134.601
50.3057 50.7654 45.5194
50.671 50.1319 169.641
50.4446 50.358 30.5642
50.4991 50.4522 11.9189
50.8879 50.9078 140.878
50.4719 50.7961 157.617
50.6723 50.0704 22.4049
50.4254 50.7827 106.046
50.4721 50.0338 32.4132
50.9318 50.5908 91.1404
50.2184 50.9521 65.2067
50.4585 50.8308 142.32
50.441 50.624 171.991
50.6635 50.2665 130.168
50.5611 50.973 54.1571
50.497 50.284 13.3574
50.1114 50.0753 179.315
50.5996 50.789 155.028
50.8271 50.9369 6.45362
50.1397 50.7254 156.977
50.3741 50.2162 103.682
50.0256 50.0435 168.021
50.4017 50.7849 43.6731
50.6085 50.8932 113.296
50.9241 50.9958 27.0162
50.0248 50.9113 26.6395
50.0899 50.7157 31.5026
50.1597 50.4789 170.772
50.7411 50.6723 12.6621
50.3061 50.9368 154.249
50.8908 50.5886 29.2655
50.176 50.7476 170.151
50.658 50.5438 107.578
50.2346 50.8198 141.929
50.5891 50.4363 98.9531
50.353 50.9958 65.6934
50.9662 50.0247 140.011
50.4402 50.6305 56.5244
50.9218 50.2233 67.4075
50.3081 50.0378 108.931
50.8359 50.5883 65.4219
50.1399 50.1165 176.619
50.5417 50.0865 46.0973
50.2098 50.3146 162.675
50.5207 50.1622 25.8502
50.0641 50.8546 175.402
50.929 50.4095 162.29
50.4845 50.4697 30.2091
