CenterX   CenterY   Theta
50.2791 50.5087 52.9815
50.4112 50.3419 152.724
50.807 50.5152 11.6842
50.4143 50.4316 73.001
50.0815 50.8183 123.815
50.0117 50.9961 97.3929
50.1923 50.9472 169.903
50.5489 50.8814 1.28094
50.6496 50.7831 160.316
50.7341 50.2551 50.2238
50.8745 50.3095 19.9891
50.4672 50.8612 145.929
50.883 50.9331 89.8238
50.7854 50.1739 162.179
50.3849 50.9792 46.4715
50.5088 50.0438 162.259
50.4016 50.8828 164.036
50.8409 50.7889 115.941
50.6826 50.9645 125.907
50.8572 50.7476 45.7597
50.4717 50.7605 99.4503
50.3655 50.1372 106.019
50.3002 50.146 21.5437
50.671 50.0923 128.433
50.4009 50.4587 48.17
50.7047 50.6076 129.776
50.0897 50.0083 166.207
50.6432 50.1891 115.934
50.557 50.6204 56.477
50.5751 50.5394 173.813
50.9274 50.8627 167.648
50.0695 50.2213 81.3754
50.7206 50.0047 77.4188
50.2485 50.3296 140.132
50.2081 50.3883 61.7474
50.2644 50.9007 46.2782
50.2794 50.7721 18.7621
50.402 50.6936 20.0672
50.1403 50.5727 98.5822
50.4967 50.913 158.085
50.4883 50.6858 4.92933
50.8397 50.9282 126.438
50.5993 50.9635 70.1601
50.5724 50.6193 18.3651
50.7171 50.6653 27.5215
50.605 50.9637 147.948
50.7954 50.8028 118.447
50.1899 50.7345 124.473
50.8797 50.1171 137.43
50.6077 50.704 12.2476
50.5385 50.1274 112.147
50.8815 50.4494 98.7995
50.8128 50.542 119.909
50.9627 50.7584 11.6221
50.3333 50.0958 142.068
50.1652 50.9627 109.557
50.3257 50.7064 85.8677
50.2323 50.7711 137.579
50.501 50.214 108.438
50.6257 50.6914 31.6162
50.0734 50.2355 66.3647
50.7261 50.6978 9.10794
50.964 50.2236 5.13006
50.2511 50.3405 40.94
50.6864 50.3004 29.2675
50.9849 50.183 134.299
50.7583 50.9731 83.9055
50.1849 50.7498 32.111
50.1052 50.1437 14.7468
50.4169 50.1262 16.9731
50.592 50.697 26.7313
50.7936 50.4774 91.1679
50.3092 50.8394 115.604
50.847 50.5303 152.987
50.1716 50.6274 117.42
50.0666 50.2722 21.8695
50.6465 50.4285 140.042
50.5373 50.9901 8.90546
50.744 50.3582 14.7259
