Reference   Crofton2   Crofton4   Matlab   MatlabPi
193.769 190.066 193.332 190.694 193.836
193.769 186.925 192.317 190.09 193.232
193.769 196.35 193.141 190.505 193.647
193.769 199.491 193.601 191.01 194.152
193.769 190.066 193.332 190.694 193.836
193.769 188.496 193.102 190.578 193.72
193.769 197.92 192.816 190.522 193.664
193.769 196.35 194.252 190.976 194.118
193.769 194.779 193.467 190.67 193.812
193.769 197.92 193.927 191.084 194.226
193.769 191.637 194.117 191.364 194.506
193.769 194.779 194.022 191.042 194.184
193.769 191.637 193.562 190.81 193.952
193.769 188.496 194.213 190.958 194.1
193.769 188.496 193.657 190.859 194.001
193.769 190.066 193.887 191.248 194.39
193.769 186.925 192.872 190.371 193.513
193.769 197.92 193.927 190.902 194.044
193.769 188.496 193.102 190.487 193.629
193.769 196.35 194.252 191.158 194.3
193.769 194.779 194.022 190.678 193.82
193.769 199.491 193.601 191.192 194.334
193.769 190.066 193.887 190.884 194.026
193.769 188.496 193.657 190.768 193.91
193.769 197.92 192.816 190.522 193.664
193.769 199.491 194.157 191.2 194.342
193.769 188.496 193.102 190.578 193.72
193.769 193.208 193.237 190.645 193.787
193.769 188.496 193.102 190.76 193.902
193.769 188.496 193.657 190.859 194.001
193.769 193.208 193.792 191.29 194.432
193.769 197.92 193.927 190.902 194.044
193.769 197.92 192.816 190.704 193.846
193.769 193.208 193.237 190.554 193.696
193.769 188.496 193.102 190.76 193.902
193.769 194.779 194.022 191.224 194.366
193.769 190.066 193.887 191.066 194.208
193.769 193.208 194.347 191.116 194.258
193.769 190.066 194.443 191.347 194.489
193.769 197.92 193.927 190.902 194.044
193.769 196.35 193.697 191.15 194.292
193.769 193.208 193.237 190.554 193.696
193.769 196.35 192.586 190.224 193.366
193.769 188.496 193.657 190.95 194.092
193.769 196.35 194.252 191.34 194.482
193.769 190.066 193.332 190.694 193.836
193.769 197.92 193.371 190.53 193.672
193.769 197.92 193.927 190.811 193.953
193.769 197.92 193.371 190.712 193.854
193.769 188.496 193.657 190.768 193.91
193.769 193.208 193.792 190.835 193.977
193.769 197.92 193.371 190.53 193.672
193.769 191.637 193.562 190.628 193.77
193.769 197.92 193.371 190.894 194.036
193.769 190.066 193.887 190.884 194.026
193.769 188.496 192.547 190.206 193.348
193.769 197.92 193.927 191.084 194.226
193.769 199.491 194.157 191.382 194.524
193.769 194.779 193.467 190.67 193.812
193.769 196.35 193.697 190.968 194.11
193.769 188.496 193.102 190.578 193.72
193.769 196.35 193.141 190.596 193.738
193.769 191.637 193.562 190.992 194.134
193.769 188.496 193.102 190.214 193.356
193.769 199.491 193.601 191.01 194.152
193.769 191.637 194.673 192.1 195.242
193.769 197.92 193.927 190.902 194.044
193.769 193.208 194.347 190.934 194.076
193.769 197.92 193.371 190.348 193.49
193.769 188.496 193.102 190.396 193.538
193.769 199.491 194.157 191.2 194.342
193.769 197.92 193.371 190.712 193.854
193.769 191.637 194.117 191 194.142
193.769 197.92 193.927 191.084 194.226
193.769 194.779 194.577 191.414 194.556
193.769 190.066 193.887 190.884 194.026
193.769 194.779 193.467 190.852 193.994
193.769 191.637 194.117 191 194.142
193.769 188.496 193.102 190.214 193.356
193.769 188.496 193.102 190.669 193.811
193.769 191.637 194.117 191 194.142
193.769 193.208 193.237 190.372 193.514
193.769 190.066 193.887 191.248 194.39
193.769 197.92 193.927 191.084 194.226
193.769 194.779 194.022 191.042 194.184
193.769 188.496 193.102 190.578 193.72
193.769 188.496 193.102 190.578 193.72
193.769 197.92 193.927 190.72 193.862
193.769 194.779 193.467 190.852 193.994
193.769 193.208 193.792 190.926 194.068
193.769 188.496 193.102 190.578 193.72
193.769 194.779 194.577 191.323 194.465
193.769 191.637 193.007 190.62 193.762
193.769 190.066 193.887 191.248 194.39
193.769 197.92 193.371 190.894 194.036
193.769 190.066 193.887 190.884 194.026
193.769 191.637 193.562 190.81 193.952
193.769 199.491 194.157 191.655 194.797
193.769 188.496 193.102 190.76 193.902
193.769 196.35 192.586 190.224 193.366
193.769 191.637 194.673 191.554 194.696
193.769 196.35 194.252 191.158 194.3
193.769 194.779 195.133 191.24 194.382
193.769 194.779 194.577 191.05 194.192
193.769 193.208 193.792 190.744 193.886
193.769 196.35 195.363 192.084 195.226
193.769 197.92 193.371 190.803 193.945
193.769 196.35 192.586 190.406 193.548
193.769 188.496 193.657 190.768 193.91
193.769 197.92 193.371 190.894 194.036
193.769 188.496 193.102 190.942 194.084
193.769 188.496 193.102 190.76 193.902
193.769 197.92 193.371 190.53 193.672
193.769 199.491 194.157 191.2 194.342
193.769 194.779 194.022 191.042 194.184
193.769 188.496 193.102 190.942 194.084
193.769 190.066 192.777 190.322 193.464
193.769 190.066 193.887 190.975 194.117
193.769 191.637 194.117 190.818 193.96
