BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
3.80253 2.14243 -0.205158 -1.67156 -0.0502515
4.28193 1.33178 0.249343 -1.44139 0.17992
4.08336 -1.91084 0.0610824 -1.48887 0.13244
4.3338 -0.289528 0.298518 -1.27521 0.346097
3.67731 1.33178 -0.323876 -1.59054 0.0307729
4.26045 -2.72149 0.228974 -1.26283 0.358483
3.35351 -2.72149 -0.630854 -1.74484 -0.123535
3.65582 -2.72149 -0.344245 -1.55286 0.0684466
3.60395 -1.10018 -0.393419 -1.81297 -0.191657
4.53237 2.95309 0.486778 -1.22773 0.393576
4.03149 -0.289528 0.011908 -1.46719 0.154116
4.40715 2.14243 0.368061 -1.38152 0.239785
3.65582 -2.72149 -0.344245 -1.55286 0.0684466
4.20858 -1.10018 0.1798 -1.429 0.192305
3.92775 2.95309 -0.0864409 -1.42384 0.197466
4.3338 -0.289528 0.298518 -1.36914 0.252171
4.3338 -0.289528 0.298518 -1.18129 0.440023
4.15671 0.521126 0.130626 -1.40733 0.213981
3.80253 2.14243 -0.205158 -1.57763 0.0436748
4.23006 2.95309 0.200169 -1.32579 0.295521
4.08336 -1.91084 0.0610824 -1.48887 0.13244
3.78104 -1.91084 -0.225527 -1.58692 0.0343854
4.03149 -0.289528 0.011908 -1.56112 0.0601893
3.80253 2.14243 -0.205158 -1.57763 0.0436748
4.23006 2.95309 0.200169 -1.41971 0.201595
3.80253 2.14243 -0.205158 -1.48371 0.137601
4.20858 -1.10018 0.1798 -1.429 0.192305
3.8544 0.521126 -0.155984 -1.50538 0.115926
3.80253 2.14243 -0.205158 -1.48371 0.137601
3.65582 -2.72149 -0.344245 -1.74071 -0.119406
4.20858 -1.10018 0.1798 -1.33508 0.286232
3.65582 -2.72149 -0.344245 -1.74071 -0.119406
4.20858 -1.10018 0.1798 -1.33508 0.286232
4.53237 2.95309 0.486778 -1.03988 0.581429
4.28193 1.33178 0.249343 -1.44139 0.17992
3.50022 2.14243 -0.491768 -1.67569 -0.0543801
4.63611 -0.289528 0.585127 -1.17716 0.444152
3.60395 -1.10018 -0.393419 -1.71904 -0.0977307
4.08336 -1.91084 0.0610824 -1.39494 0.226367
3.72918 -0.289528 -0.274702 -1.65917 -0.0378656
3.95813 -2.72149 -0.0576352 -1.36088 0.260428
3.80253 2.14243 -0.205158 -1.48371 0.137601
4.3338 -0.289528 0.298518 -1.4161 0.205207
4.03149 -0.289528 0.011908 -1.46719 0.154116
3.55209 0.521126 -0.442594 -1.69736 -0.0760554
4.10484 2.14243 0.0814511 -1.38565 0.235656
3.97962 1.33178 -0.0372665 -1.44552 0.175791
4.10484 2.14243 0.0814511 -1.38565 0.235656
3.80253 2.14243 -0.205158 -1.57763 0.0436748
3.78104 -1.91084 -0.225527 -1.58692 0.0343854
3.72918 -0.289528 -0.274702 -1.65917 -0.0378656
4.38567 -1.91084 0.347692 -1.29689 0.324422
3.97962 1.33178 -0.0372665 -1.63337 -0.0120617
4.08336 -1.91084 0.0610824 -1.44191 0.179403
4.23006 2.95309 0.200169 -1.32579 0.295521
4.3338 -0.289528 0.298518 -1.46306 0.158244
3.95813 -2.72149 -0.0576352 -1.36088 0.260428
3.80253 2.14243 -0.205158 -1.53067 0.090638
4.3338 -0.289528 0.298518 -1.46306 0.158244
4.40715 2.14243 0.368061 -1.14671 0.4746
4.15671 0.521126 0.130626 -1.50125 0.120054
4.38567 -1.91084 0.347692 -1.29689 0.324422
3.95813 -2.72149 -0.0576352 -1.50177 0.119538
3.80253 2.14243 -0.205158 -1.43674 0.184564
3.24977 0.521126 -0.729203 -1.88935 -0.268037
4.23006 2.95309 0.200169 -1.41971 0.201595
3.95813 -2.72149 -0.0576352 -1.5957 0.0256121
3.67731 1.33178 -0.323876 -1.6375 -0.0161903
4.20858 -1.10018 0.1798 -1.24115 0.380158
4.63611 -0.289528 0.585127 -1.17716 0.444152
4.58424 1.33178 0.535953 -1.34333 0.277974
3.65582 -2.72149 -0.344245 -1.55286 0.0684466
3.8544 0.521126 -0.155984 -1.50538 0.115926
3.42686 -0.289528 -0.561311 -1.94508 -0.323773
4.58424 1.33178 0.535953 -1.20244 0.418864
4.03149 -0.289528 0.011908 -1.60808 0.0132262
3.80253 2.14243 -0.205158 -1.57763 0.0436748
4.08336 -1.91084 0.0610824 -1.39494 0.226367
3.90627 -1.10018 -0.10681 -1.43313 0.188177
4.08336 -1.91084 0.0610824 -1.39494 0.226367
4.40715 2.14243 0.368061 -1.38152 0.239785
3.8544 0.521126 -0.155984 -1.59931 0.0219995
4.38567 -1.91084 0.347692 -1.156 0.465311
4.03149 -0.289528 0.011908 -1.37327 0.248042
4.3338 -0.289528 0.298518 -1.46306 0.158244
4.38567 -1.91084 0.347692 -1.20296 0.418348
4.40715 2.14243 0.368061 -1.47545 0.145858
4.63611 -0.289528 0.585127 -1.22412 0.397189
3.78104 -1.91084 -0.225527 -1.30514 0.316164
4.3338 -0.289528 0.298518 -1.46306 0.158244
3.95813 -2.72149 -0.0576352 -1.45481 0.166502
4.10484 2.14243 0.0814511 -1.57351 0.0478034
4.40715 2.14243 0.368061 -1.2876 0.333711
3.97962 1.33178 -0.0372665 -1.53944 0.0818646
4.10484 2.14243 0.0814511 -1.47958 0.14173
3.375 1.33178 -0.610486 -1.73555 -0.114245
3.97962 1.33178 -0.0372665 -1.44552 0.175791
3.80253 2.14243 -0.205158 -1.67156 -0.0502515
3.60395 -1.10018 -0.393419 -1.71904 -0.0977307
4.58424 1.33178 0.535953 -1.15548 0.465827
3.80253 2.14243 -0.205158 -1.57763 0.0436748
4.3338 -0.289528 0.298518 -1.36914 0.252171
4.58424 1.33178 0.535953 -1.34333 0.277974
4.40715 2.14243 0.368061 -1.38152 0.239785
3.80253 2.14243 -0.205158 -1.57763 0.0436748
3.375 1.33178 -0.610486 -1.82948 -0.208171
4.15671 0.521126 0.130626 -1.59518 0.0261281
4.23006 2.95309 0.200169 -1.23186 0.389447
3.95813 -2.72149 -0.0576352 -1.5957 0.0256121
3.95813 -2.72149 -0.0576352 -1.45481 0.166502
3.97962 1.33178 -0.0372665 -1.53944 0.0818646
4.20858 -1.10018 0.1798 -1.33508 0.286232
4.38567 -1.91084 0.347692 -1.06207 0.559237
3.95813 -2.72149 -0.0576352 -1.40784 0.213465
4.15671 0.521126 0.130626 -1.3134 0.307907
4.20858 -1.10018 0.1798 -1.52293 0.0983791
4.08336 -1.91084 0.0610824 -1.44191 0.179403
4.10484 2.14243 0.0814511 -1.47958 0.14173
3.78104 -1.91084 -0.225527 -1.493 0.128312
3.90627 -1.10018 -0.10681 -1.52706 0.0942505
3.65582 -2.72149 -0.344245 -1.74071 -0.119406
3.22829 -3.53215 -0.749572 -1.89863 -0.277326
4.23006 2.95309 0.200169 -1.32579 0.295521
4.10484 2.14243 0.0814511 -1.66743 -0.0461228
3.80253 2.14243 -0.205158 -1.67156 -0.0502515
4.83469 2.95309 0.773388 -0.941825 0.679484
4.28193 1.33178 0.249343 -1.44139 0.17992
4.23006 2.95309 0.200169 -1.23186 0.389447
3.80253 2.14243 -0.205158 -1.57763 0.0436748
3.78104 -1.91084 -0.225527 -1.58692 0.0343854
4.3338 -0.289528 0.298518 -1.27521 0.346097
3.90627 -1.10018 -0.10681 -1.62098 0.000324223
4.10484 2.14243 0.0814511 -1.47958 0.14173
4.28193 1.33178 0.249343 -1.20657 0.414735
3.375 1.33178 -0.610486 -1.82948 -0.208171
4.10484 2.14243 0.0814511 -1.47958 0.14173
3.95813 -2.72149 -0.0576352 -1.45481 0.166502
3.78104 -1.91084 -0.225527 -1.68085 -0.0595409
4.40715 2.14243 0.368061 -1.38152 0.239785
4.23006 2.95309 0.200169 -1.32579 0.295521
4.20858 -1.10018 0.1798 -1.429 0.192305
4.23006 2.95309 0.200169 -1.32579 0.295521
4.03149 -0.289528 0.011908 -1.56112 0.0601893
4.63611 -0.289528 0.585127 -1.17716 0.444152
4.03149 -0.289528 0.011908 -1.56112 0.0601893
4.40715 2.14243 0.368061 -1.2876 0.333711
3.35351 -2.72149 -0.630854 -1.74484 -0.123535
4.08336 -1.91084 0.0610824 -1.48887 0.13244
4.10484 2.14243 0.0814511 -1.66743 -0.0461228
3.65582 -2.72149 -0.344245 -1.64679 -0.0254797
3.8544 0.521126 -0.155984 -1.69324 -0.0719268
3.97962 1.33178 -0.0372665 -1.53944 0.0818646
3.65582 -2.72149 -0.344245 -1.64679 -0.0254797
3.0512 -2.72149 -0.917464 -1.93682 -0.315516
3.90627 -1.10018 -0.10681 -1.62098 0.000324223
4.03149 -0.289528 0.011908 -1.65505 -0.033737
4.28193 1.33178 0.249343 -1.34746 0.273846
3.35351 -2.72149 -0.630854 -1.74484 -0.123535
4.08336 -1.91084 0.0610824 -1.48887 0.13244
4.20858 -1.10018 0.1798 -1.429 0.192305
3.60395 -1.10018 -0.393419 -1.71904 -0.0977307
3.65582 -2.72149 -0.344245 -1.64679 -0.0254797
3.78104 -1.91084 -0.225527 -1.44603 0.175275
3.65582 -2.72149 -0.344245 -1.45894 0.162373
4.20858 -1.10018 0.1798 -1.33508 0.286232
4.03149 -0.289528 0.011908 -1.37327 0.248042
3.90627 -1.10018 -0.10681 -1.52706 0.0942505
3.80253 2.14243 -0.205158 -1.48371 0.137601
3.65582 -2.72149 -0.344245 -1.64679 -0.0254797
3.67731 1.33178 -0.323876 -1.6375 -0.0161903
4.10484 2.14243 0.0814511 -1.29173 0.329582
4.10484 2.14243 0.0814511 -1.38565 0.235656
4.03149 -0.289528 0.011908 -1.56112 0.0601893
4.45902 0.521126 0.417235 -1.16838 0.452925
4.10484 2.14243 0.0814511 -1.33869 0.282619
3.8544 0.521126 -0.155984 -1.45842 0.162889
4.08336 -1.91084 0.0610824 -1.30102 0.320293
3.95813 -2.72149 -0.0576352 -1.54873 0.0725752
4.23006 2.95309 0.200169 -1.23186 0.389447
4.3338 -0.289528 0.298518 -1.27521 0.346097
3.80253 2.14243 -0.205158 -1.57763 0.0436748
3.07268 1.33178 -0.897095 -1.92753 -0.306226
4.08336 -1.91084 0.0610824 -1.30102 0.320293
3.90627 -1.10018 -0.10681 -1.52706 0.0942505
3.78104 -1.91084 -0.225527 -1.53996 0.0813485
3.95813 -2.72149 -0.0576352 -1.45481 0.166502
4.70946 2.14243 0.65467 -1.14258 0.478729
4.28193 1.33178 0.249343 -1.39443 0.226883
4.38567 -1.91084 0.347692 -1.29689 0.324422
4.08336 -1.91084 0.0610824 -1.39494 0.226367
3.8544 0.521126 -0.155984 -1.55235 0.0689627
4.03149 -0.289528 0.011908 -1.56112 0.0601893
4.15671 0.521126 0.130626 -1.50125 0.120054
4.20858 -1.10018 0.1798 -1.429 0.192305
4.03149 -0.289528 0.011908 -1.46719 0.154116
3.78104 -1.91084 -0.225527 -1.493 0.128312
3.8544 0.521126 -0.155984 -1.50538 0.115926
3.78104 -1.91084 -0.225527 -1.493 0.128312
4.63611 -0.289528 0.585127 -1.17716 0.444152
3.97962 1.33178 -0.0372665 -1.63337 -0.0120617
3.65582 -2.72149 -0.344245 -1.78768 -0.166369
3.65582 -2.72149 -0.344245 -1.59983 0.0214834
3.97962 1.33178 -0.0372665 -1.44552 0.175791
4.38567 -1.91084 0.347692 -1.20296 0.418348
4.10484 2.14243 0.0814511 -1.57351 0.0478034
4.20858 -1.10018 0.1798 -1.52293 0.0983791
3.8544 0.521126 -0.155984 -1.69324 -0.0719268
3.80253 2.14243 -0.205158 -1.57763 0.0436748
3.8544 0.521126 -0.155984 -1.59931 0.0219995
4.40715 2.14243 0.368061 -1.38152 0.239785
4.58424 1.33178 0.535953 -1.20244 0.418864
3.72918 -0.289528 -0.274702 -1.65917 -0.0378656
4.10484 2.14243 0.0814511 -1.57351 0.0478034
3.97962 1.33178 -0.0372665 -1.44552 0.175791
3.65582 -2.72149 -0.344245 -1.55286 0.0684466
3.67731 1.33178 -0.323876 -1.6375 -0.0161903
3.95813 -2.72149 -0.0576352 -1.64266 -0.0213511
4.63611 -0.289528 0.585127 -1.13019 0.491115
4.15671 0.521126 0.130626 -1.50125 0.120054
3.8544 0.521126 -0.155984 -1.69324 -0.0719268
4.15671 0.521126 0.130626 -1.59518 0.0261281
3.30164 -1.10018 -0.680029 -1.91102 -0.289712
4.15671 0.521126 0.130626 -1.36036 0.260944
4.15671 0.521126 0.130626 -1.3134 0.307907
4.3338 -0.289528 0.298518 -1.36914 0.252171
3.78104 -1.91084 -0.225527 -1.493 0.128312
3.90627 -1.10018 -0.10681 -1.43313 0.188177
3.47873 -1.91084 -0.512137 -1.7789 -0.157596
3.65582 -2.72149 -0.344245 -1.55286 0.0684466
4.08336 -1.91084 0.0610824 -1.30102 0.320293
3.8544 0.521126 -0.155984 -1.59931 0.0219995
4.70946 2.14243 0.65467 -1.18954 0.431766
3.80253 2.14243 -0.205158 -1.57763 0.0436748
4.08336 -1.91084 0.0610824 -1.58279 0.038514
4.08336 -1.91084 0.0610824 -1.48887 0.13244
4.28193 1.33178 0.249343 -1.48835 0.132956
3.97962 1.33178 -0.0372665 -1.44552 0.175791
4.40715 2.14243 0.368061 -1.47545 0.145858
4.3338 -0.289528 0.298518 -1.36914 0.252171
3.97962 1.33178 -0.0372665 -1.53944 0.0818646
3.65582 -2.72149 -0.344245 -1.64679 -0.0254797
4.03149 -0.289528 0.011908 -1.46719 0.154116
4.20858 -1.10018 0.1798 -1.24115 0.380158
4.28193 1.33178 0.249343 -1.53532 0.0859933
4.20858 -1.10018 0.1798 -1.33508 0.286232
3.95813 -2.72149 -0.0576352 -1.45481 0.166502
4.23006 2.95309 0.200169 -1.1849 0.436411
4.40715 2.14243 0.368061 -1.19367 0.427637
4.28193 1.33178 0.249343 -1.25354 0.367772
4.10484 2.14243 0.0814511 -1.29173 0.329582
3.95813 -2.72149 -0.0576352 -1.36088 0.260428
4.23006 2.95309 0.200169 -1.41971 0.201595
4.20858 -1.10018 0.1798 -1.52293 0.0983791
4.8132 -1.10018 0.753019 -0.998077 0.623231
3.72918 -0.289528 -0.274702 -1.7531 -0.131792
4.08336 -1.91084 0.0610824 -1.48887 0.13244
3.95813 -2.72149 -0.0576352 -1.26695 0.354354
3.8544 0.521126 -0.155984 -1.50538 0.115926
3.97962 1.33178 -0.0372665 -1.63337 -0.0120617
3.60395 -1.10018 -0.393419 -1.81297 -0.191657
4.26045 -2.72149 0.228974 -1.30979 0.31152
4.08336 -1.91084 0.0610824 -1.30102 0.320293
3.78104 -1.91084 -0.225527 -1.493 0.128312
4.23006 2.95309 0.200169 -1.23186 0.389447
3.375 1.33178 -0.610486 -1.73555 -0.114245
3.80253 2.14243 -0.205158 -1.57763 0.0436748
4.45902 0.521126 0.417235 -1.4032 0.218109
3.90627 -1.10018 -0.10681 -1.52706 0.0942505
4.38567 -1.91084 0.347692 -1.20296 0.418348
4.20858 -1.10018 0.1798 -1.47597 0.145342
3.95813 -2.72149 -0.0576352 -1.45481 0.166502
3.8544 0.521126 -0.155984 -1.50538 0.115926
4.3338 -0.289528 0.298518 -1.27521 0.346097
3.97962 1.33178 -0.0372665 -1.63337 -0.0120617
3.90627 -1.10018 -0.10681 -1.52706 0.0942505
3.80253 2.14243 -0.205158 -1.57763 0.0436748
3.95813 -2.72149 -0.0576352 -1.45481 0.166502
3.80253 2.14243 -0.205158 -1.48371 0.137601
3.90627 -1.10018 -0.10681 -1.57402 0.0472874
4.40715 2.14243 0.368061 -1.38152 0.239785
4.53237 2.95309 0.486778 -1.03988 0.581429
3.65582 -2.72149 -0.344245 -1.55286 0.0684466
3.97962 1.33178 -0.0372665 -1.53944 0.0818646
4.03149 -0.289528 0.011908 -1.56112 0.0601893
3.95813 -2.72149 -0.0576352 -1.54873 0.0725752
4.10484 2.14243 0.0814511 -1.38565 0.235656
4.23006 2.95309 0.200169 -1.32579 0.295521
3.95813 -2.72149 -0.0576352 -1.40784 0.213465
3.60395 -1.10018 -0.393419 -1.62511 -0.00380441
4.10484 2.14243 0.0814511 -1.38565 0.235656
4.15671 0.521126 0.130626 -1.3134 0.307907
3.78104 -1.91084 -0.225527 -1.68085 -0.0595409
3.8544 0.521126 -0.155984 -1.69324 -0.0719268
4.08336 -1.91084 0.0610824 -1.62976 -0.00844911
4.08336 -1.91084 0.0610824 -1.30102 0.320293
3.07268 1.33178 -0.897095 -1.92753 -0.306226
4.3338 -0.289528 0.298518 -1.27521 0.346097
4.08336 -1.91084 0.0610824 -1.48887 0.13244
4.45902 0.521126 0.417235 -1.21535 0.405962
4.38567 -1.91084 0.347692 -1.20296 0.418348
4.53237 2.95309 0.486778 -1.22773 0.393576
3.90627 -1.10018 -0.10681 -1.52706 0.0942505
3.65582 -2.72149 -0.344245 -1.55286 0.0684466
4.23006 2.95309 0.200169 -1.1849 0.436411
4.20858 -1.10018 0.1798 -1.33508 0.286232
4.53237 2.95309 0.486778 -1.13381 0.487502
3.90627 -1.10018 -0.10681 -1.43313 0.188177
4.38567 -1.91084 0.347692 -1.29689 0.324422
4.45902 0.521126 0.417235 -1.12142 0.499888
4.28193 1.33178 0.249343 -1.25354 0.367772
3.95813 -2.72149 -0.0576352 -1.54873 0.0725752
4.15671 0.521126 0.130626 -1.50125 0.120054
4.08336 -1.91084 0.0610824 -1.48887 0.13244
4.38567 -1.91084 0.347692 -1.10903 0.512274
3.80253 2.14243 -0.205158 -1.57763 0.0436748
4.40715 2.14243 0.368061 -1.33456 0.286748
