Reference   BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
251.327 261.522 251.327 250.064 247.784 250.926
251.327 260.108 249.757 248.724 246.742 249.884
251.327 260.693 249.757 249.834 247.114 250.256
251.327 262.108 251.327 250.62 248.52 251.662
251.327 258.693 248.186 247.938 244.972 248.114
251.327 260.108 249.757 249.279 246.378 249.52
251.327 261.522 251.327 249.509 248.148 251.29
251.327 261.522 251.327 250.064 247.602 250.744
251.327 259.522 249.757 248.724 245.824 248.966
251.327 260.108 249.757 249.279 246.56 249.702
251.327 261.522 251.327 250.064 248.148 251.29
251.327 259.279 248.186 247.938 246.072 249.214
251.327 260.693 249.757 249.834 246.568 249.71
251.327 259.279 248.186 248.494 245.708 248.85
251.327 262.108 251.327 250.62 248.338 251.48
251.327 260.108 249.757 249.279 246.742 249.884
251.327 258.693 248.186 247.938 245.609 248.751
251.327 258.693 248.186 247.938 245.518 248.66
251.327 264.108 252.898 253.071 250.116 253.258
251.327 262.108 251.327 251.175 248.338 251.48
251.327 260.693 249.757 249.834 246.932 250.074
251.327 259.522 249.757 248.724 245.915 249.057
251.327 259.279 248.186 248.494 245.89 249.032
251.327 260.108 249.757 249.279 246.014 249.156
251.327 258.108 248.186 247.383 244.691 247.833
251.327 258.108 248.186 247.383 244.236 247.378
251.327 258.693 248.186 247.938 245.518 248.66
251.327 259.865 248.186 249.049 246.171 249.313
251.327 260.108 249.757 249.279 246.378 249.52
251.327 256.451 245.044 245.812 243.715 246.857
251.327 260.693 249.757 249.834 246.477 249.619
251.327 262.108 251.327 250.62 248.338 251.48
251.327 258.108 248.186 247.383 244.6 247.742
251.327 260.693 249.757 249.834 246.841 249.983
251.327 259.279 248.186 248.494 245.708 248.85
251.327 260.108 249.757 249.279 247.106 250.248
251.327 262.35 252.898 250.85 248.09 251.232
251.327 259.279 248.186 248.494 245.526 248.668
251.327 259.522 249.757 248.724 245.915 249.057
251.327 260.693 249.757 249.834 246.75 249.892
251.327 258.108 248.186 247.383 244.782 247.924
251.327 260.693 249.757 249.834 246.568 249.71
251.327 260.693 249.757 249.834 246.932 250.074
251.327 262.936 252.898 251.405 248.826 251.968
251.327 262.108 251.327 250.62 248.338 251.48
251.327 261.522 251.327 250.62 247.602 250.744
251.327 260.693 249.757 249.834 246.841 249.983
251.327 258.693 248.186 247.938 245.609 248.751
251.327 260.693 249.757 249.834 246.932 250.074
251.327 260.693 249.757 249.834 246.75 249.892
251.327 258.693 248.186 247.938 245.7 248.842
251.327 260.693 249.757 249.834 246.75 249.892
251.327 262.108 251.327 251.175 248.52 251.662
251.327 256.693 246.615 246.042 244.286 247.428
251.327 257.522 248.186 246.828 244.774 247.916
251.327 258.693 248.186 247.938 244.517 247.659
251.327 258.693 248.186 247.938 244.972 248.114
251.327 257.865 246.615 247.153 244.211 247.353
251.327 261.522 251.327 250.064 247.784 250.926
251.327 261.522 251.327 250.62 247.602 250.744
251.327 259.279 248.186 248.494 245.617 248.759
251.327 259.279 248.186 248.494 245.526 248.668
251.327 260.108 249.757 249.279 246.287 249.429
251.327 259.279 248.186 248.494 245.526 248.668
251.327 259.279 248.186 248.494 245.162 248.304
251.327 261.279 249.757 250.39 247.031 250.173
251.327 260.108 249.757 249.279 246.378 249.52
251.327 261.522 251.327 250.62 248.148 251.29
251.327 260.693 249.757 249.834 246.386 249.528
251.327 260.108 249.757 249.279 246.196 249.338
251.327 263.522 252.898 251.961 249.38 252.522
251.327 263.522 252.898 252.516 249.926 253.068
251.327 258.693 248.186 247.938 245.336 248.478
251.327 261.522 251.327 250.064 247.602 250.744
251.327 260.693 249.757 249.834 247.478 250.62
251.327 259.279 248.186 248.494 245.162 248.304
251.327 259.279 248.186 248.494 245.708 248.85
251.327 260.693 249.757 249.834 247.114 250.256
251.327 261.522 251.327 249.509 248.512 251.654
251.327 260.108 249.757 249.279 246.924 250.066
251.327 260.108 249.757 249.279 247.106 250.248
251.327 262.108 251.327 250.62 248.156 251.298
251.327 260.693 249.757 249.834 247.114 250.256
251.327 260.108 249.757 249.279 246.014 249.156
251.327 259.865 248.186 249.049 245.898 249.04
251.327 262.108 251.327 250.064 248.338 251.48
251.327 262.108 251.327 250.62 247.792 250.934
251.327 260.108 249.757 249.279 246.742 249.884
251.327 260.108 249.757 249.279 246.742 249.884
251.327 258.693 248.186 247.938 245.245 248.387
251.327 258.693 248.186 247.938 245.245 248.387
251.327 262.35 252.898 250.85 248.272 251.414
251.327 261.522 251.327 250.62 247.42 250.562
251.327 260.936 251.327 250.064 246.957 250.099
251.327 259.522 249.757 248.724 246.188 249.33
251.327 262.108 251.327 250.62 247.792 250.934
251.327 259.522 249.757 248.724 246.188 249.33
251.327 259.279 248.186 248.494 245.89 249.032
251.327 259.279 248.186 248.494 245.89 249.032
251.327 262.108 251.327 250.62 247.792 250.934
251.327 260.693 249.757 249.834 246.932 250.074
251.327 262.936 252.898 250.85 248.917 252.059
251.327 260.693 249.757 249.834 246.75 249.892
251.327 260.108 249.757 249.279 246.196 249.338
251.327 259.522 249.757 248.724 246.188 249.33
251.327 259.522 249.757 248.724 246.188 249.33
251.327 259.522 249.757 248.724 246.37 249.512
251.327 259.522 249.757 248.724 245.642 248.784
251.327 260.693 249.757 249.834 246.75 249.892
251.327 262.35 252.898 250.85 248.636 251.778
251.327 262.108 251.327 251.175 247.974 251.116
251.327 260.108 249.757 249.279 246.742 249.884
251.327 260.108 249.757 249.279 246.378 249.52
251.327 263.522 252.898 252.516 249.562 252.704
251.327 259.279 248.186 248.494 246.254 249.396
251.327 260.693 249.757 249.279 247.023 250.165
251.327 260.108 249.757 249.279 246.378 249.52
251.327 263.522 252.898 252.516 249.926 253.068
251.327 260.108 249.757 248.724 246.742 249.884
251.327 260.693 249.757 249.834 247.023 250.165
251.327 262.108 251.327 250.064 248.338 251.48
251.327 260.108 249.757 249.279 246.014 249.156
251.327 257.865 246.615 246.598 244.939 248.081
251.327 262.108 251.327 251.175 248.338 251.48
251.327 258.693 248.186 247.938 244.881 248.023
251.327 261.522 251.327 250.064 247.602 250.744
251.327 262.108 251.327 250.62 248.338 251.48
251.327 261.522 251.327 250.62 247.784 250.926
251.327 260.108 249.757 248.724 246.651 249.793
251.327 257.037 245.044 246.367 243.177 246.319
251.327 260.936 251.327 250.064 247.048 250.19
251.327 261.522 251.327 250.62 248.148 251.29
251.327 260.936 251.327 250.064 247.412 250.554
251.327 259.279 248.186 248.494 245.435 248.577
251.327 257.865 246.615 247.153 244.848 247.99
251.327 261.279 249.757 250.39 247.85 250.992
251.327 260.693 249.757 249.834 246.932 250.074
251.327 259.279 248.186 247.938 245.89 249.032
251.327 260.108 249.757 248.724 246.469 249.611
251.327 260.108 249.757 249.279 246.378 249.52
251.327 262.108 251.327 250.62 248.702 251.844
251.327 259.522 249.757 248.724 245.369 248.511
251.327 261.522 251.327 250.62 247.602 250.744
251.327 262.108 251.327 251.175 249.248 252.39
251.327 258.693 248.186 247.938 245.7 248.842
251.327 258.108 248.186 247.383 244.6 247.742
251.327 260.108 249.757 249.279 246.105 249.247
251.327 258.693 248.186 247.938 245.518 248.66
251.327 258.693 248.186 247.938 245.245 248.387
251.327 258.108 248.186 247.383 244.6 247.742
251.327 262.108 251.327 250.62 248.338 251.48
251.327 261.522 251.327 250.62 247.238 250.38
251.327 260.108 249.757 249.279 246.469 249.611
251.327 260.693 249.757 249.279 246.932 250.074
251.327 258.693 248.186 247.938 245.063 248.205
251.327 258.693 248.186 247.938 245.7 248.842
251.327 260.936 251.327 250.064 247.412 250.554
251.327 258.108 248.186 247.383 244.509 247.651
251.327 260.693 249.757 249.834 246.932 250.074
251.327 260.693 249.757 249.834 246.932 250.074
251.327 261.522 251.327 250.064 248.148 251.29
251.327 259.279 248.186 248.494 245.708 248.85
251.327 257.865 246.615 247.153 244.302 247.444
251.327 258.693 248.186 247.938 245.336 248.478
251.327 258.693 248.186 247.938 245.336 248.478
251.327 259.522 249.757 248.724 245.46 248.602
251.327 262.108 251.327 251.175 248.156 251.298
251.327 259.522 249.757 248.724 246.188 249.33
251.327 260.108 249.757 249.279 246.924 250.066
251.327 259.522 249.757 248.724 246.006 249.148
251.327 259.522 249.757 248.724 246.37 249.512
251.327 260.693 249.757 249.834 246.75 249.892
251.327 259.865 248.186 249.049 245.989 249.131
251.327 257.865 246.615 247.153 244.666 247.808
251.327 259.865 248.186 249.049 246.08 249.222
251.327 263.765 254.469 251.635 249.86 253.002
251.327 259.279 248.186 248.494 245.435 248.577
251.327 260.693 249.757 249.834 246.295 249.437
251.327 260.693 249.757 249.279 247.296 250.438
251.327 260.108 249.757 249.279 246.56 249.702
251.327 259.279 248.186 248.494 245.708 248.85
251.327 261.522 251.327 250.064 246.874 250.016
251.327 258.693 248.186 247.938 245.245 248.387
251.327 261.522 251.327 250.62 247.602 250.744
251.327 260.108 249.757 249.279 245.832 248.974
251.327 260.693 249.757 249.834 247.478 250.62
251.327 258.451 246.615 247.708 244.947 248.089
251.327 257.865 246.615 247.153 244.393 247.535
251.327 262.108 251.327 251.175 247.974 251.116
251.327 260.693 249.757 249.834 246.477 249.619
251.327 262.35 252.898 250.85 248.09 251.232
251.327 259.522 249.757 248.724 245.46 248.602
251.327 258.693 248.186 247.938 245.518 248.66
251.327 261.522 251.327 250.064 247.602 250.744
251.327 262.108 251.327 251.175 247.974 251.116
251.327 261.522 251.327 250.62 247.602 250.744
251.327 259.522 249.757 248.724 246.006 249.148
251.327 260.108 249.757 249.279 246.378 249.52
251.327 260.693 249.757 249.279 247.023 250.165
251.327 261.522 251.327 250.064 248.33 251.472
251.327 257.865 246.615 247.153 244.757 247.899
251.327 260.693 249.757 249.834 246.932 250.074
251.327 259.279 248.186 248.494 245.344 248.486
251.327 259.522 249.757 248.724 245.369 248.511
251.327 260.108 249.757 249.279 246.378 249.52
251.327 260.108 249.757 249.279 246.014 249.156
251.327 261.522 251.327 250.62 247.966 251.108
251.327 261.522 251.327 250.62 247.966 251.108
251.327 258.693 248.186 247.938 245.518 248.66
251.327 261.522 251.327 250.62 247.42 250.562
251.327 260.693 249.757 249.834 246.75 249.892
251.327 261.279 249.757 250.39 248.032 251.174
251.327 261.522 251.327 250.62 247.966 251.108
251.327 262.108 251.327 251.175 248.338 251.48
251.327 260.108 249.757 249.279 246.378 249.52
251.327 260.108 249.757 249.279 246.378 249.52
251.327 261.522 251.327 250.064 247.966 251.108
251.327 260.693 249.757 249.834 246.75 249.892
251.327 257.865 246.615 247.153 244.393 247.535
251.327 260.693 249.757 249.834 246.932 250.074
251.327 258.693 248.186 247.938 244.79 247.932
251.327 259.522 249.757 248.724 245.642 248.784
251.327 259.522 249.757 248.724 245.824 248.966
251.327 260.693 249.757 249.834 247.478 250.62
251.327 260.693 249.757 249.834 246.75 249.892
251.327 261.279 249.757 250.39 247.304 250.446
251.327 258.693 248.186 247.938 245.518 248.66
251.327 257.865 246.615 247.153 244.575 247.717
251.327 260.108 249.757 249.279 246.742 249.884
251.327 263.279 251.327 252.286 249.264 252.406
251.327 260.108 249.757 248.724 247.288 250.43
251.327 259.279 248.186 248.494 246.254 249.396
251.327 259.279 248.186 248.494 245.89 249.032
251.327 261.522 251.327 250.064 247.875 251.017
251.327 259.279 248.186 248.494 245.708 248.85
251.327 260.936 251.327 249.509 247.503 250.645
251.327 257.865 246.615 247.153 244.211 247.353
251.327 260.108 249.757 249.279 246.014 249.156
251.327 260.108 249.757 249.279 246.014 249.156
251.327 257.865 246.615 247.153 244.575 247.717
251.327 258.693 248.186 247.938 245.336 248.478
251.327 259.279 248.186 248.494 245.708 248.85
251.327 260.693 249.757 249.279 247.478 250.62
251.327 259.279 248.186 248.494 245.617 248.759
251.327 261.522 251.327 250.064 247.784 250.926
251.327 259.522 249.757 248.724 246.097 249.239
251.327 260.108 249.757 249.279 246.56 249.702
251.327 260.108 249.757 249.279 246.742 249.884
251.327 261.522 251.327 250.064 247.784 250.926
251.327 261.522 251.327 250.62 247.966 251.108
251.327 260.936 251.327 249.509 247.048 250.19
251.327 258.693 248.186 247.938 245.518 248.66
251.327 258.693 248.186 247.938 244.79 247.932
251.327 257.865 246.615 247.153 244.939 248.081
251.327 260.693 249.757 249.834 247.66 250.802
251.327 260.108 249.757 249.279 246.196 249.338
251.327 258.693 248.186 247.938 245.518 248.66
251.327 260.693 249.757 249.834 247.114 250.256
251.327 262.35 252.898 251.405 248.09 251.232
251.327 261.522 251.327 250.62 247.784 250.926
251.327 260.108 249.757 249.279 247.106 250.248
251.327 259.522 249.757 248.724 246.006 249.148
251.327 260.108 249.757 249.279 246.196 249.338
251.327 259.522 249.757 248.724 246.37 249.512
251.327 260.108 249.757 249.279 246.742 249.884
251.327 260.693 249.757 249.834 246.932 250.074
251.327 258.693 248.186 247.383 245.791 248.933
251.327 256.451 245.044 245.812 243.351 246.493
251.327 259.522 249.757 248.724 246.006 249.148
251.327 262.108 251.327 251.175 248.156 251.298
251.327 262.108 251.327 250.62 248.338 251.48
251.327 260.108 249.757 249.279 246.924 250.066
251.327 261.522 251.327 250.064 247.693 250.835
251.327 261.522 251.327 250.62 248.33 251.472
251.327 262.108 251.327 250.62 247.883 251.025
251.327 262.693 251.327 251.731 249.165 252.307
251.327 257.279 246.615 246.598 243.202 246.344
251.327 259.522 249.757 248.724 245.46 248.602
251.327 260.108 249.757 249.279 246.378 249.52
251.327 261.522 251.327 250.064 247.966 251.108
251.327 257.865 246.615 247.153 244.12 247.262
251.327 260.108 249.757 249.279 246.378 249.52
251.327 261.522 251.327 250.62 247.42 250.562
251.327 261.279 249.757 250.39 247.668 250.81
251.327 260.693 249.757 249.834 246.477 249.619
251.327 258.693 248.186 247.938 244.972 248.114
251.327 261.522 251.327 250.064 247.966 251.108
251.327 261.522 251.327 250.62 247.784 250.926
251.327 259.865 248.186 249.049 245.807 248.949
251.327 262.108 251.327 251.175 248.338 251.48
251.327 258.693 248.186 247.938 245.154 248.296
251.327 257.279 246.615 246.598 243.93 247.072
251.327 261.522 251.327 250.62 247.966 251.108
251.327 259.522 249.757 248.724 245.915 249.057
251.327 259.279 248.186 248.494 245.526 248.668
251.327 261.522 251.327 250.064 248.148 251.29
251.327 258.693 248.186 247.938 245.245 248.387
251.327 262.108 251.327 251.175 248.338 251.48
251.327 261.522 251.327 250.62 247.784 250.926
251.327 260.108 249.757 249.279 246.378 249.52
251.327 262.108 251.327 251.175 248.52 251.662
251.327 260.936 251.327 250.064 248.14 251.282
251.327 260.693 249.757 249.834 247.478 250.62
251.327 257.865 246.615 247.153 245.03 248.172
251.327 259.522 249.757 248.724 246.37 249.512
251.327 260.108 249.757 248.724 246.56 249.702
251.327 260.693 249.757 249.834 246.75 249.892
251.327 259.279 248.186 248.494 245.617 248.759
251.327 258.693 248.186 247.938 245.336 248.478
251.327 260.108 249.757 249.279 246.014 249.156
251.327 262.108 251.327 251.175 248.156 251.298
251.327 260.693 249.757 249.834 247.023 250.165
251.327 257.279 246.615 246.598 244.203 247.345
251.327 260.693 249.757 249.834 247.114 250.256
251.327 258.693 248.186 247.938 244.972 248.114
251.327 257.522 248.186 246.828 244.41 247.552
