BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
4.05624 0 -0.502525 -1.40988 -0.159879
3.49354 -0.625 -1.036 -1.82448 -0.574478
3.72662 -0.625 -0.594054 -1.67646 -0.426463
4.28932 0 -0.281554 -1.11703 0.132966
2.93085 -1.25 -1.3485 -2.52874 -1.27874
3.49354 -0.625 -0.815025 -1.96931 -0.719309
4.05624 0 -0.723496 -1.26505 -0.015048
4.05624 0 -0.502525 -1.48229 -0.232294
3.26047 -0.625 -1.036 -2.18974 -0.939738
3.49354 -0.625 -0.815025 -1.89689 -0.646893
4.05624 0 -0.502525 -1.26505 -0.015048
3.16392 -1.25 -1.3485 -2.09106 -0.841062
3.72662 -0.625 -0.594054 -1.89371 -0.64371
3.16392 -1.25 -1.12753 -2.23589 -0.985893
4.28932 0 -0.281554 -1.18945 0.0605506
3.49354 -0.625 -0.815025 -1.82448 -0.574478
2.93085 -1.25 -1.3485 -2.27528 -1.02528
2.93085 -1.25 -1.3485 -2.31149 -1.06149
5.08509 0.625 0.693858 -0.482006 0.767994
4.28932 0 -0.0605836 -1.18945 0.0605506
3.72662 -0.625 -0.594054 -1.74888 -0.498879
3.26047 -0.625 -1.036 -2.15353 -0.90353
3.16392 -1.25 -1.12753 -2.16348 -0.913478
3.49354 -0.625 -0.815025 -2.11414 -0.86414
2.69777 -1.25 -1.56947 -2.64054 -1.39054
2.69777 -1.25 -1.56947 -2.82158 -1.57158
2.93085 -1.25 -1.3485 -2.31149 -1.06149
3.397 -1.25 -0.906554 -2.05167 -0.801671
3.49354 -0.625 -0.815025 -1.96931 -0.719309
2.03853 -2.5 -2.19447 -3.02888 -1.77888
3.72662 -0.625 -0.594054 -1.92992 -0.679918
4.28932 0 -0.281554 -1.18945 0.0605506
2.69777 -1.25 -1.56947 -2.67675 -1.42675
3.72662 -0.625 -0.594054 -1.78509 -0.535087
3.16392 -1.25 -1.12753 -2.23589 -0.985893
3.49354 -0.625 -0.815025 -1.67965 -0.429647
4.38586 0.625 -0.190025 -1.28813 -0.0381254
3.16392 -1.25 -1.12753 -2.30831 -1.05831
3.26047 -0.625 -1.036 -2.15353 -0.90353
3.72662 -0.625 -0.594054 -1.82129 -0.571294
2.69777 -1.25 -1.56947 -2.60434 -1.35434
3.72662 -0.625 -0.594054 -1.89371 -0.64371
3.72662 -0.625 -0.594054 -1.74888 -0.498879
4.61894 0.625 0.0309456 -0.99528 0.25472
4.28932 0 -0.281554 -1.18945 0.0605506
4.05624 0 -0.281554 -1.48229 -0.232294
3.72662 -0.625 -0.594054 -1.78509 -0.535087
2.93085 -1.25 -1.3485 -2.27528 -1.02528
3.72662 -0.625 -0.594054 -1.74888 -0.498879
3.72662 -0.625 -0.594054 -1.82129 -0.571294
2.93085 -1.25 -1.3485 -2.23908 -0.989076
3.72662 -0.625 -0.594054 -1.82129 -0.571294
4.28932 0 -0.0605836 -1.11703 0.132966
2.13507 -1.875 -2.10294 -2.80169 -1.55169
2.46469 -1.25 -1.79044 -2.60752 -1.35752
2.93085 -1.25 -1.3485 -2.70978 -1.45978
2.93085 -1.25 -1.3485 -2.52874 -1.27874
2.60123 -1.875 -1.661 -2.83153 -1.58153
4.05624 0 -0.502525 -1.40988 -0.159879
4.05624 0 -0.281554 -1.48229 -0.232294
3.16392 -1.25 -1.12753 -2.2721 -1.0221
3.16392 -1.25 -1.12753 -2.30831 -1.05831
3.49354 -0.625 -0.815025 -2.00552 -0.755516
3.16392 -1.25 -1.12753 -2.30831 -1.05831
3.16392 -1.25 -1.12753 -2.45314 -1.20314
3.9597 -0.625 -0.373084 -1.70949 -0.459488
3.49354 -0.625 -0.815025 -1.96931 -0.719309
4.05624 0 -0.281554 -1.26505 -0.015048
3.72662 -0.625 -0.594054 -1.96613 -0.716125
3.49354 -0.625 -0.815025 -2.04172 -0.791724
4.85202 0.625 0.251916 -0.774851 0.475149
4.85202 0.625 0.472887 -0.557604 0.692396
2.93085 -1.25 -1.3485 -2.38391 -1.13391
4.05624 0 -0.502525 -1.48229 -0.232294
3.72662 -0.625 -0.594054 -1.53163 -0.281632
3.16392 -1.25 -1.12753 -2.45314 -1.20314
3.16392 -1.25 -1.12753 -2.23589 -0.985893
3.72662 -0.625 -0.594054 -1.67646 -0.426463
4.05624 0 -0.723496 -1.12022 0.129783
3.49354 -0.625 -0.815025 -1.75206 -0.502062
3.49354 -0.625 -0.815025 -1.67965 -0.429647
4.28932 0 -0.281554 -1.26186 -0.0118649
3.72662 -0.625 -0.594054 -1.67646 -0.426463
3.49354 -0.625 -0.815025 -2.11414 -0.86414
3.397 -1.25 -0.906554 -2.16029 -0.910295
4.28932 0 -0.502525 -1.18945 0.0605506
4.28932 0 -0.281554 -1.4067 -0.156696
3.49354 -0.625 -0.815025 -1.82448 -0.574478
3.49354 -0.625 -0.815025 -1.82448 -0.574478
2.93085 -1.25 -1.3485 -2.42011 -1.17011
