CenterX   CenterY   Theta
100.758 100.928 114.348
100.357 100.67 96.5721
100.5 100.381 83.4827
100.3 100.197 53.8808
100.915 100.75 70.9901
100.73 100.742 16.8614
100.903 100.041 135.131
100.844 100.27 157.838
100.879 100.866 12.889
100.096 100.872 59.5864
100.741 100.607 61.0458
100.499 100.261 97.4663
100.616 100.622 88.4739
100.59 100.892 91.8311
100.285 100.126 4.00498
100.95 100.866 131.625
100.928 100.925 140.94
100.68 100.364 48.2921
100.76 100.553 83.7584
100.154 100.133 99.4518
100.332 100.317 13.8094
100.221 100.605 136.816
100.541 100.976 118.472
100.002 100.082 6.03302
100.327 100.412 107.789
100.573 100.6 66.492
100.226 100.545 102.631
100.091 100.241 155.401
100.826 100.144 160.08
100.784 100.71 18.1329
100.467 100.874 116.692
100.686 100.099 131.028
100.902 100.268 93.2786
100.888 100.536 164.275
100.124 100.939 92.4222
100.054 100.529 152.432
100.012 100.529 132.17
100.512 100.407 58.8144
100.871 100.256 66.1928
100.739 100.108 119.24
100.47 100.639 128.244
100.35 100.549 14.039
100.642 100.579 108.655
100.815 100.55 95.8852
100.042 100.649 147.881
100.293 100.519 91.3038
100.37 100.073 80.8001
100.656 100.978 47.3859
100.698 100.654 172.59
100.732 100.99 3.05377
100.858 100.668 124.367
100.701 100.962 26.4089
100.783 100.597 129.823
100.4 100.613 92.8647
100.33 100.836 156.106
100.578 100.159 17.9473
100.462 100.182 20.2327
100.334 100.489 121.935
100.954 100.267 2.53532
100.292 100.275 18.4971
100.114 100.283 163.76
100.918 100.692 10.0825
100.401 100.461 16.9714
100.374 100.831 101.615
100.228 100.214 119.295
100.83 100.332 73.5083
100.379 100.972 112.826
100.785 100.523 54.6184
100.578 100.295 34.1543
100.781 100.134 105.02
100.725 100.149 55.1322
100.627 100.538 172.978
100.513 100.372 14.972
100.291 100.315 80.3241
100.804 100.983 147.496
100.741 100.871 72.4867
100.29 100.779 113.834
100.56 100.595 3.59039
100.892 100.269 164.199
100.903 100.89 1.90649
100.812 100.393 68.9415
100.624 100.083 9.16623
100.175 100.046 0.343652
100.406 100.211 134.013
100.568 100.265 95.8475
100.758 100.097 112.546
100.577 100.881 174.851
100.024 100.474 141.888
100.925 100.479 132.809
100.842 100.655 138.001
100.885 100.856 16.5639
100.06 100.094 98.4056
100.439 100.428 57.2003
100.122 100.348 123.175
100.55 100.465 79.6886
100.171 100.411 18.0662
100.321 100.777 62.4306
100.183 100.834 1.02162
100.519 100.409 7.4968
100.912 100.792 5.93148
100.471 100.409 68.1731
100.778 100.978 173.89
100.275 100.796 76.4341
100.79 100.133 31.9878
100.452 100.319 0.167928
100.022 100.906 131.106
100.29 100.692 178.079
100.496 100.619 55.4337
100.596 100.705 46.4224
100.8 100.977 72.9251
100.817 100.178 48.7713
100.343 100.575 92.1592
100.429 100.766 123.574
100.373 100.511 103.059
100.089 100.519 19.3952
100.729 100.371 175.006
100.517 100.125 112.692
100.957 100.486 34.0142
100.038 100.366 49.6946
100.656 100.915 66.3468
100.019 100.554 154.217
100.76 100.127 75.2104
100.866 100.74 17.6951
100.466 100.763 81.8525
100.105 100.779 16.1385
100.017 100.586 83.9067
100.211 100.262 129.398
100.338 100.602 151.186
100.621 100.541 99.7162
100.45 100.294 1.23041
100.643 100.581 104.702
100.354 100.659 144.664
100.922 100.701 63.3604
100.277 100.5 37.5174
100.136 100.602 58.791
100.005 100.158 9.26581
100.061 100.625 68.3443
100.858 100.333 134.862
100.872 100.73 115.369
100.73 100.097 126.371
100.755 100.025 165.242
100.324 100.248 22.1146
100.044 100.207 80.0589
100.416 100.09 16.5684
100.389 100.458 2.43737
100.041 100.272 26.9514
100.638 100.122 17.4879
100.732 100.483 60.3095
100.593 100.497 19.607
100.749 100.809 63.7726
100.957 100.653 56.5103
100.671 100.214 94.4123
100.667 100.386 150.469
100.683 100.514 122.974
100.542 100.903 70.8377
100.257 100.286 36.0569
100.273 100.293 102.579
100.053 100.526 21.2146
100.522 100.257 61.8334
100.401 100.312 35.7421
100.288 100.673 43.9864
100.698 100.405 46.9119
100.743 100.166 69.5085
100.643 100.031 115.958
100.392 100.432 171.934
100.42 100.402 72.4516
100.205 100.287 6.96877
100.084 100.011 55.9075
100.966 100.914 7.72692
100.016 100.337 177.057
100.611 100.267 52.1253
100.973 100.64 31.7838
100.887 100.59 153.306
100.567 100.64 97.9752
100.057 100.309 68.2849
100.909 100.273 33.7306
100.816 100.963 82.1925
100.629 100.847 157.422
100.168 100.049 43.8905
100.363 100.237 8.71213
100.562 100.889 156.674
100.678 100.558 69.013
100.619 100.822 152.449
100.45 100.08 150.743
100.184 100.511 162.579
100.774 100.417 19.862
100.881 100.319 39.2793
100.96 100.216 152.989
100.309 100.05 102.113
100.168 100.324 168.733
100.206 100.219 73.6367
100.533 100.65 167.579
100.463 100.327 153.495
100.668 100.191 34.2635
100.421 100.938 112.903
100.772 100.286 34.8694
100.149 100.083 100.991
100.185 100.663 168.502
100.72 100.378 20.8541
100.42 100.238 92.0059
100.812 100.868 46.5852
100.399 100.88 32.404
100.949 100.584 31.6394
100.759 100.006 136.107
100.293 100.482 48.3333
100.742 100.118 142.237
100.428 100.306 163.279
100.132 100.785 40.6616
100.122 100.036 127.188
100.617 100.503 86.2431
100.615 100.082 21.1861
100.603 100.569 171.704
100.433 100.123 38.1028
100.634 100.939 142.874
100.03 100.973 23.54
100.183 100.974 16.9231
100.305 100.04 156.356
100.269 100.426 15.234
100.195 100.894 119.568
100.006 100.706 135.14
100.622 100.804 2.18055
100.993 100.227 117.919
100.988 100.08 120.595
100.829 100.158 88.8786
100.454 100.556 120.6
100.736 100.169 86.0284
100.555 100.828 33.2664
100.692 100.86 10.1749
100.031 100.502 125.18
100.997 100.273 124.102
100.967 100.367 55.3052
100.613 100.552 86.9324
100.743 100.967 115.971
100.908 100.81 41.7407
100.336 100.199 120.887
100.352 100.815 109.721
100.389 100.153 21.8737
100.903 100.362 178.826
100.175 100.585 141.231
100.908 100.798 68.2675
100.269 100.183 136.545
100.495 100.468 114.449
100.719 100.416 42.0142
100.883 100.127 135.536
100.462 100.795 152.827
100.501 100.671 73.4561
100.647 100.136 7.13136
100.452 100.899 12.043
100.654 100.325 8.44023
100.278 100.517 28.1751
100.323 100.736 18.0108
100.43 100.611 42.3183
100.456 100.305 51.507
100.228 100.216 85.5747
100.648 100.494 13.0454
100.063 100.43 66.2906
100.619 100.798 34.6651
100.693 100.559 25.7579
100.426 100.655 68.9448
100.198 100.81 21.1629
100.293 100.157 44.7277
100.092 100.262 116.16
100.696 100.587 170.871
100.478 100.395 40.2534
100.99 100.102 143.227
100.496 100.618 111.528
100.68 100.648 68.353
100.549 100.673 27.5836
100.276 100.153 62.8199
100.75 100.07 57.1868
100.128 100.825 45.4165
100.716 100.428 89.1019
100.189 100.032 18.9464
100.649 100.453 86.9696
100.467 100.364 156.302
100.096 100.973 25.7296
100.539 100.592 115.28
100.636 100.568 151.565
100.764 100.596 179.305
100.84 100.016 41.4686
100.859 100.444 75.8713
100.052 100.649 40.8215
100.334 100.98 43.5932
100.737 100.233 41.3359
100.998 100.679 153.056
100.587 100.62 53.0949
100.432 100.227 173.065
100.055 100.083 166.541
100.321 100.634 147.956
100.387 100.031 40.3771
100.148 100.235 155.303
100.429 100.307 153.423
100.026 100.229 92.1423
100.781 100.532 150.195
100.716 100.366 3.85168
100.392 100.927 29.8124
100.665 100.938 17.5477
100.481 100.284 122.999
100.294 100.014 62.3915
100.004 100.017 153.267
100.272 100.887 60.1595
100.914 100.457 87.4124
100.007 100.136 4.83618
100.99 100.706 163.654
100.139 100.584 45.2871
100.615 100.549 28.7994
100.83 100.158 80.8872
100.135 100.105 165.612
100.732 100.939 13.4019
100.576 100.047 106.795
100.718 100.942 28.1655
100.716 100.492 151.284
100.329 100.603 9.51841
100.42 100.802 56.5985
100.008 100.983 73.8169
100.929 100.279 152.927
100.704 100.224 37.543
100.817 100.513 49.3298
100.936 100.08 167.594
100.453 100.237 41.9511
100.543 100.562 3.71268
100.108 100.606 90.2696
100.889 100.669 50.0969
100.859 100.656 164.946
100.117 100.391 34.3651
100.452 100.721 134.795
100.403 100.201 144.919
100.823 100.71 69.205
100.466 100.955 23.3215
100.095 100.969 65.9114
100.636 100.133 162.871
100.594 100.45 30.4474
100.2 100.523 36.3686
100.742 100.451 107.563
100.734 100.1 148.748
100.906 100.059 166.392
100.644 100.576 34.3109
100.514 100.184 106.398
100.124 100.985 173.044
100.982 100.982 23.9343
100.672 100.525 42.0684
100.803 100.772 134.532
100.151 100.805 63.78
100.134 100.501 8.14145
100.761 100.569 75.541
100.726 100.635 28.4341
100.855 100.421 150.318
100.175 100.456 85.9145
100.174 100.021 66.6107
100.265 100.86 155.4
100.553 100.024 20.9712
100.478 100.436 59.9579
100.759 100.612 149.488
100.099 100.348 29.5842
100.52 100.78 86.6645
100.46 100.189 39.6605
100.715 100.057 146.781
100.227 100.16 98.2722
100.131 100.271 100.589
100.163 100.59 27.6942
100.247 100.437 62.7255
100.699 100.726 142.7
100.981 100.664 78.1983
100.407 100.173 121.821
100.454 100.461 2.79375
100.699 100.831 47.2838
100.235 100.623 122.658
100.288 100.47 170.302
100.85 100.88 99.6154
100.903 100.38 154.818
100.025 100.738 148.268
100.082 100.94 106.097
100.699 100.319 81.4531
100.863 100.155 144.333
100.048 100.527 13.2446
100.863 100.173 105.361
100.896 100.919 8.33933
100.222 100.189 138.214
100.235 100.24 71.4767
100.713 100.493 98.1766
100.568 100.787 41.2447
100.92 100.845 166.742
100.551 100.478 56.4823
100.574 100.885 19.7068
100.944 100.789 86.5741
100.76 100.01 91.4431
100.801 100.948 11.8026
100.848 100.743 84.5331
100.077 100.514 52.8508
100.669 100.419 54.5087
100.804 100.45 56.5535
100.192 100.636 97.1856
100.108 100.9 49.7697
100.7 100.136 119.919
100.39 100.345 117.256
100.287 100.233 21.2
100.759 100.195 11.4933
100.84 100.524 62.8109
100.836 100.577 153.839
100.349 100.909 143.321
100.402 100.419 44.1202
