Reference   BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
400 429.103 414.69 409.496 394.015 397.157
400 411.64 347.146 392.94 395.847 398.989
400 410.225 345.575 391.6 394.532 397.674
400 417.512 438.252 398.507 397.913 401.055
400 428.434 398.982 408.862 398.976 402.118
400 426.635 391.128 407.156 399.389 402.531
400 396.566 442.965 378.649 393.87 397.012
400 428.718 408.407 409.131 396.107 399.249
400 420.451 373.85 401.294 397.61 400.752
400 424.843 428.827 405.458 394.789 397.931
400 427.529 427.257 408.004 394.531 397.673
400 413.539 351.858 394.741 396.575 399.717
400 399.314 320.442 381.255 389.668 392.81
400 400.385 323.584 382.27 389.999 393.141
400 407.598 336.15 389.109 394.639 397.781
400 405.352 442.965 386.98 396.72 399.862
400 411.553 441.394 392.859 397.966 401.108
400 403.696 439.823 385.409 394.47 397.612
400 410.811 345.575 392.155 395.359 398.501
400 418.51 361.283 399.454 399.412 402.554
400 423.522 378.562 404.205 399.719 402.861
400 401.838 442.965 383.648 395.58 398.722
400 427.872 425.686 408.33 393.786 396.928
400 409.983 344.004 391.37 394.871 398.013
400 427.12 394.27 407.617 399.166 402.308
400 428.86 413.119 409.266 394.718 397.86
400 423.037 375.42 403.745 400.215 403.357
400 427.931 414.69 408.386 392.907 396.049
400 428.09 400.553 408.537 397.719 400.861
400 427.362 395.841 407.847 398.827 401.969
400 426.902 419.403 407.41 390.137 393.279
400 406.281 441.394 387.86 396.074 399.216
400 403.698 329.867 385.412 391.86 395.002
400 426.735 387.987 407.252 400.712 403.854
400 402.042 326.726 383.841 390.884 394.026
400 426.215 422.544 406.759 391.172 394.314
400 403.352 441.394 385.084 395.124 398.266
400 424.5 430.398 405.132 395.898 399.04
400 427.446 411.549 407.925 393.13 396.272
400 426.357 427.257 406.894 394.06 397.202
400 413.068 439.823 394.295 397.328 400.47
400 425.179 381.704 405.776 401.241 404.383
400 427.362 395.841 407.847 398.372 401.514
400 411.983 345.575 393.266 396.831 399.973
400 422.156 430.398 402.911 395.138 398.28
400 399.314 320.442 381.255 389.668 392.81
400 417.095 359.712 398.113 398.279 401.421
400 403.009 442.965 384.758 395.96 399.102
400 413.539 351.858 394.741 396.666 399.808
400 404.284 329.867 385.967 392.596 395.738
400 420.784 436.681 401.61 398.027 401.169
400 426.902 419.403 407.41 390.137 393.279
400 408.968 439.823 390.407 396.271 399.413
400 404.284 329.867 385.967 392.778 395.92
400 428.274 413.119 408.711 393.8 396.942
400 427.12 394.27 407.617 398.802 401.944
400 428.333 402.124 408.767 397.562 400.704
400 422.156 430.398 402.911 395.047 398.189
400 403.456 328.296 385.182 392.108 395.25
400 427.362 395.841 407.847 398.372 401.514
400 426.392 389.557 406.926 399.819 402.961
400 418.995 364.425 399.914 399.098 402.24
400 425.22 389.557 405.816 398.074 401.216
400 421.137 370.708 401.945 399.578 402.72
400 426.357 427.257 406.894 394.151 397.293
400 426.392 389.557 406.926 399.546 402.688
400 428.96 409.978 409.362 395.495 398.637
400 417.855 436.681 398.833 397.168 400.31
400 420.541 435.111 401.38 397.001 400.143
400 424.25 383.274 404.896 398.975 402.117
400 418.198 435.111 399.158 396.423 399.565
400 413.882 350.288 395.066 397.559 400.701
400 424.836 383.274 405.451 399.711 402.853
400 417.338 361.283 398.343 397.94 401.082
400 421.813 431.969 402.586 395.701 398.843
400 426.877 392.699 407.386 398.959 402.101
400 428.86 413.119 409.266 394.354 397.496
400 405.941 333.009 387.538 393.572 396.714
400 424.735 386.416 405.356 398.57 401.712
400 400.971 323.584 382.825 390.644 393.786
400 428.818 405.265 409.227 397.066 400.208
400 417.095 359.712 398.113 398.279 401.421
400 397.657 317.301 379.684 388.692 391.834
400 399.495 442.965 381.426 394.82 397.962
400 411.983 345.575 393.266 396.922 400.064
400 428.96 409.978 409.362 395.768 398.91
400 408.912 340.863 390.354 394.631 397.773
400 414.482 441.394 395.635 398.825 401.967
400 401.009 441.394 382.862 394.364 397.506
400 404.767 442.965 386.424 396.53 399.672
400 425.806 389.557 406.371 399.083 402.225
400 415.196 355 396.312 397.46 400.602
400 421.47 433.54 402.26 396.264 399.406
400 420.884 433.54 401.705 396.074 399.216
400 417.823 364.425 398.803 397.717 400.859
400 427.948 395.841 408.402 399.472 402.614
400 425.973 420.973 406.529 390.692 393.834
400 399.314 320.442 381.255 389.668 392.81
