 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,3404,272.007,77.987,14,32,139.160,73.960
2,3397,271.664,77.833,31,14,132.917,74.006
3,3404,268.836,78.006,35,88,53.865,73.000
4,3406,271.907,77.878,10,51,167.391,74.583
5,3406,271.907,77.698,38,88,58.151,74.330
6,3397,270.250,77.698,11,61,31.849,74.108
7,3401,271.078,77.698,38,11,121.849,73.694
8,3400,270.250,77.524,21,78,59.797,73.921
9,3406,271.321,78.006,35,13,126.135,74.000
10,3409,271.664,77.833,17,72,47.083,74.501
11,3400,270.250,77.987,14,68,40.840,73.921
12,3407,271.078,77.936,20,24,123.486,73.676
13,3411,271.421,77.698,11,38,148.151,73.425
14,3402,271.664,78.006,12,64,36.135,74.000
15,3408,272.250,77.827,40,12,117.553,74.061
16,3409,272.149,77.833,46,90,69.702,74.385
17,3402,271.907,77.698,37,87,58.151,74.511
18,3404,272.250,77.801,14,67,37.164,73.642
19,3408,271.907,77.936,23,21,146.514,73.694
20,3410,273.321,77.878,24,81,65.739,74.108
21,3403,271.664,78.032,22,21,120.838,74.511
22,3401,271.907,77.782,10,54,171.870,73.874
23,3409,271.078,77.698,22,21,148.151,74.108
24,3413,271.664,78.006,36,88,53.865,74.000
25,3408,272.735,77.801,13,34,142.836,74.591
26,3407,270.836,77.987,14,68,40.840,74.108
27,3408,272.250,77.897,14,68,41.878,73.989
28,3408,272.735,77.897,21,22,150.803,74.249
29,3405,271.078,77.878,24,81,65.739,74.214
30,3410,271.078,77.698,22,22,148.151,74.108
31,3401,272.250,77.698,20,78,58.151,74.061
32,3410,271.078,77.833,27,17,110.298,73.685
33,3409,271.078,77.987,17,73,49.160,74.108
34,3400,271.078,77.647,35,87,82.600,73.989
35,3413,269.664,77.936,12,64,33.486,73.703
36,3398,271.907,77.782,54,10,98.130,73.874
37,3400,269.421,77.801,25,81,37.164,73.694
38,3409,273.321,78.006,19,76,53.865,74.606
39,3414,271.078,77.833,17,27,159.702,73.668
40,3408,272.735,77.897,11,61,29.197,74.366
41,3406,271.078,77.936,23,80,33.486,74.297
42,3409,273.321,77.987,17,73,49.160,74.043
43,3408,271.078,77.666,20,24,124.509,73.659
44,3409,271.907,77.698,39,11,121.849,74.059
45,3408,272.492,77.897,28,16,138.122,74.512
46,3402,272.250,78.006,24,81,36.135,74.000
47,3408,273.078,77.897,32,14,131.878,74.463
48,3404,271.907,78.006,24,81,36.135,74.000
49,3405,270.492,77.833,10,45,159.702,73.703
50,3401,271.078,77.698,12,37,148.151,74.012
