Reference   BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
261.269 272.108 259.181 260.656 257.774 260.916
261.269 272.35 260.752 260.886 258.072 261.214
261.269 270.108 257.611 258.76 257.088 260.23
261.269 272.593 262.323 261.116 258.37 261.512
261.269 273.179 262.323 261.671 257.832 260.974
261.269 270.936 259.181 259.545 257.03 260.172
261.269 272.35 260.752 260.886 258.163 261.305
261.269 270.936 259.181 259.545 256.848 259.99
261.269 272.593 262.323 261.116 258.188 261.33
261.269 272.35 260.752 260.886 257.981 261.123
261.269 270.936 259.181 259.545 257.394 260.536
261.269 272.35 260.752 260.886 258.163 261.305
261.269 272.108 259.181 260.656 258.047 261.189
261.269 272.936 260.752 261.441 258.444 261.586
261.269 273.522 260.752 261.997 258.543 261.685
261.269 273.421 263.894 261.901 258.858 262
261.269 272.593 262.323 261.116 258.279 261.421
261.269 273.522 260.752 261.997 258.634 261.776
261.269 273.179 262.323 261.671 258.924 262.066
261.269 274.007 263.894 262.457 258.866 262.008
261.269 272.35 260.752 260.886 258.163 261.305
261.269 273.179 262.323 261.671 258.742 261.884
261.269 271.765 260.752 260.33 257.7 260.842
261.269 272.936 260.752 261.441 258.626 261.768
261.269 274.007 263.894 262.457 259.048 262.19
261.269 272.108 259.181 260.656 257.41 260.552
261.269 273.522 260.752 261.997 258.361 261.503
261.269 273.421 263.894 261.901 259.222 262.364
261.269 272.35 260.752 260.886 258.345 261.487
261.269 272.35 260.752 260.886 257.708 260.85
261.269 272.936 260.752 261.441 258.353 261.495
261.269 272.35 260.752 260.886 257.89 261.032
261.269 271.765 260.752 260.33 257.518 260.66
261.269 271.765 260.752 260.33 257.882 261.024
261.269 270.936 259.181 259.545 257.758 260.9
261.269 272.593 262.323 261.116 258.188 261.33
261.269 270.693 257.611 259.315 257.096 260.238
261.269 274.593 263.894 263.012 259.42 262.562
261.269 272.35 260.752 260.886 257.89 261.032
261.269 273.421 263.894 261.901 259.04 262.182
261.269 272.35 260.752 260.886 258.254 261.396
261.269 274.593 263.894 263.012 259.511 262.653
261.269 272.35 260.752 260.886 257.708 260.85
261.269 273.179 262.323 261.671 258.651 261.793
261.269 273.179 262.323 261.671 258.742 261.884
261.269 273.522 260.752 261.997 258.452 261.594
261.269 272.936 260.752 261.441 258.717 261.859
261.269 273.179 262.323 261.671 258.378 261.52
261.269 271.765 260.752 260.33 257.882 261.024
261.269 271.765 260.752 260.33 257.518 260.66
261.269 271.522 259.181 260.1 257.584 260.726
261.269 272.35 260.752 260.886 258.163 261.305
261.269 273.179 262.323 261.671 258.014 261.156
261.269 273.522 260.752 261.997 258.634 261.776
261.269 272.35 260.752 260.886 258.072 261.214
261.269 273.765 262.323 262.227 259.023 262.165
261.269 273.765 262.323 262.227 259.205 262.347
261.269 274.35 262.323 262.782 259.304 262.446
261.269 272.35 260.752 260.886 258.8 261.942
261.269 273.179 262.323 261.671 258.287 261.429
261.269 274.007 263.894 262.457 259.23 262.372
261.269 270.936 259.181 259.545 257.121 260.263
261.269 271.179 260.752 259.775 257.692 260.834
261.269 271.765 260.752 260.33 258.519 261.661
261.269 272.936 260.752 261.441 258.626 261.768
261.269 272.108 259.181 260.656 257.774 260.916
261.269 270.936 259.181 259.545 257.576 260.718
261.269 272.35 260.752 260.886 258.072 261.214
261.269 271.522 259.181 260.1 257.766 260.908
261.269 272.108 259.181 260.656 257.683 260.825
261.269 272.35 260.752 260.886 258.527 261.669
261.269 270.936 259.181 259.545 256.848 259.99
261.269 271.765 260.752 260.33 257.882 261.024
261.269 271.522 259.181 260.1 257.493 260.635
261.269 274.35 262.323 262.782 258.667 261.809
261.269 273.179 262.323 261.671 258.56 261.702
261.269 270.693 257.611 259.315 257.369 260.511
261.269 272.108 259.181 260.656 257.865 261.007
261.269 272.936 260.752 261.441 257.898 261.04
261.269 273.522 260.752 261.997 258.452 261.594
261.269 269.865 256.04 258.53 256.79 259.932
261.269 272.593 262.323 261.116 258.552 261.694
261.269 274.35 262.323 262.782 258.849 261.991
261.269 273.765 262.323 262.227 259.387 262.529
261.269 271.522 259.181 260.1 258.13 261.272
261.269 272.35 260.752 260.886 258.254 261.396
261.269 270.936 259.181 259.545 257.212 260.354
261.269 272.108 259.181 260.656 258.138 261.28
261.269 272.593 262.323 261.116 258.552 261.694
261.269 271.522 259.181 260.1 257.675 260.817
261.269 272.35 260.752 260.886 258.254 261.396
261.269 272.35 260.752 260.886 258.254 261.396
261.269 273.179 262.323 261.671 258.742 261.884
261.269 271.765 260.752 260.33 257.791 260.933
261.269 272.108 259.181 260.656 258.047 261.189
261.269 272.35 260.752 260.886 257.708 260.85
261.269 272.35 260.752 260.886 258.072 261.214
261.269 272.936 260.752 261.441 258.08 261.222
261.269 270.936 259.181 259.545 257.212 260.354
261.269 273.179 262.323 261.671 258.924 262.066
261.269 272.108 259.181 260.656 257.774 260.916
261.269 271.765 260.752 260.33 258.428 261.57
261.269 270.936 259.181 259.545 257.485 260.627
261.269 275.179 263.894 263.567 259.428 262.57
261.269 271.765 260.752 260.33 257.7 260.842
261.269 271.765 260.752 260.33 257.427 260.569
261.269 271.765 260.752 260.33 257.518 260.66
261.269 274.007 263.894 262.457 258.684 261.826
261.269 273.179 262.323 261.671 258.196 261.338
261.269 270.936 259.181 259.545 257.03 260.172
261.269 273.179 262.323 261.671 258.742 261.884
261.269 272.693 259.181 261.211 257.964 261.106
261.269 271.522 259.181 260.1 257.948 261.09
261.269 272.108 259.181 260.656 257.774 260.916
261.269 272.936 260.752 261.441 257.898 261.04
261.269 274.007 263.894 262.457 259.139 262.281
261.269 270.35 259.181 258.99 256.931 260.073
261.269 273.421 263.894 261.901 259.04 262.182
261.269 273.765 262.323 262.227 258.841 261.983
261.269 272.108 259.181 260.656 257.683 260.825
261.269 273.522 260.752 261.997 257.724 260.866
261.269 271.522 259.181 260.1 257.584 260.726
261.269 273.765 262.323 262.227 258.932 262.074
261.269 273.765 262.323 262.227 258.75 261.892
261.269 271.765 260.752 260.33 257.518 260.66
261.269 272.35 260.752 260.886 257.89 261.032
261.269 273.179 262.323 261.671 258.924 262.066
261.269 270.108 257.611 258.76 256.724 259.866
