BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
4.14835 -0.799136 -0.234834 -1.33781 -0.135377
4.24122 -0.197919 -0.146787 -1.22375 -0.0213186
3.38285 -1.40035 -0.960567 -1.60038 -0.397941
4.33409 0.403298 -0.0587411 -1.10969 0.09274
4.55829 0.403298 0.153821 -1.31561 -0.113178
3.69993 -0.799136 -0.659958 -1.62258 -0.420141
4.24122 -0.197919 -0.146787 -1.18892 0.0135114
3.69993 -0.799136 -0.659958 -1.69224 -0.489801
4.33409 0.403298 -0.0587411 -1.17935 0.0230801
4.24122 -0.197919 -0.146787 -1.25858 -0.0561485
3.69993 -0.799136 -0.659958 -1.48326 -0.280821
4.24122 -0.197919 -0.146787 -1.18892 0.0135114
4.14835 -0.799136 -0.234834 -1.23332 -0.0308873
4.46542 -0.197919 0.0657751 -1.08137 0.121063
4.68963 -0.197919 0.278338 -1.04348 0.158955
4.65116 1.00452 0.241868 -0.922914 0.27952
4.33409 0.403298 -0.0587411 -1.14452 0.05791
4.68963 -0.197919 0.278338 -1.00865 0.193785
4.55829 0.403298 0.153821 -0.897653 0.304782
4.87537 1.00452 0.45443 -0.919852 0.282582
4.24122 -0.197919 -0.146787 -1.18892 0.0135114
4.55829 0.403298 0.153821 -0.967313 0.235122
4.01701 -0.197919 -0.35935 -1.36614 -0.1637
4.46542 -0.197919 0.0657751 -1.01171 0.190723
4.87537 1.00452 0.45443 -0.850192 0.352242
4.14835 -0.799136 -0.234834 -1.47713 -0.274697
4.68963 -0.197919 0.278338 -1.11314 0.0892953
4.65116 1.00452 0.241868 -0.783594 0.41884
4.24122 -0.197919 -0.146787 -1.11926 0.0831713
4.24122 -0.197919 -0.146787 -1.36307 -0.160638
4.46542 -0.197919 0.0657751 -1.1162 0.0862333
4.24122 -0.197919 -0.146787 -1.29341 -0.0909785
4.01701 -0.197919 -0.35935 -1.4358 -0.23336
4.01701 -0.197919 -0.35935 -1.29648 -0.0940405
3.69993 -0.799136 -0.659958 -1.34394 -0.141501
4.33409 0.403298 -0.0587411 -1.17935 0.0230801
