 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,2980,240.451,73.878,31,16,140.492,67.491
2,2993,239.865,73.824,21,76,61.699,66.729
3,2991,240.693,73.756,29,17,102.529,67.673
4,2983,239.279,73.817,13,61,35.628,67.646
5,2985,240.693,73.824,45,11,118.301,67.276
6,2989,239.522,73.817,40,88,54.372,67.578
7,2986,239.279,73.756,29,16,102.529,67.655
8,2984,238.451,73.817,12,39,144.372,67.363
9,2987,240.108,73.817,17,72,54.372,67.606
10,2992,240.693,74.027,29,17,141.582,67.814
11,2988,242.108,73.756,30,17,139.399,67.650
12,2983,240.108,73.817,40,13,125.628,67.062
13,2988,239.865,73.817,27,17,144.372,67.383
14,2988,241.522,73.926,19,25,120.033,67.583
15,2984,239.865,73.763,52,12,105.732,67.624
16,2981,238.108,73.824,21,23,118.301,67.366
17,2987,240.936,73.817,12,60,35.628,67.646
18,2989,239.865,73.736,49,12,110.647,67.747
19,2991,240.451,73.763,18,74,15.732,67.609
20,2985,239.279,73.783,11,57,32.829,66.719
21,2981,238.451,73.573,43,11,121.097,66.710
22,2981,240.108,73.817,39,88,54.372,67.737
23,2986,240.693,73.546,28,83,78.232,67.623
24,2987,238.693,73.817,19,73,54.372,67.646
25,2984,240.936,73.736,20,75,20.647,67.475
26,2979,240.693,73.756,31,17,139.399,67.402
27,2984,238.693,73.553,12,59,172.972,67.030
28,2991,242.108,73.878,30,17,140.492,67.673
29,2985,240.108,73.682,19,74,18.189,67.537
30,2985,237.865,73.600,18,28,126.714,67.159
31,2980,239.865,73.498,17,72,14.982,67.673
32,2987,239.279,73.783,19,26,122.829,66.703
33,2979,239.279,73.824,22,77,24.829,67.479
34,2974,238.451,73.824,22,21,155.171,66.967
35,2978,239.865,73.756,15,68,49.399,67.624
36,2989,240.693,73.682,25,81,71.811,67.609
37,2986,238.451,73.600,12,61,36.714,67.550
38,2987,240.108,73.817,39,13,125.628,67.062
39,2985,240.936,73.824,22,78,65.171,67.551
40,2989,240.936,73.824,22,22,114.829,67.524
41,2983,240.108,73.824,11,46,151.699,67.352
42,2990,240.451,73.763,52,89,74.268,67.673
43,2985,238.451,73.926,25,81,30.033,66.703
44,2984,239.279,73.736,49,11,110.647,67.745
45,2984,240.108,73.736,10,51,159.353,67.618
46,2985,240.693,73.817,27,19,144.372,67.483
47,2986,239.279,73.817,11,60,35.628,67.499
48,2990,238.693,73.682,59,12,97.800,67.474
49,2984,239.279,73.600,29,82,36.714,67.619
50,2983,239.865,73.878,13,63,39.508,67.674
51,2987,238.693,73.824,22,77,65.171,67.139
52,2987,241.279,73.756,16,69,49.399,67.718
53,2983,240.693,73.756,16,69,49.399,67.421
54,2987,239.279,73.817,28,82,35.628,67.430
55,2985,240.108,73.682,25,81,71.811,67.556
56,2982,240.108,73.600,16,71,53.286,67.094
57,2987,240.936,73.783,26,18,147.171,67.619
58,2991,239.865,73.756,15,69,49.399,67.641
59,2986,238.693,73.817,27,18,144.372,67.115
60,2982,238.451,73.817,39,13,125.628,66.935
61,2982,239.622,73.682,11,51,161.811,67.769
62,2982,237.865,73.573,26,18,148.903,66.703
63,2990,240.108,73.824,23,22,114.829,67.685
64,2988,241.522,73.878,16,69,50.492,67.582
65,2984,240.936,73.926,12,57,30.033,67.596
66,2983,240.108,73.682,51,11,108.189,67.673
67,2984,239.279,73.824,23,22,155.171,67.136
68,2988,241.522,73.756,16,69,49.399,67.582
69,2989,240.693,73.756,37,12,130.601,67.618
70,2983,239.279,73.824,20,75,61.699,66.687
71,2989,239.279,73.783,26,81,32.829,67.352
