Reference   BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
229.991 239.966 229.336 230.183 226.984 230.126
229.991 239.966 229.336 230.183 226.984 230.126
229.991 240.208 230.907 230.413 227.828 230.97
229.991 239.38 229.336 229.628 226.43 229.572
229.991 240.794 230.907 230.968 227.29 230.432
229.991 239.622 230.907 229.858 227.456 230.598
229.991 239.38 229.336 229.628 226.976 230.118
229.991 238.551 227.765 228.842 226.67 229.812
229.991 240.208 230.907 230.413 227.282 230.424
229.991 240.208 230.907 230.413 227.1 230.242
229.991 242.208 232.478 232.309 228.787 231.929
229.991 240.208 230.907 230.413 227.282 230.424
229.991 239.966 229.336 230.183 226.802 229.944
229.991 241.622 232.478 231.754 228.142 231.284
229.991 239.38 229.336 229.628 227.067 230.209
229.991 238.208 229.336 228.517 226.778 229.92
229.991 241.037 232.478 231.199 227.77 230.912
229.991 239.38 229.336 229.628 227.158 230.3
229.991 239.966 229.336 230.183 226.984 230.126
229.991 239.38 229.336 229.628 226.612 229.754
229.991 238.551 227.765 228.842 226.124 229.266
229.991 240.208 230.907 230.413 227.464 230.606
229.991 240.208 230.907 230.413 227.282 230.424
229.991 238.794 229.336 229.072 226.604 229.746
229.991 241.037 232.478 231.199 227.406 230.548
229.991 240.208 230.907 230.413 227.373 230.515
229.991 238.794 229.336 229.072 226.604 229.746
229.991 241.622 232.478 231.754 227.96 231.102
229.991 240.208 230.907 230.413 227.555 230.697
229.991 237.966 227.765 228.287 226.116 229.258
229.991 239.38 229.336 229.628 226.976 230.118
229.991 239.38 229.336 229.628 226.612 229.754
229.991 239.38 229.336 229.628 227.34 230.482
229.991 238.551 227.765 228.842 226.67 229.812
229.991 239.38 229.336 229.628 226.612 229.754
229.991 240.208 230.907 230.413 227.464 230.606
229.991 237.966 227.765 228.287 225.934 229.076
229.991 240.208 230.907 230.413 226.918 230.06
229.991 241.037 232.478 231.199 228.134 231.276
229.991 241.037 232.478 231.199 228.134 231.276
229.991 240.208 230.907 230.413 227.646 230.788
229.991 239.966 229.336 230.183 227.53 230.672
229.991 238.551 227.765 228.842 226.306 229.448
229.991 239.38 229.336 229.628 227.158 230.3
229.991 240.208 230.907 230.413 227.555 230.697
229.991 240.794 230.907 230.968 227.29 230.432
229.991 239.38 229.336 229.628 226.794 229.936
229.991 238.794 229.336 229.072 226.422 229.564
229.991 239.38 229.336 229.628 226.794 229.936
229.991 239.38 229.336 229.628 226.794 229.936
229.991 238.794 229.336 229.072 226.968 230.11
229.991 240.794 230.907 230.968 227.927 231.069
229.991 240.208 230.907 230.413 227.646 230.788
229.991 239.38 229.336 229.628 226.976 230.118
229.991 239.622 230.907 229.858 227.456 230.598
229.991 240.208 230.907 230.413 227.373 230.515
229.991 241.037 232.478 231.199 227.952 231.094
229.991 239.966 229.336 230.183 227.166 230.308
229.991 238.794 229.336 229.072 226.786 229.928
229.991 238.551 227.765 228.842 226.124 229.266
229.991 239.137 227.765 229.398 226.86 230.002
229.991 237.966 227.765 228.287 225.934 229.076
229.991 240.208 230.907 230.413 227.464 230.606
229.991 241.037 232.478 231.199 227.77 230.912
229.991 241.037 232.478 231.199 227.588 230.73
