BoundaryC8   Crofton2   Crofton4   Matlab   MatlabPi
4.33702 -0.284576 0.0836236 -1.30734 0.0586246
4.33702 -0.284576 0.0836236 -1.30734 0.0586246
4.44252 0.398407 0.183644 -0.940369 0.425596
4.08232 -0.284576 -0.157847 -1.54822 -0.182255
4.69722 0.398407 0.425115 -1.17429 0.191673
4.18782 0.398407 -0.0578266 -1.10211 0.26385
4.08232 -0.284576 -0.157847 -1.31082 0.0551462
3.72212 -0.967558 -0.499338 -1.44387 -0.0779027
4.44252 0.398407 0.183644 -1.17777 0.188195
4.44252 0.398407 0.183644 -1.2569 0.109061
5.31212 1.08139 1.00808 -0.523396 0.842569
4.44252 0.398407 0.183644 -1.17777 0.188195
4.33702 -0.284576 0.0836236 -1.38647 -0.0205091
5.05742 1.08139 0.766606 -0.803842 0.562123
4.08232 -0.284576 -0.157847 -1.27125 0.094713
3.57292 -0.284576 -0.640789 -1.39691 -0.0309443
4.80272 1.08139 0.525135 -0.965587 0.400377
4.08232 -0.284576 -0.157847 -1.23168 0.13428
4.33702 -0.284576 0.0836236 -1.30734 0.0586246
4.08232 -0.284576 -0.157847 -1.46909 -0.103121
3.72212 -0.967558 -0.499338 -1.68127 -0.315304
4.44252 0.398407 0.183644 -1.09864 0.267329
4.44252 0.398407 0.183644 -1.17777 0.188195
3.82762 -0.284576 -0.399318 -1.47256 -0.106599
4.80272 1.08139 0.525135 -1.12385 0.24211
4.44252 0.398407 0.183644 -1.1382 0.227762
3.82762 -0.284576 -0.399318 -1.47256 -0.106599
5.05742 1.08139 0.766606 -0.882975 0.482989
4.44252 0.398407 0.183644 -1.05907 0.306895
3.46742 -0.967558 -0.740809 -1.68475 -0.318782
4.08232 -0.284576 -0.157847 -1.31082 0.0551462
4.08232 -0.284576 -0.157847 -1.46909 -0.103121
4.08232 -0.284576 -0.157847 -1.15255 0.213413
3.72212 -0.967558 -0.499338 -1.44387 -0.0779027
4.08232 -0.284576 -0.157847 -1.46909 -0.103121
4.44252 0.398407 0.183644 -1.09864 0.267329
