CenterX   CenterY   Theta
50.3745 50.9507 131.759
50.5987 50.156 28.079
50.0581 50.8662 108.201
50.7081 50.0206 174.584
50.8324 50.2123 32.7285
50.1834 50.3042 94.4562
50.4319 50.2912 110.134
50.1395 50.2921 65.9451
50.4561 50.7852 35.9413
50.5142 50.5924 8.36107
50.6075 50.1705 11.7093
50.9489 50.9656 145.512
50.3046 50.0977 123.162
50.4402 50.122 89.1318
50.0344 50.9093 46.5804
50.6625 50.3117 93.6122
50.5467 50.1849 174.525
50.7751 50.9395 161.069
50.5979 50.9219 15.9287
50.196 50.0452 58.5595
50.3887 50.2713 149.173
50.3568 50.2809 97.6853
50.1409 50.8022 13.4191
50.9869 50.7722 35.7688
50.0055 50.8155 127.234
50.729 50.7713 13.328
50.3585 50.1159 155.359
50.6233 50.3309 11.4405
50.311 50.3252 131.329
50.6376 50.8872 84.9987
50.1196 50.7132 136.941
50.5613 50.771 88.8832
50.5227 50.4275 4.57544
50.1079 50.0314 114.554
50.3144 50.5086 163.362
50.2493 50.4104 135.999
50.2288 50.077 52.1553
50.1612 50.9297 145.462
50.6334 50.8715 144.661
50.1866 50.8926 97.0816
50.8074 50.8961 57.2406
50.1101 50.2279 76.8794
50.818 50.8607 1.25138
50.5107 50.4174 39.9794
50.1199 50.3376 169.724
50.3232 50.5188 126.543
50.3636 50.9718 173.241
50.2518 50.4972 54.1581
50.2848 50.0369 109.722
50.5027 50.0515 50.1564
50.9083 50.2396 26.0811
50.4895 50.9857 43.5699
50.6721 50.7616 42.7748
50.7282 50.3678 113.815
50.6335 50.5358 16.2522
50.8353 50.3208 33.5733
50.0408 50.5909 121.962
50.0166 50.5121 40.7692
50.6452 50.1744 124.369
50.3867 50.9367 24.7538
50.3411 50.1135 166.445
50.8773 50.2579 118.797
50.8172 50.5552 95.3371
50.2419 50.0931 161.499
50.9004 50.6331 61.0254
50.3492 50.726 161.48
50.8871 50.7799 115.566
50.0841 50.1616 161.74
50.6064 50.0092 18.2649
50.6635 50.0051 28.9454
50.5487 50.6919 117.353
