Reference   Crofton2   Crofton4   Matlab   MatlabPi
227.067 226.195 226.946 223.982 227.124
227.067 226.195 226.391 224.156 227.298
227.067 224.624 226.161 223.312 226.454
227.067 227.765 227.176 224.553 227.695
227.067 226.195 226.946 224.164 227.306
227.067 227.765 227.732 224.834 227.976
227.067 227.765 227.732 224.288 227.43
227.067 229.336 227.962 224.95 228.092
227.067 227.765 227.176 224.462 227.604
227.067 227.765 227.176 224.098 227.24
227.067 226.195 226.946 223.891 227.033
227.067 226.195 226.391 223.792 226.934
227.067 227.765 227.176 224.098 227.24
227.067 227.765 226.621 224.454 227.596
227.067 229.336 228.517 224.594 227.736
227.067 229.336 227.406 224.942 228.084
227.067 227.765 227.176 224.462 227.604
227.067 224.624 226.716 223.775 226.917
227.067 226.195 226.946 223.618 226.76
227.067 224.624 225.05 223.296 226.438
227.067 227.765 227.176 224.28 227.422
227.067 227.765 227.176 223.916 227.058
227.067 227.765 227.732 224.288 227.43
227.067 227.765 227.176 224.462 227.604
227.067 226.195 226.946 224.346 227.488
227.067 227.765 227.176 224.28 227.422
227.067 227.765 227.176 224.28 227.422
227.067 227.765 227.176 223.916 227.058
227.067 227.765 227.732 224.288 227.43
227.067 227.765 226.621 224.272 227.414
227.067 227.765 228.287 225.024 228.166
227.067 227.765 227.176 224.826 227.968
227.067 229.336 227.962 224.95 228.092
227.067 226.195 226.391 223.974 227.116
227.067 224.624 226.161 223.676 226.818
227.067 226.195 226.391 223.61 226.752
227.067 226.195 226.391 223.974 227.116
227.067 226.195 226.391 223.974 227.116
227.067 227.765 227.732 224.743 227.885
227.067 227.765 227.732 224.47 227.612
227.067 227.765 226.621 224.272 227.414
227.067 226.195 226.946 223.982 227.124
227.067 227.765 226.621 224.454 227.596
227.067 226.195 226.946 224.346 227.488
227.067 227.765 227.176 224.098 227.24
227.067 227.765 227.176 224.462 227.604
227.067 227.765 227.176 224.644 227.786
227.067 226.195 227.502 224.627 227.769
227.067 226.195 226.946 223.982 227.124
227.067 227.765 227.176 224.553 227.695
227.067 226.195 226.391 223.974 227.116
227.067 226.195 226.946 223.709 226.851
227.067 226.195 226.946 223.982 227.124
227.067 226.195 226.946 224.437 227.579
227.067 226.195 226.946 223.8 226.942
227.067 226.195 226.391 224.429 227.571
227.067 227.765 227.176 224.644 227.786
227.067 229.336 228.517 225.231 228.373
227.067 226.195 226.946 223.982 227.124
227.067 227.765 227.176 224.462 227.604
227.067 224.624 226.716 223.411 226.553
227.067 226.195 226.391 223.792 226.934
227.067 226.195 226.391 223.61 226.752
227.067 226.195 226.946 223.891 227.033
227.067 227.765 226.621 224.09 227.232
227.067 227.765 227.732 224.288 227.43
227.067 226.195 226.391 224.156 227.298
227.067 226.195 226.391 223.974 227.116
227.067 226.195 227.502 224.172 227.314
227.067 224.624 225.05 223.296 226.438
227.067 226.195 226.391 223.974 227.116
227.067 224.624 226.161 223.403 226.545
227.067 227.765 227.176 224.462 227.604
227.067 226.195 226.946 223.891 227.033
227.067 227.765 227.732 224.47 227.612
227.067 227.765 227.732 224.106 227.248
227.067 227.765 226.621 223.908 227.05
227.067 227.765 227.732 224.743 227.885
227.067 227.765 227.176 224.28 227.422
227.067 229.336 227.962 224.95 228.092
227.067 226.195 226.391 223.792 226.934
227.067 224.624 225.605 222.94 226.082
227.067 226.195 226.391 223.61 226.752
227.067 227.765 226.621 223.544 226.686
227.067 226.195 226.391 223.974 227.116
227.067 226.195 226.391 223.974 227.116
227.067 227.765 227.176 224.098 227.24
227.067 229.336 227.406 224.942 228.084
227.067 229.336 227.962 224.95 228.092
227.067 227.765 227.732 224.834 227.976
227.067 229.336 227.962 224.95 228.092
227.067 226.195 225.835 223.602 226.744
227.067 227.765 227.732 224.925 228.067
227.067 227.765 227.176 224.644 227.786
227.067 226.195 226.946 223.982 227.124
227.067 227.765 227.176 224.098 227.24
227.067 229.336 227.962 224.768 227.91
227.067 226.195 226.946 224.164 227.306
227.067 226.195 226.946 223.618 226.76
227.067 226.195 226.391 223.428 226.57
227.067 227.765 227.176 224.553 227.695
227.067 227.765 227.732 224.652 227.794
227.067 226.195 226.946 224.255 227.397
227.067 226.195 226.946 223.982 227.124
227.067 229.336 227.962 225.132 228.274
227.067 229.336 227.406 224.578 227.72
227.067 226.195 226.391 223.61 226.752
227.067 224.624 226.716 223.593 226.735
227.067 227.765 227.176 224.28 227.422
227.067 226.195 226.391 223.246 226.388
227.067 227.765 227.176 224.735 227.877
227.067 227.765 227.732 224.652 227.794
227.067 227.765 227.176 224.28 227.422
227.067 227.765 226.621 224.09 227.232
227.067 227.765 227.732 224.288 227.43
227.067 227.765 227.732 224.561 227.703
227.067 227.765 227.176 224.371 227.513
227.067 227.765 227.176 224.644 227.786
227.067 226.195 226.391 224.156 227.298
227.067 227.765 227.732 224.015 227.157
227.067 226.195 226.391 223.701 226.843
227.067 227.765 227.176 224.553 227.695
227.067 226.195 226.391 223.974 227.116
227.067 230.907 228.192 225.43 228.572
227.067 229.336 228.517 224.776 227.918
227.067 227.765 227.732 224.834 227.976
227.067 227.765 227.176 224.462 227.604
227.067 227.765 227.176 224.098 227.24
227.067 226.195 226.946 224.073 227.215
227.067 227.765 227.176 224.28 227.422
227.067 226.195 225.835 223.602 226.744
227.067 226.195 226.391 223.701 226.843
227.067 226.195 227.502 224.172 227.314
227.067 227.765 227.176 224.098 227.24
227.067 226.195 226.391 224.156 227.298
227.067 224.624 225.605 223.668 226.81
227.067 229.336 227.962 224.95 228.092
227.067 227.765 227.732 224.47 227.612
227.067 227.765 228.287 225.024 228.166
227.067 226.195 226.391 223.701 226.843
227.067 226.195 226.391 223.428 226.57
227.067 227.765 227.176 224.644 227.786
227.067 227.765 227.732 224.834 227.976
227.067 227.765 226.621 223.908 227.05
227.067 226.195 227.502 224.172 227.314
