ShiftX   ShiftY   Rotation
0.252982 0.00615428 0.392015
0.434792 0.895948 0.403389
0.779383 0.888747 0.426215
0.197685 0.383758 0.662204
0.862993 0.387417 1.0787
0.983401 0.965515 1.1781
0.163842 0.335454 1.19707
0.597334 0.123447 1.68862
0.0089861 0.674528 1.87441
0.386571 0.261322 1.9134
0.0441601 0.170452 1.93025
0.956653 0.678738 1.93586
0.436147 0.0754768 2.06286
0.948977 0.991804 2.51825
0.786306 0.233603 2.8337
0.866289 0.364446 3.2576
0.173165 0.935471 3.25863
0.0749486 0.620787 3.42705
0.600743 0.00960714 3.43618
0.167972 0.924388 3.44683
0.73338 0.328512 3.58881
0.408444 0.140337 3.59234
0.527909 0.255367 3.77724
0.937572 0.560113 3.83766
0.521696 0.761448 4.05552
0.108193 0.542482 4.10055
0.158223 0.483963 4.25388
0.545203 0.755815 4.26106
0.524404 0.931033 4.62824
0.63761 0.490033 4.93631
0.401495 0.0961469 4.94385
0.649805 0.13942 5.28558
0.3969 0.933071 5.5287
0.623916 0.937919 5.67819
0.767405 0.731223 6.03062
0.178974 0.607962 6.12372
0.375576 0.875448 6.28933
0.502533 0.785994 6.32548
0.686667 0.724662 6.39044
0.25368 0.549367 6.47526
0.554741 0.723683 6.54849
0.624931 0.356298 6.7268
0.895501 0.856449 6.73201
0.362854 0.803521 6.89003
0.637557 0.547013 6.95852
0.191446 0.061481 7.1373
0.497794 0.405084 7.25977
0.182445 0.470284 7.48013
0.918383 0.175125 7.52457
0.431822 0.595584 7.89672
0.830188 0.0340653 8.02073
0.416776 0.287412 8.05828
0.904668 0.149487 8.07101
0.404825 0.551413 8.92821
0.331175 0.135699 8.95597
0.572139 0.182118 9.17316
0.845444 0.955101 9.20402
0.861014 0.259493 9.39962
0.595688 0.521839 9.50383
0.0846616 0.233174 9.53523
0.597267 0.0244878 9.65734
0.245454 0.716212 9.93851
0.732593 0.365449 10.0571
0.894651 0.471638 10.9152
0.514734 0.0146291 11.2109
0.603564 0.185332 11.2141
0.0650678 0.555799 11.362
0.540075 0.677093 11.4684
0.129187 0.644529 11.5895
0.614563 0.947551 11.6301
0.36365 0.362304 11.915
0.767758 0.862047 11.9791
0.0485341 0.750879 12.4434
0.109818 0.698095 12.5512
0.684023 0.843775 12.7476
0.514654 0.891036 12.7554
0.571641 0.697075 12.838
0.843707 0.0624146 12.9293
0.487738 0.189814 13.1739
0.810144 0.563352 13.2852
0.510244 0.555017 13.3138
0.926721 0.969374 13.3986
0.666928 0.565714 13.4988
0.148727 0.810528 13.7597
0.364553 0.631141 13.9015
0.865775 0.090861 13.9572
0.350285 0.358955 14.081
0.189026 0.474479 14.0972
0.472621 0.147354 14.2147
0.392781 0.465896 14.2521
0.61893 0.587641 14.4676
0.436766 0.797315 14.8111
0.260922 0.658385 14.8147
0.412472 0.850643 14.9138
0.419034 0.859905 15.6291
0.902422 0.0644299 15.6939
0.979616 0.927197 15.728
0.623569 0.427988 15.9996
0.0831841 0.627129 16.0365
0.732999 0.284184 16.2825
0.678685 0.292624 16.8302
0.826023 0.492958 17.5463
0.347451 0.944167 17.593
0.0588801 0.433479 17.7061
0.611822 0.96205 17.7141
0.124015 0.938885 17.7508
0.75953 0.780924 17.7814
0.794423 0.419183 18.1934
0.408627 0.388154 18.3454
0.943798 0.779954 18.6882
0.17378 0.402841 18.7991
0.942586 0.0683513 18.8982
0.46549 0.867842 18.9655
0.762994 0.308936 19.0906
0.75282 0.669293 19.3667
0.98121 0.770952 19.3749
0.973278 0.693884 19.4395
0.0400911 0.970264 19.5144
0.0159713 0.5093 19.602
0.54329 0.936141 20.5329
0.0338776 0.0461427 20.6905
0.657485 0.457221 20.7958
0.534903 0.537303 20.9317
0.666558 0.590817 20.9611
0.441341 0.226398 20.9765
0.272471 0.81002 20.9907
0.949669 0.895536 21.2727
0.728269 0.947959 21.3527
0.00632394 0.367586 21.4663
0.0993278 0.993095 21.7205
0.631692 0.384173 21.8703
0.288037 0.256011 21.9927
0.407622 0.710796 22.0879
0.781531 0.0309719 22.8456
0.354146 0.201072 22.8499
0.925809 0.131743 22.9028
0.720452 0.321597 22.9336
0.551926 0.894367 22.9569
