CenterX   CenterY
60.4271 60.9554
60.7242 60.5809
60.5403 60.7054
60.005 60.7825
60.9269 60.0083
60.8246 60.7673
60.9971 60.2277
60.9195 60.642
60.1053 60.2682
60.7638 60.8055
60.1043 60.4698
60.2191 60.9227
60.3203 60.8575
60.2598 60.8781
60.1883 60.7592
60.0317 60.6423
60.5669 60.3764
60.2125 60.7922
60.1454 60.4891
60.0128 60.1866
60.4852 60.8382
60.1411 60.7322
60.6911 60.0345
60.4889 60.9714
60.1125 60.7432
60.6385 60.5942
60.4986 60.5679
60.4265 60.0762
60.2906 60.5613
60.6333 60.9308
60.9778 60.0936
60.6617 60.6028
60.4738 60.3563
60.4756 60.671
60.9596 60.0891
60.7977 60.5908
60.9122 60.1011
60.2933 60.0516
60.5041 60.7684
60.283 60.2254
60.3313 60.4533
60.7374 60.5099
60.3825 60.9055
60.9653 60.6283
60.132 60.6183
60.383 60.9912
60.2868 60.7062
60.5352 60.1932
60.6894 60.0505
60.1844 60.0457
60.885 60.8398
60.1182 60.4104
60.1202 60.5721
60.9494 60.2564
60.9899 60.3498
60.2085 60.6658
60.9733 60.6227
60.0635 60.3735
60.1663 60.2313
60.0522 60.9018
60.7933 60.373
60.8321 60.7538
60.6219 60.3941
60.3593 60.0889
60.3417 60.5487
60.4605 60.6455
60.5135 60.8144
60.0972 60.4637
60.5898 60.1872
60.6113 60.0519
60.5757 60.8423
60.4997 60.439
60.1491 60.0283
60.7567 60.7961
60.2936 60.1152
60.3751 60.8289
60.8418 60.6652
60.9601 60.9431
60.1127 60.6483
60.4808 60.0665
60.8978 60.4972
60.7713 60.0604
60.2625 60.6511
60.1336 60.6385
60.3849 60.7657
60.6529 60.3815
60.3 60.3401
60.9189 60.4563
60.4425 60.4542
60.9453 60.2191
60.8824 60.0199
60.3418 60.766
60.3428 60.6188
60.453 60.0102
60.5991 60.6016
60.6494 60.3427
60.4933 60.7018
60.8878 60.0551
60.0984 60.6498
60.7641 60.988
60.1253 60.3645
60.6762 60.3758
60.8635 60.292
60.1335 60.6727
60.2026 60.8685
60.7512 60.4194
60.0002 60.1495
60.2738 60.8724
60.6013 60.3212
60.2843 60.4353
60.9038 60.9251
60.5053 60.6276
60.7193 60.0239
60.5749 60.0465
60.4225 60.4677
60.0226 60.0651
60.924 60.5341
60.3668 60.3639
60.1514 60.1496
60.3508 60.336
60.784 60.4867
60.4648 60.1313
60.8864 60.6746
60.8352 60.6565
60.9839 60.9798
60.2502 60.6246
60.7282 60.4982
60.8498 60.1909
60.1241 60.0028
60.153 60.5342
60.5106 60.3852
60.3106 60.0036
60.8152 60.6384
60.4483 60.2441
60.8034 60.824
60.8522 60.4673
60.9707 60.8412
60.0785 60.2376
60.8176 60.4058
60.4663 60.9515
60.965 60.7653
60.5745 60.9159
60.4954 60.166
60.326 60.2964
60.5583 60.0675
60.069 60.1668
60.9474 60.8111
60.7105 60.9702
60.9984 60.9875
60.1501 60.9585
60.5305 60.0741
60.3118 60.8952
60.8348 60.0023
60.6402 60.8032
60.2451 60.0641
60.2631 60.1027
60.4837 60.4189
60.3813 60.8868
60.4206 60.2838
60.0482 60.2192
60.2392 60.0293
60.7023 60.0076
60.6109 60.4081
60.2489 60.6525
60.3203 60.1037
60.5356 60.1649
60.8834 60.6665
60.8477 60.7627
60.807 60.633
60.7104 60.6887
60.3209 60.5316
60.8732 60.0545
60.5004 60.4328
60.9043 60.6302
60.983 60.5852
60.8406 60.4688
60.5452 60.1791
60.6345 60.963
60.534 60.4796
60.7937 60.0927
60.8808 60.0039
60.5115 60.6785
60.5657 60.4785
60.3205 60.6016
60.9132 60.6825
60.9467 60.0991
60.511 60.1101
60.5453 60.6888
60.1474 60.7776
60.3991 60.8983
60.307 60.0611
60.2195 60.0828
60.9504 60.0164
60.1147 60.0124
60.2162 60.0114
60.6424 60.517
60.2455 60.1937
60.0909 60.3684
60.0078 60.6027
60.4789 60.3081
60.7444 60.8393
60.2624 60.5142
60.4468 60.3412
60.8391 60.9825
60.6265 60.1813
60.123 60.58
60.3285 60.2682
60.5502 60.1805
60.6785 60.0557
60.0341 60.2865
60.0774 60.9006
60.8466 60.3957
