CenterX   CenterY   Theta
50.8829 50.5119 67.7165
50.8838 50.2458 29.5206
50.6586 50.2556 28.3686
50.2766 50.2987 1.06278
50.2287 50.6701 176.7
50.2561 50.6192 174.929
50.4922 50.301 107.477
50.5434 50.1298 99.3995
50.1491 50.2585 95.1681
50.8134 50.7185 90.1475
50.894 50.9507 83.224
50.2876 50.9264 89.3391
50.8773 50.2132 20.5922
50.1243 50.5741 83.947
50.374 50.7546 82.0084
50.706 50.9295 147.684
50.0398 50.9662 159.834
50.6388 50.011 175.907
50.3855 50.3997 91.8519
50.5516 50.9589 153.972
50.4767 50.8778 70.178
50.0492 50.3074 57.6377
50.4613 50.4881 127.213
50.3673 50.9414 48.2738
50.7454 50.9091 105.219
50.9065 50.0567 100.213
50.003 50.1532 73.3484
50.2334 50.5353 56.0891
50.7086 50.5871 43.0544
50.0641 50.0034 34.0331
50.4912 50.6165 22.0997
50.133 50.3142 15.8139
50.4088 50.2823 113.506
50.2198 50.6543 34.8243
50.0946 50.9184 100.483
50.4176 50.1104 99.494
50.1113 50.236 24.9577
50.3282 50.3464 167.176
50.8883 50.79 13.4047
50.4198 50.3967 74.3275
50.974 50.2379 19.5437
50.8 50.0448 172.792
50.8016 50.9606 137.835
50.6082 50.989 101.26
50.4959 50.253 35.273
50.4927 50.7109 177.771
50.3346 50.2202 62.1505
50.0916 50.6316 68.0739
50.8874 50.4265 160.339
50.2242 50.7969 154.491
50.4271 50.5889 16.5059
50.2506 50.5938 93.7043
50.9141 50.6633 89.9375
50.6348 50.0864 7.3453
50.7516 50.3238 11.9683
50.9233 50.0544 12.2297
50.5735 50.4392 4.92637
50.0497 50.2386 22.9142
50.6303 50.4764 19.7995
50.4354 50.9019 101.85
50.7306 50.981 105.878
50.5032 50.5316 109.132
50.7643 50.6006 130.065
50.4352 50.6465 31.8052
50.8765 50.2517 64.1671
50.3033 50.9678 34.6125
50.0979 50.6938 17.2844
50.1994 50.6071 127.748
50.8905 50.6026 155.242
50.676 50.785 96.5967
50.0044 50.1986 78.9704
50.5583 50.3851 116.435
50.5857 50.7663 31.4342
50.5031 50.3827 175.896
50.9361 50.8927 79.8353
50.7515 50.9094 67.1972
50.1163 50.5251 61.4025
50.8494 50.1862 37.5741
50.5304 50.0843 43.3385
50.6346 50.1111 109.322
50.8898 50.4907 56.4314
50.7621 50.9545 116.259
50.4853 50.4382 33.5488
50.4431 50.4881 155.004
50.7165 50.6203 16.1593
50.1118 50.5756 83.0983
50.5454 50.038 104.272
50.629 50.4819 28.8949
50.7544 50.7935 52.4465
50.5076 50.238 34.6832
50.8087 50.0667 35.2552
50.9748 50.5751 104.978
50.95 50.1 158.172
50.8915 50.214 30.0514
50.6461 50.1803 20.979
50.3653 50.4024 16.1658
50.6838 50.5469 177.473
50.2127 50.919 119.729
50.7435 50.3785 85.4583
50.1063 50.8838 80.1186
50.6682 50.7282 51.4158
50.5937 50.3705 143.215
50.0735 50.9927 139.685
50.0074 50.8889 155.542
50.6976 50.885 83.816
50.3716 50.083 179.499
50.8698 50.0001 122.396
50.6549 50.4118 85.7463
50.3883 50.4521 4.81677
50.4253 50.1058 7.76003
50.5561 50.6113 132.99
50.2569 50.7263 128.386
50.5038 50.8928 140.289
50.4949 50.7615 120.068
50.9781 50.1171 156.478
50.5679 50.1202 174.659
50.84 50.0623 50.0531
50.4096 50.6268 165.439
50.4152 50.7115 174.757
50.4355 50.6354 162.28
50.8716 50.1427 36.1076
50.6209 50.775 44.426
50.3695 50.3411 82.1501
50.1708 50.7456 17.636
50.8903 50.0821 140.674
50.8487 50.4509 108.959
50.3545 50.7591 106.099
50.6116 50.8432 82.2578
50.8828 50.4936 112.113
50.5622 50.7217 98.4186
50.7844 50.4464 164.143
50.0866 50.9989 130.965
50.5584 50.1428 150.775
50.7252 50.4174 49.1707
50.3147 50.5817 124.084
50.8639 50.2109 91.2153
50.425 50.2397 136.354
50.7919 50.3859 57.2498
50.4809 50.2785 28.4465
50.3954 50.2855 43.7491
50.6425 50.9569 33.5404
50.9095 50.5687 34.833
50.7042 50.6516 59.7414
50.5216 50.0248 4.00913
50.7985 50.1078 123.985
50.775 50.7915 127.704
50.9465 50.298 179.248
50.5544 50.6561 170.163
50.2246 50.9815 30.7119
50.9411 50.957 31.5027
50.0543 50.2682 98.2817
50.7752 50.6038 56.8973
50.4334 50.8428 112.704
50.2725 50.5145 159.912
50.1743 50.8201 32.6145
50.0973 50.0313 1.83165
50.9674 50.888 8.94337
50.6702 50.9766 39.6479
50.0841 50.3589 131.973
50.6021 50.4514 164.305
50.0032 50.5101 26.003
50.5046 50.5682 115.591
50.2069 50.3402 58.9454
50.615 50.5912 123.826
50.1664 50.6522 138.355
50.3958 50.3963 124.582
50.2377 50.9489 24.4354
50.5115 50.0414 56.2337
50.3218 50.9483 37.3214
50.4893 50.4447 147.753
50.0175 50.7885 97.3422
50.0455 50.5139 80.2123
50.4914 50.6599 90.9666
50.7419 50.9438 143.879
50.4377 50.0903 168.042
50.3784 50.7589 144.683
50.8042 50.5958 58.4977
50.7483 50.4765 92.8063
50.4801 50.424 31.6832
50.2806 50.8777 157.294
50.4896 50.6063 129.184
50.14 50.5831 35.1
50.0633 50.0639 169.176
50.5202 50.1501 116.387
50.5838 50.3123 120.986
50.3971 50.2195 43.3477
50.3864 50.0335 62.4101
50.552 50.5584 12.0267
50.5819 50.4759 119.148
50.7861 50.19 173.072
50.5351 50.9145 116.22
50.1535 50.0522 2.70914
50.1964 50.5277 26.5809
50.0731 50.5548 176.631
50.1629 50.1566 29.4607
50.0785 50.7184 80.3278
50.5101 50.6051 158.953
50.1219 50.2903 11.2216
50.1435 50.068 33.3156
50.7687 50.8977 93.2889
50.8446 50.2288 77.1071
50.3683 50.696 169.989
50.2179 50.753 93.5709
50.7601 50.8809 42.7461
50.9397 50.0272 101.073
50.8905 50.167 76.5437
50.3269 50.5676 148.858
50.3917 50.6214 173.727
50.8285 50.8134 171.917
50.1831 50.6704 132.407
50.8196 50.681 59.4106
50.0347 50.1202 51.0684
50.8382 50.9014 80.9905
50.9885 50.0338 154.701
50.5286 50.9755 157.9
50.1613 50.3534 10.4412
50.4441 50.4411 58.8061
50.9144 50.4946 127.843
50.6646 50.8318 46.4464
50.7692 50.4106 10.0182
50.8706 50.9723 21.0557
50.5083 50.7556 19.7976
50.0339 50.4411 23.361
50.9716 50.9402 167.962
50.9838 50.693 126.446
50.3713 50.0641 79.8213
50.543 50.5402 141.531
50.6014 50.947 113.619
50.8788 50.1227 146.439
50.9776 50.2312 164.293
50.6764 50.7251 123.442
50.7967 50.5296 135.835
50.5036 50.907 22.2498
50.8522 50.175 137.55
