CenterX   CenterY   Theta
50.7409 50.2675 43.9645
50.1654 50.6072 110.713
50.9275 50.9582 144.325
50.6127 50.8884 93.3985
50.4633 50.2462 136.437
50.5949 50.0049 117.576
50.9553 50.4987 108.828
50.7135 50.063 32.8392
50.878 50.7856 168.967
50.3002 50.8572 147.191
50.8304 50.4355 97.3052
50.9136 50.5977 1.23679
50.2723 50.1375 127.566
50.0415 50.4367 122.464
50.5517 50.1779 15.3982
50.1868 50.3688 167.596
50.6966 50.1663 139.23
50.4132 50.7086 59.7847
50.5511 50.9965 120.093
50.889 50.3583 78.1227
50.733 50.9945 85.7961
50.3316 50.6053 139.168
50.3856 50.2039 69.6013
50.065 50.4323 124.152
50.5066 50.7169 54.219
50.706 50.9152 127.044
50.1331 50.6655 67.6017
50.5024 50.399 172.878
50.1157 50.5612 84.1006
50.1589 50.5252 57.5532
50.7813 50.0629 112.022
50.6371 50.0811 152.337
50.8619 50.7587 168.792
50.6476 50.996 132.519
50.0575 50.0093 149.564
50.335 50.269 19.4941
50.1817 50.3838 150.679
50.7617 50.9872 127.98
50.3448 50.5376 133.953
50.9294 50.1284 39.7777
50.328 50.3381 156.115
50.6757 50.017 93.1391
50.5123 50.396 165.728
50.9918 50.5547 102.744
50.2321 50.7982 42.8114
50.5733 50.6194 81.6711
50.7544 50.5659 140.016
50.7342 50.9654 137.34
50.5669 50.5997 106.43
50.9616 50.4416 124.646
50.2359 50.7706 28.8001
50.0787 50.3107 58.3641
50.1769 50.246 178.531
50.6113 50.483 43.9678
50.9739 50.7154 125.71
50.1748 50.4704 144.916
50.1097 50.795 156.245
50.0973 50.0658 10.8509
50.455 50.8794 62.6135
50.4367 50.1312 117.612
50.5375 50.7291 23.7828
50.8942 50.4579 18.1129
50.401 50.8683 172.34
50.0214 50.945 165.944
50.611 50.4902 80.0551
50.3968 50.1519 156.63
50.4857 50.8599 131.079
50.5426 50.6308 48.4337
50.5918 50.8663 166.598
50.9511 50.0667 170.305
50.4966 50.068 27.6555
50.2961 50.1687 132.335
50.8797 50.8514 120.965
50.7985 50.1005 94.0803
50.0587 50.8136 62.2234
50.8289 50.725 60.7129
50.2115 50.3398 82.6725
50.5287 50.4012 135.346
50.0269 50.3746 33.6026
50.372 50.3308 3.33214
50.6852 50.6723 149.947
50.4364 50.6357 119.721
50.3558 50.3185 124.159
50.0263 50.9399 112.778
50.1351 50.9385 84.2145
50.9332 50.9732 51.1851
50.5388 50.0126 28.2872
50.3516 50.7731 57.6362
50.5535 50.3801 135.038
50.9851 50.4471 13.4329
50.1004 50.3362 52.5976
50.917 50.5048 104.26
50.0517 50.2668 140.918
50.538 50.9398 96.7697
50.4129 50.9641 107.842
50.9413 50.761 19.9566
50.2851 50.2126 74.658
50.5017 50.8412 140.329
50.5837 50.519 53.8345
50.6902 50.6279 139.754
50.868 50.0264 110.793
50.1983 50.8648 167.076
50.8473 50.0388 94.8996
50.3638 50.0701 44.6864
50.0591 50.2313 168.379
50.8067 50.0381 174.266
50.93 50.0459 59.3136
50.7165 50.0315 43.7117
50.3065 50.834 93.9292
50.1155 50.1393 72.8174
50.1593 50.9445 23.3711
50.2278 50.0267 160.342
50.7209 50.204 61.3055
50.5963 50.6125 11.8345
50.1766 50.1734 154.165
50.5795 50.2018 121.577
50.0995 50.0041 101.106
50.3565 50.432 49.3331
50.5058 50.263 1.04835
50.925 50.4945 39.7913
50.8851 50.1203 95.7587
50.1703 50.9656 170.123
50.4917 50.1673 127.96
50.7568 50.4799 150.571
50.8371 50.5703 140.955
50.4757 50.7777 161.279
50.9564 50.1313 112.755
50.7496 50.1909 79.8762
50.292 50.436 122.39
50.253 50.8721 96.5166
50.9124 50.4659 67.1643
50.6935 50.7569 163.521
50.0623 50.7835 30.2166
50.8328 50.1295 88.5686
50.8394 50.5786 49.6135
50.3623 50.5343 168.877
50.2833 50.6398 6.79362
50.7572 50.1874 91.7332
50.592 50.2391 87.4469
50.9206 50.3625 11.4371
50.6065 50.1741 113.627
50.3568 50.6911 9.90574
50.3269 50.6128 176.908
50.4547 50.2533 6.70002
50.5648 50.0457 168.802
50.4539 50.8697 166.867
50.6815 50.3572 144.296
50.5763 50.6803 104.837
50.9091 50.8984 82.1403
50.1822 50.3278 4.28209
50.0072 50.8035 43.6588
50.7926 50.799 36.9053
50.4917 50.85 112.622
50.2148 50.9728 96.6393
50.8346 50.8156 99.8691
50.4285 50.2923 144.478
50.9888 50.5084 34.3439
50.5412 50.2487 70.4782
50.2066 50.7858 85.1711
50.473 50.7182 23.0409
50.9508 50.7348 111.355
50.5616 50.2278 159.312
50.514 50.4186 139.555
50.6972 50.9903 106.724
50.1563 50.1308 30.6643
50.066 50.3753 130.745
50.3891 50.036 1.01776
50.6562 50.7527 12.1705
50.3393 50.4974 56.1283
50.672 50.8084 121.843
50.9307 50.6389 103.124
50.9907 50.0546 15.3109
50.9613 50.4054 123.35
50.406 50.995 150.821
50.246 50.4165 66.5959
50.7918 50.0321 143.366
50.0341 50.0185 80.5411
50.8375 50.796 168.636
50.2013 50.8627 46.0448
50.0597 50.9687 11.791
50.2295 50.0331 23.008
50.68 50.0283 153.343
50.2822 50.422 117.596
50.9216 50.2924 174.024
50.7794 50.0863 32.2005
50.1903 50.0992 163.782
50.0484 50.91 21.9676
50.3537 50.2318 100.93
50.5733 50.3028 139.221
50.0139 50.2672 167.774
50.8383 50.0229 173.809
50.3979 50.5152 131.698
50.5532 50.9832 96.1836
50.6413 50.3366 176.82
50.886 50.1067 111.657
50.8711 50.5888 137.806
50.7478 50.1263 114.613
50.9036 50.3338 88.3598
50.2254 50.764 72.8625
50.9601 50.6124 63.645
50.2085 50.0767 105.352
50.2638 50.5837 6.64317
50.8965 50.1753 129.769
50.1186 50.4768 133.685
50.5336 50.6351 172.333
50.243 50.6288 134.307
50.8525 50.6709 174.38
50.0029 50.08 102.187
50.3374 50.607 22.3981
50.5816 50.868 23.5259
50.3637 50.0891 32.8926
50.6127 50.9266 132.877
50.0052 50.4535 99.5266
50.3606 50.0251 120.981
50.6774 50.3785 78.1996
50.5329 50.0519 41.6544
50.4261 50.1428 177.862
50.8481 50.9281 157.044
50.3946 50.377 4.63308
50.7747 50.3522 35.6515
50.6894 50.212 20.0682
50.9425 50.8552 155.3
50.1259 50.2295 151.99
50.8068 50.2765 56.0228
50.3806 50.4185 11.8679
50.9471 50.7903 117.386
50.9753 50.1307 92.8505
50.5318 50.1319 115.944
50.4073 50.6917 125.148
50.3018 50.8321 138.682
50.9869 50.6122 65.8148
50.1507 50.9757 127.127
50.7666 50.1774 43.2933
50.9045 50.7338 157.441
50.2677 50.8518 149.101
50.8795 50.0538 45.1855
50.8538 50.9529 23.6859
50.3009 50.0519 98.3595
50.4367 50.1968 36.8346
50.0901 50.0045 33.6827
