CenterX   CenterY   Theta
100.581 100.071 67.3643
100.034 100.406 118.432
100.575 100.976 79.4951
100.778 100.569 3.79796
100.512 100.408 39.5707
100.23 100.439 165.581
100.319 100.284 65.4802
100.499 100.814 42.2673
100.022 100.301 53.6512
100.826 100.136 146.624
100.861 100.553 3.33538
100.508 100.714 125.595
100.893 100.701 168.712
100.011 100.82 6.16818
100.516 100.653 135.743
100.28 100.603 159.981
100.643 100.786 88.4054
100.403 100.877 127.473
100.826 100.011 17.2003
100.543 100.856 47.5841
100.776 100.638 130.511
100.895 100.768 37.2324
100.043 100.154 129.296
100.129 100.221 81.6407
100.465 100.09 91.2113
100.077 100.167 134.588
100.335 100.305 147.398
100.982 100.969 103.792
100.233 100.292 121.278
100.574 100.2 172.476
100.336 100.15 59.109
100.113 100.772 142.661
100.587 100.079 34.7224
100.775 100.353 151.011
100.134 100.698 34.262
100.397 100.339 166.085
100.838 100.63 155.788
100.216 100.065 122.04
100.535 100.517 46.0294
100.853 100.823 2.983
100.475 100.944 82.5517
100.85 100.536 78.1382
100.024 100.504 157.767
100.908 100.285 23.8867
100 100.318 95.4194
100.829 100.674 164.343
100.756 100.169 173.523
100.348 100.598 131.651
100.871 100.333 83.3477
100.167 100.466 82.1467
100.128 100.64 161.368
100.427 100.176 53.0817
100.059 100.06 4.79878
100.55 100.563 54.8272
100.755 100.671 169.171
100.485 100.518 142.057
100.571 100.766 165.63
100.21 100.608 83.8305
100.617 100.203 121.968
100.017 100.227 164.604
100.768 100.533 12.3084
100.2 100.012 173.983
100.832 100.445 178.289
100.794 100.489 23.5061
100.212 100.831 58.2817
100.739 100.16 131.665
100.054 100.714 21.9124
100.984 100.593 48.5178
100.432 100.931 91.4194
100.064 100.659 80.851
100.147 100.775 95.6271
100.088 100.9 156.267
100.056 100.64 160.068
100.348 100.667 81.8029
100.447 100.017 155.055
100.938 100.479 102.57
100.993 100.404 39.5714
100.866 100.689 30.8645
100.009 100.169 37.1498
100.902 100.709 23.7474
100.425 100.661 58.029
100.597 100.211 34.1313
100.208 100.713 45.4854
100.27 100.482 39.7213
100.355 100.638 134.956
100.492 100.617 57.5016
100.302 100.142 151.982
100.288 100.909 20.3777
100.614 100.284 91.4638
100.539 100.052 78.6748
100.219 100.918 124.462
100.116 100.36 55.09
100.302 100.561 143.298
100.47 100.791 75.3784
100.74 100.358 170.968
100.75 100.02 135.93
100.912 100.348 12.8313
100.855 100.094 98.9222
100.916 100.522 9.35379
100.441 100.691 47.048
100.896 100.46 41.7634
100.196 100.85 133.49
100.662 100.107 150.511
100.455 100.651 162.796
100.111 100.604 2.94884
100.091 100.906 98.5714
100.644 100.236 111.703
100.079 100.646 31.734
100.619 100.97 120.455
100.332 100.458 4.49088
100.523 100.989 130.205
100.397 100.591 103.172
100.508 100.146 52.3708
100.501 100.142 73.149
100.593 100.809 84.7078
100.674 100.757 32.778
100.62 100.77 75.7955
100.439 100.489 39.0299
100.833 100.502 18.4917
100.364 100.821 22.1118
100.649 100.737 127.92
100.105 100.959 76.2647
100.56 100.099 86.9612
100.154 100.308 23.5649
100.344 100.663 92.9165
100.797 100.577 12.0373
100.248 100.909 160.112
100.99 100.324 177.736
100.614 100.652 108.242
100.798 100.61 67.903
100.175 100.06 27.4235
100.383 100.013 173.767
100.318 100.956 5.21275
100.397 100.278 65.1336
100.78 100.446 10.3162
100.048 100.531 138.018
100.615 100.932 140.684
100.755 100.326 93.9566
100.646 100.511 119.178
100.231 100.983 15.4655
100.413 100.985 87.3466
100.612 100.011 138.339
100.742 100.217 71.5179
100.263 100.079 39.6216
100.485 100.515 151.022
100.413 100.402 171.484
100.335 100.134 125.179
100.923 100.488 91.0246
100.005 100.188 140.335
100.611 100.792 150.822
100.687 100.081 145.105
100.135 100.57 103.444
100.016 100.935 110.66
100.669 100.422 126.498
100.471 100.409 177.954
100.485 100.117 154.455
100.342 100.316 67.9549
100.87 100.531 4.52799
100.248 100.724 77.8286
100.261 100.189 38.606
100.495 100.033 67.0724
100.357 100.275 47.5918
100.745 100.132 144.555
100.304 100.343 118.681
100.039 100.772 124.215
100.927 100.062 123.744
100.726 100.847 99.684
100.842 100.049 136.585
100.676 100.874 59.5698
100.518 100.454 32.3106
100.847 100.046 94.2473
100.233 100.903 97.4263
100.099 100.857 7.69283
100.142 100.217 139.943
100.358 100.025 150.08
100.363 100.789 158.339
100.677 100.545 161.8
100.099 100.091 6.16308
100.324 100.166 179.654
100.415 100.754 124.796
100.771 100.912 55.9224
100.205 100.073 105.696
100.542 100.644 107.641
100.45 100.163 137.686
100.983 100.143 148.987
100.881 100.07 86.0158
100.739 100.734 146.924
100.533 100.561 62.3747
100.551 100.021 132.619
100.834 100.836 5.96167
100.912 100.095 153.163
100.522 100.016 23.2519
100.593 100.722 6.66454
100.176 100.232 128.702
100.771 100.589 157.129
100.454 100.984 46.7931
100.691 100.597 50.2792
100.279 100.684 146.031
100.076 100.369 145.123
100.958 100.994 76.603
100.433 100.338 81.8402
100.77 100.756 178.631
100.203 100.375 127.561
100.163 100.324 145.622
100.219 100.328 83.1597
100.352 100.074 90.9348
100.274 100.568 4.952
100.614 100.424 116.153
100.306 100.291 77.4928
100.55 100.122 23.4765
100.229 100.107 16.7467
100.189 100.683 97.4669
100.521 100.942 114.75
100.719 100.424 44.7044
100.936 100.802 137.094
100.062 100.907 118.013
100.948 100.545 54.9574
100.089 100.422 66.156
100.853 100.984 9.69356
100.357 100.999 74.7031
100.381 100.105 106.13
100.146 100.377 168.543
100.7 100.243 133.581
100.327 100.37 88.7029
100.201 100.288 52.6668
100.43 100.478 167.746
100.836 100.29 172.454
100.723 100.865 94.185
100.053 100.96 120.997
