CenterX   CenterY   Theta
50.8669 50.7505 80.6693
50.6067 50.7002 42.0247
50.4541 50.0477 110.04
50.0171 50.6243 34.9854
50.5058 50.4798 127.898
50.6903 50.726 79.3864
50.3286 50.5471 154.509
50.9144 50.626 93.098
50.5375 50.161 24.8817
50.5955 50.607 115.976
50.0636 50.0635 108.694
50.4083 50.4388 14.2944
50.4077 50.1129 179.479
50.7059 50.4654 21.6885
50.7508 50.9653 156.012
50.8798 50.1737 51.7917
50.8513 50.4626 179.488
50.2811 50.3582 133.201
50.5466 50.5714 13.2935
50.0832 50.1975 161.425
50.6735 50.6073 9.29716
50.5078 50.301 43.2976
50.776 50.8925 9.55253
50.5566 50.1513 178.081
50.5262 50.5365 128.246
50.8187 50.8741 111.908
50.0106 50.2223 9.47091
50.5145 50.8928 104.332
50.628 50.1443 134.751
50.2807 50.8688 144.382
50.4884 50.9736 94.8891
50.2176 50.1966 3.1846
50.3443 50.8353 49.4397
50.6576 50.1698 53.0334
50.3706 50.6489 102.2
50.5122 50.0604 140.009
50.03 50.6804 160.694
50.371 50.6236 124.681
50.785 50.6324 124.252
50.8026 50.3758 8.61728
50.103 50.5405 152.88
50.5325 50.9086 16.138
50.8639 50.8575 158.921
50.0744 50.3422 41.0784
50.8444 50.1341 158.634
50.1937 50.8466 37.4366
50.6705 50.2164 11.6545
50.4291 50.3031 105.402
50.2458 50.7401 40.1437
50.0004 50.0029 166.626
50.0397 50.5371 34.4906
50.1637 50.6972 120.37
50.7844 50.5221 143.247
50.5781 50.5153 69.9983
50.5802 50.4929 100.608
50.8546 50.6915 8.15925
50.9011 50.2543 100.025
50.6132 50.8202 98.7337
50.0263 50.8375 172.936
50.8312 50.4022 90.574
50.6526 50.6961 140.35
50.8784 50.23 144.065
50.7532 50.9823 19.9967
50.7169 50.6667 32.0363
50.3547 50.3898 105.315
50.1946 50.1731 165.217
50.3545 50.0681 35.355
50.5035 50.3928 162.955
50.2434 50.2329 2.89178
50.45 50.6955 127.07
50.46 50.0977 116.866
50.6274 50.149 36.3725
50.6627 50.3294 50.4806
50.4115 50.8536 54.8154
50.7597 50.5472 140.008
50.7871 50.9438 20.2739
50.8666 50.8497 53.1237
50.2334 50.4772 34.3905
50.914 50.3159 19.5724
50.4393 50.5379 8.85172
50.5514 50.5914 49.5437
50.4184 50.4991 110.367
