CenterX   CenterY   Theta
50.9633 50.5705 36.8835
50.2638 50.0908 122.134
50.9415 50.1532 120.116
50.7816 50.9012 91.6493
50.3836 50.7518 81.6016
50.5704 50.3234 48.3157
50.7309 50.0073 116.692
50.2045 50.6545 49.7998
50.8586 50.3912 130.541
50.2825 50.3918 50.3542
50.5657 50.377 23.2939
50.1526 50.7074 48.1938
50.8351 50.1707 121.877
50.243 50.6474 60.1661
50.4617 50.7065 64.1976
50.3076 50.7408 141.11
50.5356 50.2139 69.0296
50.6013 50.8087 17.1123
50.7677 50.8734 149.575
50.9171 50.4092 159.028
50.4776 50.0313 172.399
50.5529 50.2841 71.8381
50.3199 50.784 1.02176
50.7348 50.606 119.86
50.8364 50.0844 125.107
50.343 50.753 23.6387
50.721 50.025 72.8311
50.8582 50.8215 60.0371
50.6521 50.3905 79.5732
50.6011 50.9889 13.4209
50.3563 50.2061 72.5768
50.3612 50.7868 98.1656
50.7097 50.525 105.117
50.2203 50.6826 60.1541
50.6895 50.9751 127.031
50.599 50.1713 151.743
50.49 50.2596 36.7241
50.9173 50.7741 144.165
50.1287 50.3334 61.0387
50.2256 50.9966 40.9722
50.2722 50.3484 66.1172
50.5408 50.5488 19.1661
50.4854 50.3752 96.1787
50.762 50.5708 29.1585
50.1965 50.0303 88.4134
50.117 50.5537 66.4323
50.4138 50.3054 66.5432
50.2917 50.8736 115.751
50.7513 50.8187 145.807
50.3898 50.0442 4.3442
50.8719 50.906 57.0413
50.7609 50.6489 148.138
50.8515 50.2773 20.6097
50.6093 50.1562 9.59013
50.3755 50.9358 36.5954
50.4296 50.5034 36.0521
50.6276 50.0187 147.211
50.3378 50.1771 49.0981
50.6778 50.4476 161.498
50.2837 50.558 53.614
50.945 50.7563 103.691
50.436 50.8101 111.928
50.3617 50.0586 134.777
50.999 50.5843 36.8153
50.7666 50.994 58.4314
50.7406 50.7513 132.34
50.6745 50.9903 79.1823
50.704 50.8693 11.5539
50.1863 50.0056 155.72
50.5605 50.0894 76.3299
50.051 50.2014 25.9877
50.4606 50.8012 20.1028
50.3835 50.8431 78.0514
50.9913 50.3634 138.785
50.6687 50.1402 17.3935
50.9741 50.1483 64.1059
50.1702 50.7734 135.647
50.2008 50.8866 79.2125
50.4387 50.6839 20.0958
50.5538 50.9701 108.585
50.6539 50.6686 78.1405
50.51 50.23 99.2491
50.5903 50.8129 146.866
50.215 50.7021 158.444
50.2652 50.8423 144.906
50.3658 50.732 102.395
50.317 50.3267 71.497
50.1013 50.2712 5.5061
50.6619 50.9065 67.6188
50.2578 50.8756 134.31
50.2665 50.3634 139.414
50.8502 50.6682 49.7906
50.2148 50.5359 114.878
50.04 50.9373 138.548
50.3936 50.6377 101.613
50.3518 50.2149 179.306
50.7046 50.5253 74.5167
50.2096 50.8053 72.6711
50.1029 50.8733 110.859
50.6239 50.297 123.113
50.4248 50.7309 113.93
50.9148 50.2658 1.47266
50.7279 50.8097 67.7884
50.3197 50.8933 84.1788
50.9221 50.6723 22.4435
50.4556 50.3372 144.905
50.5262 50.0976 81.8187
50.9618 50.4473 28.5552
50.5832 50.9546 152.497
50.0863 50.8574 169.687
50.9913 50.8105 44.6357
50.2663 50.1055 52.1385
50.1613 50.7347 79.6889
50.7415 50.9992 148.448
50.5769 50.4926 42.0628
50.1537 50.7182 108.102
50.5142 50.8416 51.0609
50.501 50.1069 59.0249
50.6567 50.8768 137.178
50.8119 50.4783 51.2695
50.4535 50.2873 64.3289
50.6131 50.4145 165.848
50.3211 50.751 36.9714
50.3037 50.2687 124.766
50.1669 50.5316 36.2355
50.1572 50.7569 164.654
50.2198 50.1687 143.853
50.6114 50.7735 99.7016
50.2936 50.5906 29.4673
50.3714 50.902 73.8817
50.8301 50.9734 100.989
50.6838 50.5458 134.836
50.6434 50.1459 150.843
50.1301 50.6866 169.255
50.4554 50.1114 11.0904
50.7762 50.0027 109.218
